"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CC","NOC-623770","Sierra College 10G Connection to Sacramento Hub is down","2020-06-16 11:15:00","2020-06-16 13:41:00","02:26","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","","WaveBroadband","fiber damage",""
"Library","NOC-623603","Roseville Public Library circuit to West Sacramento is down","2020-06-14 10:29:00","2020-06-15 10:41:00","24:12","","Roseville Public Library","WaveBroadband","fiber damage",""
"Library","NOC-623631","Irwindale Public Library is unavailable.","2020-06-15 05:59:00","2020-06-15 07:21:00","01:22","","Irwindale Public Library","Environmental","power outage",""
"CC","NOC-623619","Cal. Comm. Colleges, Chancellors Office circuit to the Cal. Comm. Colleges Data center down.","2020-06-15 00:10:00","2020-06-15 01:49:00","01:39","California Community Colleges, Chancellor's Office","","Comcast","unknown",""
"Multi-site","NOC-623595","Multiple circuits in the NorCal Region were down.","2020-06-14 04:31:00","2020-06-14 08:31:00","04:00","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","Los Rios CCD - Natomas Center ;; Los Rios CCD El Dorado Center ;; Los Rios CCD Rancho Cordova Ed_Center ;; Los Rios CCD West Sacramento Center","AT&T","faulty optic",""
"Multi-site","NOC-623591","Multiple circuits in the Central Valley Region are unstable.","2020-06-14 00:51:00","2020-06-14 05:36:00","04:45","Coalinga District Library ;; CSU Bakersfield ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Porterville Public Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"CC","NOC-623575","Sierra College 10G Connection to Sacramento Hub is down","2020-06-13 21:02:00","2020-06-14 17:53:00","20:51","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","","WaveBroadband","fiber cut",""
"K12/COE","NOC-623611","10GE Circuits Outage","2020-06-14 18:46:00","2020-06-14 19:08:00","00:22","","Riverside - Indio COE","Spectrum","unknown",""
"Multi-site","NOC-623591","Multiple circuits in the Central Valley Region bounced.","2020-06-14 00:51:00","2020-06-14 01:33:00","00:42","Coalinga District Library ;; CSU Bakersfield ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Porterville Public Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"Multi-site","NOC-623582","Multiple circuits in the Central Valley Region bounced.","2020-06-14 00:51:00","2020-06-14 01:33:00","00:42","Coalinga District Library ;; CSU Bakersfield ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Porterville Public Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"Multi-site","NOC-623591","Multiple circuits in the Central Valley Region bounced.","2020-06-14 00:51:00","2020-06-14 00:55:00","00:04","Coalinga District Library ;; CSU Bakersfield ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Porterville Public Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"CC","NOC-623570","Routers Lost Power","2020-06-13 14:22:00","2020-06-13 14:44:00","00:22","","Ventura County CCD Office","Environmental","power outage",""
"UC","NOC-623489","UCI Health System's dark fiber circuit is unstable.","2020-06-12 10:03:00","2020-06-12 11:25:00","01:22","","","Crown Castle","other","Techs affected out servies while troubleshooting other services"
"UC","NOC-623528","UCANR Hopland REC is unavailable.","2020-06-12 08:33:00","2020-06-12 17:45:00","09:12","","UCANR Hopland REC","Environmental","power outage",""
"CC","NOC-623524","Shasta CCD Burney Center is down.","2020-06-12 06:17:00","2020-06-12 08:10:00","01:53","Shasta CC - Tehama ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center","Shasta CC Burney Center","Environmental","power outage",""
"Multi-site","NOC-623504","Multiple Bay Area circuits are down.","2020-06-11 20:12:00","2020-06-11 20:24:00","00:12","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch","Comcast","unknown",""
"CC","NOC-622935","Contra Costa CC's circuit to Sunnyvale is down.","2020-06-03 17:08:00","2020-06-11 00:20:00","175:12","Contra Costa COE","","AT&T","faulty line card",""
"CSU","NOC-623428","Humboldt State University circuit outage.","2020-06-11 00:20:00","2020-06-11 14:24:00","14:04","Humboldt State University","","AT&T","other","Wrong fiber polarization"
"UC","NOC-623395","Route 81 Bounce","2020-06-11 07:50:00","2020-06-11 07:52:00","00:02","University of California, Santa Cruz ;; University of California, Santa Cruz - Extension ;; University of California, Santa Cruz - Lick Observatory","","Crown Castle","unknown",""
"CSU","NOC-623428","Multiple AT&T circuits unavailable.","2020-06-10 23:56:00","2020-06-11 00:20:00","00:24","Berkeley CC ;; Contra Costa CC ;; Diablo Valley CCD ;; Humboldt State University ;; Napa Valley CCD","College of Marin - Indian Valley Campus ;; Sutro Library","AT&T","other","wrong jumper polarity"
"UC","NOC-623395","Route 81 Bounce","2020-06-11 07:50:00","2020-06-11 07:52:00","00:02","University of California, Santa Cruz","","Crown Castle","unknown",""
"UC","NOC-623416","UC San Francisco fiber outage.","2020-06-10 20:56:00","2020-06-11 00:39:00","03:43","University of California, San Francisco","","Environmental","provider maintenance",""
"UC","NOC-623210","Network degradation","2020-06-08 14:00:00","2020-06-10 19:35:00","53:35","UCSC Lick Observatory ;; UC Santa Cruz Extension","","AT&T","faulty line card",""
"UC","NOC-623395","UCSC dark fiber to Sunnyvale is unstable.","2020-06-10 13:35:00","2020-06-10 14:20:00","00:45","University of California, Santa Cruz ;; University of California, Santa Cruz - Lick Observatory","University of California, Santa Cruz - Extension","Crown Castle","unknown",""
"CSU","NOC-623250","CSU Sonoma Circuit to Sunnyvale bounce.","2020-06-10 15:39:00","2020-06-10 15:43:00","00:04","Sonoma State University","","AT&T","higher level carrier",""
"CC","NOC-623138","Router Down","2020-06-07 15:33:00","2020-06-10 10:34:00","67:01","","College of the Alameda Science Annex Center","AT&T","other",""
"K12/COE","NOC-623368","The 10GE circuit from Montebello USD to Los Angeles has restored.","2020-06-09 23:21:00","2020-06-10 07:54:00","08:33","","Montebello USD","CENIC Internal","other","BAD CENIC CONFIG"
"Other","NOC-623368","The 10GE circuit from Montebello USD to Los Angeles has restored.","2020-06-09 11:21:00","2020-06-10 07:54:00","20:33","","Montebello USD","CENIC Internal","other","DUPE/INCORRECT ENTRY"
"Multi-site","NOC-623365","Multiple circuits in the Bay Area Region are unstable.","2020-06-10 04:52:00","2020-06-10 06:09:00","01:17","Berkeley CC ;; Brentwood Center CC ;; Canada College ;; Diablo Valley CCD ;; Foothill College ;; Humboldt State University ;; Napa Valley CCD ;; San Mateo CCD ;; Skyline College","College of Marin - Indian Valley Campus ;; Santa Clara County Library District ;; Sutro Library","AT&T","provider maintenance",""
"Multi-site","NOC-623348","Multiple Circuits in the SoCal Region.","2020-06-09 23:00:00","2020-06-09 23:01:00","00:01","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Chaffey Joint UHSD ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; Saddleback CC ;; San Bernardino CSS ;; Victor Valley CCD","","AT&T","unknown",""
"Backbone","NOC-623332","Los Angeles to Sunnyvale 100GE HPR link unstable.","2020-06-10 18:14:00","2020-06-10 18:47:00","00:33","","","Cisco","other","CENIC hardware"
