"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"K12/COE","NOC-627856","Santa Barbara COE's 10G Circuit to Los Angeles is Down","2020-08-11 00:53:00","2020-08-11 15:09:00","14:16","Santa Barbara COE ;; Santa Maria JUHSD","","SCE (So Cal Edison)","fiber cut",""
"UC","NOC-627851","UC Irvine's Optical Route 95 to Los Angeles brief instability","2020-08-10 22:34:00","2020-08-10 22:37:00","00:03","","","Crown Castle","unknown","Generic DF RFO"
"Multi-site","NOC-627820","Multiple CCF circuits bounced","2020-08-10 12:00:00","2020-08-10 12:05:00","00:05","Los Angeles USD ;; Orange County Department of Education","","Crown Castle","unknown","Generic DF RFO"
"K12/COE","NOC-627782","Los Angeles USD - Van Nuys 100GE circuit to Tustin is unstable.","2020-08-09 23:27:00","2020-08-10 00:14:00","00:47","Los Angeles USD","","Crown Castle","unknown",""
"CC","NOC-627768","Sierra CCD - Western Nevada County Center connections were unstable.","2020-08-09 08:53:00","2020-08-09 09:13:00","00:20","Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","Sierra CC - Western Nevada County Center","Environmental","power outage",""
"CC","NOC-627743","Canyon Country Education Center 10G to LA is down.","2020-08-09 00:33:00","2020-08-09 01:09:00","00:36","Canyon Country Education Center ;; College of the Canyons","","AT&T","unknown",""
"Library","NOC-627752","Brief instability on the 1GE circuit to Los Angeles.","2020-08-08 10:57:00","2020-08-08 10:59:00","00:02","","Hemet Public Library","Environmental","power outage",""
"Library","NOC-627751","Brief instability on the 1GE circuit to Sunnyvale.","2020-08-08 09:00:00","2020-08-08 09:02:00","00:02","","Hemet Public Library","Environmental","power outage",""
"CC","NOC-627749","LA Valley College Outage","2020-08-08 07:35:00","2020-08-08 07:43:00","00:08","LA Valley College","","AT&T","unknown",""
"CC","NOC-627743","10G circuit to LA went down.","2020-08-07 23:30:00","2020-08-08 01:58:00","02:28","Canyon Country Education Center ;; College of the Canyons","","AT&T","unknown",""
"Multi-site","NOC-627740","Multiple Spectrum circuits went down.","2020-08-07 21:48:00","2020-08-07 21:52:00","00:04","Ventura County CCD Office","Camarillo Public Library ;; Ventura COE","Spectrum","higher level carrier",""
"K12/COE","NOC-627707","Sutter COE down","2020-08-07 11:05:00","2020-08-07 11:51:00","00:46","Sutter COE ;; Yuba City USD","","Environmental","power outage",""
"K12/COE","NOC-627671","The 10GE circuit Del Norte COE to the Los Angeles hub is unavailable.","2020-08-06 22:23:00","2020-08-07 04:34:00","06:11","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Spectrum","other","Fiber cut followed by Spectrum routing issue"
"CC","NOC-627688","Ventura County CCD connection to Tustin is down.","2020-08-07 03:05:00","2020-08-07 03:50:00","00:45","Ventura County CCD Office","","Spectrum","provider maintenance",""
"K12/COE","NOC-627679","Santa Maria JUHSD circuit to San Luis Obispo is down.","2020-08-07 01:18:00","2020-08-07 04:00:00","02:42","Santa Barbara COE ;; Santa Maria JUHSD","","Comcast","provider maintenance",""
"Multi-site","NOC-627689","Multiple Spectrum Circuits bounced in the SoCal Region.","2020-08-07 03:05:00","2020-08-07 03:15:00","00:10","Ventura COE","Camarillo Public Library ;; Signal Hill Public Library","Spectrum","provider maintenance",""
"UC","NOC-627594","UC Health System 100G from Triangle Court to Quincy is Unstable","2020-08-05 22:17:00","2020-08-06 23:07:00","24:50","","","CenturyLink (Level3)","fiber damage",""
"Multi-site","NOC-627604","Multiple circuits in the Central Valley are unstable.","2020-08-06 00:09:00","2020-08-06 00:15:00","00:06","CSU Stanislaus - Stockton Center","Amador County Library ;; Calaveras County Library","Vast","provider maintenance",""
"CC","NOC-627607","The AT&T Circuit between West Hills CC and West Hills Lemoore was briefly unavailable.","2020-08-06 01:15:00","2020-08-06 01:20:00","00:05","West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","AT&T","unknown",""
"Multi-site","NOC-627574","Multiple circuits in the Central Valley experienced brief instability.","2020-08-05 14:43:00","2020-08-05 14:44:00","00:01","Central Valley Independent Network ;; Ceres Unified School District ;; Chowchilla USD ;; College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; CSU Bakersfield ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Kings COE ;; Madera COE ;; Madera County Library ;; Mariposa County Library ;; Merced CC ;; Merced COE ;; Merced County Library ;; San Joaquin COE ;; San Joaquin Delta College ;; Stanislaus COE ;; Taft College","","Vast","unknown",""
"UC","NOC-622218","UCSF 10G circuit to Quincy is down.","2020-08-05 06:59:00","2020-08-05 11:51:00","04:52","","","Zayo","unknown",""
"CC","NOC-627508","Network connectivity is down.","2020-08-04 22:40:00","2020-08-05 04:28:00","05:48","Antelope Valley College","Antelope Valley College Palmdale Education Center","Environmental","power outage",""
