"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-626894","","2020-07-28 11:14:00","2020-07-28 11:15:00","00:01","unknown",""
"Vast","NOC-626856","","2020-07-28 00:05:00","2020-07-28 04:10:00","04:05","provider maintenance",""
"Comcast","NOC-626809"," 86665000","2020-07-27 20:05:00","2020-07-27 20:40:00","00:35","unknown",""
"Frontier ;; Cal-Ore","NOC-626803","2823159","2020-07-27 16:21:00","2020-07-27 16:23:00","00:02","unknown",""
"Environmental","NOC-626794","","2020-07-27 15:31:00","2020-07-27 15:36:00","00:05","power outage",""
"AT&T","NOC-626750","284255926 YJ006397","2020-07-26 23:14:00","2020-07-27 12:11:00","12:57","faulty line card",""
"Environmental","NOC-626766","","2020-07-27 09:37:00","2020-07-27 09:38:00","00:01","unknown",""
"AT&T","NOC-626554","YK003870","2020-07-23 00:06:00","2020-07-23 20:48:00","20:42","faulty line card",""
"AT&T","NOC-626738","","2020-07-26 12:55:00","2020-07-26 12:56:00","00:01","unknown",""
"Environmental","NOC-626727","","2020-07-25 23:05:00","2020-07-25 23:42:00","00:37","power outage",""
"Vast","NOC-626687","","2020-07-24 16:18:00","2020-07-25 15:45:00","23:27","fiber damage",""
"AT&T","NOC-626711","284006469","2020-07-24 22:44:00","2020-07-24 22:53:00","00:09","higher level carrier",""
"AT&T","NOC-626690","","2020-07-24 13:42:00","2020-07-24 13:43:00","00:01","unknown",""
"Environmental","NOC-626638","","2020-07-23 18:30:00","2020-07-24 10:02:00","15:32","power outage",""
"SuddenLink","NOC-626650","","2020-07-24 00:21:00","2020-07-24 05:54:00","05:33","fiber damage",""
"Spectrum","NOC-626666","ECT-80234499","2020-07-24 05:16:00","2020-07-24 05:21:00","00:05","provider maintenance",""
"AT&T","NOC-626647","","2020-07-23 23:21:00","2020-07-24 00:49:00","01:28","unknown",""
"AT&T","NOC-626656","","2020-07-24 00:43:00","2020-07-24 00:49:00","00:06","higher level carrier",""
"AT&T","NOC-626593","283836308","2020-07-23 11:44:00","2020-07-23 20:50:00","09:06","higher level carrier",""
"Spectrum","NOC-626651","ECT-80234248","2020-07-24 00:21:00","2020-07-24 00:49:00","00:28","fiber damage",""
"AT&T","NOC-626458","283545463","2020-07-21 16:17:00","2020-07-23 18:11:00","49:54","faulty line card",""
"AT&T","NOC-626417","FE139826","2020-07-21 16:17:00","2020-07-23 18:11:00","49:54","faulty line card",""
"Environmental","NOC-626479","SI044367894","2020-07-22 06:40:00","2020-07-23 11:40:00","29:00","power outage",""
"Vast","NOC-626553","","2020-07-23 00:01:00","2020-07-23 01:29:00","01:28","provider maintenance",""
"AT&T","NOC-626549","","2020-07-22 22:41:00","2020-07-22 22:52:00","00:11","higher level carrier",""
"Vast","NOC-625801","","2020-07-11 11:11:00","2020-07-22 17:55:00","270:44","unknown","RFO pending"
"Vast","NOC-626478","","2020-07-22 00:11:00","2020-07-22 17:57:00","17:46","faulty line card",""
"Vast","NOC-626511","","2020-07-22 13:58:00","2020-07-22 16:41:00","02:43","faulty line card",""
"Environmental","NOC-626532","","2020-07-22 16:20:00","2020-07-22 16:48:00","00:28","power outage",""
"Comcast","NOC-626387","","2020-07-21 12:38:00","2020-07-22 14:24:00","25:46","fiber damage",""
"Vast","NOC-626504","","2020-07-22 11:42:00","2020-07-22 15:07:00","03:25","fiber cut",""
"AT&T","NOC-626464","","2020-07-22 02:44:00","2020-07-22 04:59:00","02:15","higher level carrier",""
"Vast","NOC-626511","","2020-07-22 13:58:00","2020-07-22 14:12:00","00:14","faulty line card",""
"Zayo","NOC-625926","TTN-0004272236","2020-07-21 23:35:00","2020-07-22 10:08:00","10:33","other","Zayo generator repair"
"AT&T","NOC-626486","283590211","2020-07-22 07:19:00","2020-07-22 08:44:00","01:25","unknown",""
"AT&T","NOC-626362","283413054 283412129 283412010 283413154 283413619 283413155 283413510","2020-07-22 07:26:00","2020-07-22 07:33:00","00:07","faulty line card",""
"Environmental","NOC-626440","283507382","2020-07-21 21:02:00","2020-07-21 22:54:00","01:52","power outage",""
