"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CC","NOC-624232","Cuesta College North County Campus is down.","2020-06-22 16:02:00","2020-06-23 08:13:00","16:11","Cuesta College","Cuesta College North County Campus","Environmental","power outage",""
"CSU","NOC-624296","CSU Channel Island's circuit was unstable.","2020-06-23 10:45:00","2020-06-23 10:51:00","00:06","CSU Channel Islands","","AT&T","unknown",""
"Multi-site","NOC-624192","City of SF fiber outage","2020-06-22 09:38:00","2020-06-23 00:02:00","14:24","University of California, San Francisco","UCSF Metro Area Network","Environmental","fiber cut","City of SF fiber, not a listred telco"
"CC","NOC-624267","Victor Valley - School of Aviation down","2020-06-23 02:35:00","2020-06-23 02:42:00","00:07","","Victor Valley CCD - SCLA School of Aviation Technology","Environmental","power outage",""
"K12/COE","NOC-624175","Napa COE down.","2020-06-22 05:24:00","2020-06-22 08:06:00","02:42","Napa Valley USD","Napa COE","Environmental","power outage",""
"CC","NOC-624171","Sierra CCD - Roseville Center down.","2020-06-22 00:04:00","2020-06-22 00:10:00","00:06","Sierra CC - Western Nevada County Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","Sierra CCD - Roseville Center","Environmental","power outage",""
"Multi-site","NOC-624152","Multiple CVIN circuits bounced in Central Valley","2020-06-21 09:23:00","2020-06-21 09:27:00","00:04","Coalinga District Library ;; College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; Del Norte COE ;; Fresno County Library ;; Kern County Library ;; Kings County Library ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Madera County Library ;; Mariposa County Library ;; Merced County Library ;; Modoc COE ;; Plumas COE ;; Porterville Public Library ;; Siskiyou COE ;; Tulare County Library ;; Tulelake Basin Joint USD","","Vast","unknown",""
"Other","NOC-624144","10GE circuit to Los Angeles is unstable","2020-06-20 18:20:00","2020-06-20 18:41:00","00:21","","Pepperdine University Malibu Campus","Spectrum","faulty line card",""
"K12/COE","NOC-624125","Madera COE network restored","2020-06-20 03:03:00","2020-06-20 06:12:00","03:09","Chowchilla USD","Madera COE","Environmental","power outage",""
"UC","NOC-624071","UCSB 10G to Sunnyvale down.","2020-06-19 11:09:00","2020-06-19 16:03:00","04:54","University of California, Santa Barbara - DC","","Cisco","faulty optic",""
"Multi-site","NOC-624052","CENIC Coastal route maintenance complete","2020-06-18 23:00:00","2020-06-19 10:15:00","11:15","Cal Poly San Luis Obispo ;; Cal Poly San Luis Obispo - Netlab ;; Naval Postgraduate School in Monterey ;; Openflow ;; Santa Barbara City College - Schott Center ;; Santa Barbara City College - Wake Center ;; Santa Barbara City College Cosmetology Center ;; University of California, Santa Barbara ;; University of California, Santa Barbara HPR ;; University of California, Santa Barbara to NOAA ;; University of California, Santa Cruz ;; University of California, Santa Cruz Enterprise Technology Center ;; University of California, Santa Cruz HPR ;; University of California, Santa Cruz Lick Observatory ;; University of California, Santa Cruz Science DMZ ;; University of California, Santa Cruz University Extension","","CENIC Internal","other","Prolonged CENIC circuit migrations"
"K12/COE","NOC-623880","Dark fiber circuit is unstable.","2020-06-17 13:44:00","2020-06-18 03:47:00","14:03","Los Angeles USD","","Crown Castle","fiber damage",""
"K12/COE","NOC-623873","Yuba COE was briefly unavailable.","2020-06-17 10:48:00","2020-06-17 10:58:00","00:10","","Yuba COE","Vast","unknown",""
"Multi-site","NOC-623698","Fiber Outage in the Los Angeles Area","2020-06-15 20:55:00","2020-06-17 01:45:00","28:50","Los Angeles USD ;; Orange County Department of Education","","Crown Castle","fiber cut",""
"Multi-site","NOC-623739","Unstable 10G circuits to Tustin.","2020-06-17 00:58:00","2020-06-17 02:16:00","01:18","LA CCD ;; LA Trade Tech","","AT&T","faulty line card",""
"Other","NOC-623698","Fiber Outage in the Los Angeles Area","2020-06-15 20:55:00","2020-06-17 01:45:00","28:50","Los Angeles USD ;; Orange County Department of Education ;; University of California, Irvine","","Crown Castle","unknown","Duplicate resolved notice, ignore this entry"
