"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"WaveBroadband","NOC-623770","3814","2020-06-16 11:15:00","2020-06-16 13:41:00","02:26","fiber damage",""
"WaveBroadband","NOC-623603","","2020-06-14 10:29:00","2020-06-15 10:41:00","24:12","fiber damage",""
"Environmental","NOC-623631","","2020-06-15 05:59:00","2020-06-15 07:21:00","01:22","power outage",""
"Comcast","NOC-623619","","2020-06-15 00:10:00","2020-06-15 01:49:00","01:39","unknown",""
"AT&T","NOC-623595","","2020-06-14 04:31:00","2020-06-14 08:31:00","04:00","faulty optic",""
"Vast","NOC-623591","","2020-06-14 00:51:00","2020-06-14 05:36:00","04:45","unknown",""
"WaveBroadband","NOC-623575","Higher Level Outage   -  301380","2020-06-13 21:02:00","2020-06-14 17:53:00","20:51","fiber cut",""
"Spectrum","NOC-623611","EIT-80187188","2020-06-14 18:46:00","2020-06-14 19:08:00","00:22","unknown",""
"Vast","NOC-623591","","2020-06-14 00:51:00","2020-06-14 01:33:00","00:42","unknown",""
"Vast","NOC-623582","","2020-06-14 00:51:00","2020-06-14 01:33:00","00:42","unknown",""
"Vast","NOC-623591","","2020-06-14 00:51:00","2020-06-14 00:55:00","00:04","unknown",""
"Environmental","NOC-623570","","2020-06-13 14:22:00","2020-06-13 14:44:00","00:22","power outage",""
"Crown Castle","NOC-623489","CCF20303502","2020-06-12 10:03:00","2020-06-12 11:25:00","01:22","other","Techs affected out servies while troubleshooting other services"
"Environmental","NOC-623528","","2020-06-12 08:33:00","2020-06-12 17:45:00","09:12","power outage",""
"Environmental","NOC-623524","","2020-06-12 06:17:00","2020-06-12 08:10:00","01:53","power outage",""
"Comcast","NOC-623504","","2020-06-11 20:12:00","2020-06-11 20:24:00","00:12","unknown",""
"AT&T","NOC-622935","278525275, 20NERS494893","2020-06-03 17:08:00","2020-06-11 00:20:00","175:12","faulty line card",""
"AT&T","NOC-623428","","2020-06-11 00:20:00","2020-06-11 14:24:00","14:04","other","Wrong fiber polarization"
"Crown Castle","NOC-623395","CCF20303101 CCF20303300","2020-06-11 07:50:00","2020-06-11 07:52:00","00:02","unknown",""
"AT&T","NOC-623428","","2020-06-10 23:56:00","2020-06-11 00:20:00","00:24","other","wrong jumper polarity"
"Crown Castle","NOC-623395","CCF20303101 CCF20303300","2020-06-11 07:50:00","2020-06-11 07:52:00","00:02","unknown",""
"Environmental","NOC-623416","","2020-06-10 20:56:00","2020-06-11 00:39:00","03:43","provider maintenance",""
"AT&T","NOC-623210","278700516","2020-06-08 14:00:00","2020-06-10 19:35:00","53:35","faulty line card",""
"Crown Castle","NOC-623395","CCF20303101 CCF20303300","2020-06-10 13:35:00","2020-06-10 14:20:00","00:45","unknown",""
"AT&T","NOC-623250","YJ006339.    June 10 ENOC YJ006345 GCSC 279066222","2020-06-10 15:39:00","2020-06-10 15:43:00","00:04","higher level carrier",""
"AT&T","NOC-623138","FE137411 GCSC 278700515","2020-06-07 15:33:00","2020-06-10 10:34:00","67:01","other",""
"CENIC Internal","NOC-623368","","2020-06-09 23:21:00","2020-06-10 07:54:00","08:33","other","BAD CENIC CONFIG"
"CENIC Internal","NOC-623368","","2020-06-09 11:21:00","2020-06-10 07:54:00","20:33","other","DUPE/INCORRECT ENTRY"
"AT&T","NOC-623365","","2020-06-10 04:52:00","2020-06-10 06:09:00","01:17","provider maintenance",""
"AT&T","NOC-623348","","2020-06-09 23:00:00","2020-06-09 23:01:00","00:01","unknown",""
"Cisco","NOC-623332","","2020-06-10 18:14:00","2020-06-10 18:47:00","00:33","other","CENIC hardware"
