"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-630198","Multiple circuits are unstable.","2020-09-08 12:39:00","2020-09-08 12:56:00","00:17","College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; Tulare COE ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"Multi-site","NOC-630108","Multiple 100GE circuits were down in Central Valley.","2020-09-06 14:43:00","2020-09-07 18:24:00","27:41","Fresno COE ;; Kern COE ;; San Luis Obispo COE","","Level3 ;; Vast","other","High temps causing CVIN eq issues"
"Library","NOC-630112","Monterey Park Bruggemeyer Library circuit to Los Angeles was down","2020-09-06 15:27:00","2020-09-08 09:00:00","41:33","","Monterey Park Bruggemeyer Library","Environmental","power outage",""
"CC","NOC-630152","Circuit between West Hills Lemoore CC and West Hills North District Center CC is not passing traffic.","2020-09-07 19:21:00","2020-09-08 02:06:00","06:45","West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","AT&T","higher level carrier",""
"K12/COE","NOC-630086","Stanislaus COE CVIN 10GE to Fergus hub was unavailable.","2020-09-05 21:37:00","2020-09-07 09:55:00","36:18","Stanislaus COE ;; Modesto City Schools","","Vast","other","High temps"
"Multi-site","NOC-630142","Multiple circuits bounced in Central Valley","2020-09-07 10:00:00","2020-09-07 12:00:00","02:00","CSU Bakersfield ;; Fresno City College ;; Kern CCD ;; Kern COE ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","unknown",""
"Multi-site","NOC-630108","Multiple 100GE circuits were down in Central Valley.","2020-09-06 14:43:00","2020-09-07 10:04:00","19:21","Fresno COE ;; Kern COE ;; San Luis Obispo COE","","Level3 ;; Vast","other","High temps"
"Library","NOC-630084","GE Connection Down","2020-09-05 19:51:00","2020-09-05 19:54:00","00:03","","Alhambra Public Libary","Environmental","power outage",""
"CSU","NOC-630113","GE circuit is unstable","2020-09-06 15:36:00","2020-09-06 18:18:00","02:42","CSU Fullerton Irvine","","CenturyLink (Level3)","other","CLink AC failure"
"CSU","NOC-629781","CSU Northridge circuit to Los Angeles Hub is unavailable.","2020-09-03 00:57:00","2020-09-05 14:08:00","61:11","CSU Northridge","","Crown Castle","fiber cut",""
"Multi-site","NOC-630063","AT&T Disruption","2020-09-05 10:45:00","2020-09-05 10:47:00","00:02","LA Southwest College","Los Angeles County Library","AT&T","unknown",""
"K12/COE","NOC-630040","10GE to Bakersfield is unstable","2020-09-04 20:47:00","2020-09-04 20:48:00","00:01","Kings COE","","Vast","unknown",""
"Multi-site","NOC-630051","Several Central Valley circuits are unstable.","2020-09-04 21:13:00","2020-09-04 21:16:00","00:03","CSU Bakersfield ;; Earlimart School District ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kings County Library ;; Taft College ;; West Hills Lemoore CC","","Vast","unknown",""
"K12/COE","NOC-629916","Modoc COE circuit bounces","2020-09-03 14:40:00","2020-09-03 14:42:00","00:02","Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","other","Frontier duplexing issue"
"CC","NOC-630023","Taft CC's circuit to Los Angeles is down.","2020-09-04 13:32:00","2020-09-04 16:06:00","02:34","Taft College","","Spectrum","fiber cut",""
"Multi-site","NOC-629902","Multiple circuits in the NorCal region are down.","2020-09-03 13:42:00","2020-09-03 23:44:00","10:02","Lake Tahoe USD ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD ;; Tahoe Truckee USD ;; Yuba CC ;; Yuba CCD - Sutter County Center","","AT&T","fiber cut",""
"UC","NOC-629954","UCANR Desert REC down.","2020-09-03 15:16:00","2020-09-04 00:14:00","08:58","","UC Agricultural and Natural Resources - Desert","AT&T","fiber cut",""
"K12/COE","NOC-629901","The City of Alameda's circuit to Oakland is bouncing.","2020-09-03 13:32:00","2020-09-04 00:37:00","11:05","","City of Alameda","Comcast","faulty line card",""
"Library","NOC-629926","Amador County Library is unavailable.","2020-09-03 15:03:00","2020-09-03 21:41:00","06:38","","Amador County Library","Environmental","power outage",""
"K12/COE","NOC-629946","Los Angeles USD Van Nuys optical bounce","2020-09-03 17:20:00","2020-09-03 17:25:00","00:05","Los Angeles USD - Van Nuys","","Crown Castle","unknown",""
"CC","NOC-629829","Copper Mountain CCD 10G to Los Angeles is Down.","2020-09-03 04:10:00","2020-09-03 12:38:00","08:28","College of the Desert ;; Copper Mountain CCD","","Spectrum","faulty line card",""
"UC","NOC-629769","UCANR Sierra Foothill REC's circuit to Sacramento is degraded","2020-09-02 20:18:00","2020-09-02 23:30:00","03:12","UCANR Sierra Foothill REC","","GeoLinks","higher level carrier",""
"Multi-site","NOC-629790","Multiple Comcast circuits are unstable.","2020-09-03 01:40:00","2020-09-03 02:34:00","00:54","Contra Costa CCDO ;; CSU East Bay Concord ;; Mendocino College ;; San Jose Public Library ;; San Mateo COE ;; Santa Cruz COE ;; Santa Rosa JC Public Safety Training Center ;; Santa Rosa JC Shone Agriculture Center ;; Santa Rosa Junior College ;; UC Berkeley International House","El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch ;; MARINet ;; Orland Free Library","Comcast","other","Reverting traffic onto repaired fiber"
"Multi-site","NOC-629868","Multiple AT&T circuits went down in the Bay Area","2020-09-03 09:36:00","2020-09-03 09:38:00","00:02","Lake COE ;; Marin COE ;; Napa COE ;; San Francisco State University ;; Sonoma State University","","AT&T","unknown","No RFO found"
"Multi-site","NOC-629536","Multi circuits disruption in SoCal","2020-09-01 10:42:00","2020-09-02 10:52:00","24:10","Ventura COE ;; Ventura County CCD Office","Camarillo Public Library ;; Monrovia Public Library ;; Signal Hill Public Library","Spectrum","fiber cut",""
"CC","NOC-629676","Napa Valley CC's circuit to Sunnyvale is not passing traffic.","2020-09-02 09:22:00","2020-09-02 13:35:00","04:13","Napa Valley CCD","","AT&T","higher level carrier",""
"CC","NOC-629676","Napa Valley CC's circuit to Sunnyvale is unstable.","2020-09-02 09:22:00","2020-09-02 18:57:00","09:35","Napa Valley CCD","","AT&T","higher level carrier",""
"CC","NOC-629819","Santa Barbara CC - Schott Center unreachable.","2020-09-03 02:15:00","2020-09-03 02:21:00","00:06","","Santa Barbara City College - Schott Center","AT&T","unknown",""
"CC","NOC-629787","Victor Valley - SCLA School of Aviation Technology down.","2020-09-03 01:36:00","2020-09-03 01:38:00","00:02","Victor Valley CCD","Victor Valley CCD - SCLA School of Aviation Technology","Spectrum","higher level carrier",""
"Multi-site","NOC-629504","Equipment failure at UC Berkeley","2020-09-02 03:12:00","2020-09-02 23:30:00","20:18","University of California, Berkeley ;; University of California, Office of the President - UC Berkeley","","Cisco","faulty line card","Faulty CENIC LC"
"CC","NOC-629677","Santa Rosa JC's circuit to San Francisco is unstable.","2020-09-02 09:22:00","2020-09-02 18:57:00","09:35","Santa Rosa Junior College","","AT&T","higher level carrier",""
