"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-626252","Multiple circuits are down in Northern California.","2020-07-20 09:23:00","2020-07-21 17:17:00","31:54","Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","fiber cut",""
"Multi-site","NOC-626424","Multiple circuits in SoCal bounced.","2020-07-21 15:53:00","2020-07-21 15:55:00","00:02","Citrus CCD ;; College of the Desert ;; Copper Mountain CCD ;; Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Monrovia Public Library ;; Pepperdine University ;; Signal Hill Public Library","Spectrum","unknown",""
"Multi-site","NOC-626362","Multiple AT&T circuits are down.","2020-07-21 08:09:00","2020-07-21 10:18:00","02:09","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Crafton Hills College ;; Irvine Valley College ;; Saddleback CC ;; San Bernardino Valley","Moreno Valley College ;; Norco CC ;; Riverside CCD","AT&T","faulty line card",""
"K12/COE","NOC-626379","Lake Tahoe USD power outage.","2020-07-21 11:57:00","2020-07-21 12:25:00","00:28","Tahoe Truckee USD","Lake Tahoe USD","Environmental","power outage",""
"UC","NOC-626243","UCANR Sierra Foothill REC circuit is down.","2020-07-20 08:13:00","2020-07-20 17:47:00","09:34","","UCANR Sierra Foothill REC","Environmental","power outage",""
"K12/COE","NOC-626259","Sonoma COE to Solano COE down","2020-07-20 10:37:00","2020-07-20 17:19:00","06:42","Solano COE ;; Sonoma COE","","Comcast","unknown","RFO pending"
"K12/COE","NOC-626345","Alameda COE's circuit to Oakland unstable.","2020-07-21 01:24:00","2020-07-21 02:15:00","00:51","Alameda COE ;; Contra Costa COE","","Comcast","unknown",""
"K12/COE","NOC-626309","Connectivity to Tahoe Truckee USD is down.","2020-07-20 19:46:00","2020-07-20 22:46:00","03:00","Lake Tahoe USD","Tahoe Truckee USD","Environmental","power outage",""
"UC","NOC-626336","UC Health Systems 100G Circuit Bounce","2020-07-21 00:44:00","2020-07-21 00:45:00","00:01","","","CenturyLink (Level3)","unknown",""
"Multi-site","NOC-626334","Multiple CVIN Circuits down in Central Valley.","2020-07-21 00:01:00","2020-07-21 00:29:00","00:28","Coalinga District Library ;; College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; CSU Bakersfield ;; Fresno County Library ;; Kern COE ;; Kern County Library ;; Kings COE ;; Kings County Library ;; San Luis Obispo COE ;; Taft College ;; Tulare County Library ;; Tulare Public Library ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","Earlimart School District ;; Kern CCD ;; Porterville College","Vast","provider maintenance",""
"Multi-site","NOC-626254","Multiple AT&T circuits unstable","2020-07-20 09:18:00","2020-07-20 10:07:00","00:49","","Stockton-San Joaquin County Public Library / Chavez Library ;; UCANR Kearney REC ;; UCANR Westside REC","Environmental","power outage",""
"CC","NOC-626240","West Los Angeles CC 10G to Tustin was down.","2020-07-20 07:21:00","2020-07-20 09:46:00","02:25","West Los Angeles College","","AT&T","unknown","RFO not given"
"Multi-site","NOC-626218","Multiple circuits were down in Southern California.","2020-07-19 15:57:00","2020-07-19 16:35:00","00:38","College of the Desert ;; Riverside COE","Copper Mountain CCD ;; Riverside - Indio COE","Spectrum","faulty line card",""
"CC","NOC-626177","Network connectivity to Gavilan CCD is down.","2020-07-18 04:14:00","2020-07-18 13:04:00","08:50","","Gavilan - Gavilan Joint CCD","Environmental","power outage",""
"Library","NOC-626187","Brief instability observed on the 1GE circuit to Sunnyvale.","2020-07-18 09:05:00","2020-07-18 09:06:00","00:01","","Humboldt County Library","AT&T","unknown","RFO pending"
"CC","NOC-626056","College of the Sequoias' circuit to Fresno is down.","2020-07-16 15:21:00","2020-07-16 16:08:00","00:47","College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD","","Vast","unknown",""
"K12/COE","NOC-625973","Los Angeles USD - Van Nuys outage","2020-07-15 16:34:00","2020-07-15 16:39:00","00:05","Los Angeles USD - Van Nuys","","Crown Castle","unknown","Generic DF RFO"
"Multi-site","NOC-625922","Multiple circuits to Riverside hub-site were unstable.","2020-07-15 11:11:00","2020-07-15 11:19:00","00:08","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Chaffey Joint UHSD ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; Saddleback CC ;; San Bernardino CSS ;; Victor Valley CCD","","AT&T","higher level carrier",""
"Multi-site","NOC-625986","100GE circuit between Sunnyvale and Palo Alto was down.","2020-07-15 20:15:00","2020-07-15 20:35:00","00:20","","","CENIC Internal","fiber damage","Caused by CENIC maintenance"
"Multi-site","NOC-625941","Multiple circuits in the Central Valley Region are down.","2020-07-15 15:18:00","2020-07-15 20:40:00","05:22","Central Valley Independent Network ;; Ceres Unified School District ;; Chowchilla USD ;; Coalinga District Library ;; College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; CSU Bakersfield ;; CSU Fresno ;; Fresno County Library ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Kings COE ;; Kings County Library ;; Madera COE ;; Madera County Library ;; Mariposa County Library ;; Merced CC ;; Merced COE ;; Merced County Library ;; San Joaquin COE ;; San Joaquin Delta College ;; Stanislaus COE ;; Taft College ;; Tulare COE ;; Tulare County Library ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","Fresno City College ;; Porterville College ;; State Center CCD (Fresno)","Vast","fiber damage",""
"Other","NOC-625895","Lost of network connectivity.","2020-07-15 06:01:00","2020-07-15 09:30:00","03:29","","SF Jazz Center","Environmental","power outage",""
"Multi-site","NOC-625899","Multiple circuits down in the NorCal region.","2020-07-15 07:17:00","2020-07-15 10:11:00","02:54","","UCANR Hansen REC ;; UCANR Kearney REC ;; UCANR Sierra Foothill REC","GeoLinks","unknown",""
"K12/COE","NOC-625904","The circuit between Del Norte COE and Siskiyou COE is up.","2020-07-15 07:52:00","2020-07-15 08:05:00","00:13","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE","","Frontier","higher level carrier",""
"CC","NOC-626207","10GE to Oakland Circuit Outage","2020-07-18 18:17:00","2020-07-18 18:24:00","00:07","Ohlone College ;; Ohlone College Newark Center","","AT&T","higher level carrier",""
