"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-625702","Multiple CVIN circuits drop in the Central Valley.","2020-07-13 11:06:00","2020-07-13 11:11:00","00:05","Earlimart School District ;; Fresno City College ;; Fresno County Library ;; Kern COE ;; Kern County Library ;; Kings County Library ;; Porterville Public Library","Tulare County Library ;; Tulare Public Library","Vast","unknown",""
"K12/COE","NOC-625762","Orange County Dept. of Education's 100G Circuit to Los Angeles down","2020-07-13 22:08:00","2020-07-13 22:10:00","00:02","Orange County Department of Education","","Crown Castle","unknown",""
"Backbone","NOC-625738","100GE backbone link between Palm Desert and San Diego is down.","2020-07-13 18:49:00","2020-07-13 21:31:00","02:42","","","Juniper","other","High temps"
"Multi-site","NOC-625728","Multiple Crown Castle dark fiber circuits are unstable.","2020-07-13 13:59:00","2020-07-13 23:55:00","09:56","Chaffey Joint UHSD ;; Los Angeles USD ;; San Bernardino CSS","","Sunesys","unknown","Generic DF RFO"
"Multi-site","NOC-625807","Multiple circuits in Bay Area briefly bounced.","2020-07-14 07:41:00","2020-07-14 07:42:00","00:01","Marin COE ;; Solano CC ;; Sonoma State University","","AT&T","unknown",""
"Multi-site","NOC-625727","Multiple Spectrum circuits are unstable at Los Angeles hub site.","2020-07-13 13:55:00","2020-07-14 00:00:00","10:05","Citrus CCD ;; College of the Desert ;; Copper Mountain CCD ;; LA Mission College ;; Mt. San Antonio CCD ;; Pepperdine University","Monrovia Public Library ;; Santa Fe Springs City Library William C Gordon Learning Center","Spectrum","higher level carrier",""
"Library","NOC-625740","Redondo Beach Public Library Circuit to Tustin down.","2020-07-13 20:19:00","2020-07-13 20:42:00","00:23","Redondo Beach Public Library","","Spectrum","faulty optic",""
"CC","NOC-625813","College of the Siskiyous connectivity was down.","2020-07-14 01:46:00","2020-07-14 11:08:00","09:22","","College of the Siskiyous","CENIC Internal","other","Remained down post CENIC maintenance"
"Multi-site","NOC-625803","Multiple circuits in the Fergus area bounced.","2020-07-14 07:03:00","2020-07-14 07:05:00","00:02","CSU Stanislaus - Stockton Center ;; Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Mariposa COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Vast","unknown","RFO pending"
"Multi-site","NOC-625727","Multiple Spectrum circuits bounce to Los Angeles hub site.","2020-07-13 13:55:00","2020-07-13 14:15:00","00:20","Citrus CCD ;; College of the Desert ;; Copper Mountain CCD ;; LA Mission College ;; Mt. San Antonio CCD ;; Pepperdine University","Monrovia Public Library ;; Santa Fe Springs City Library William C Gordon Learning Center","Spectrum","higher level carrier",""
