"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"CENIC Internal","NOC-627503","","2020-08-04 21:33:00","2020-08-04 21:39:00","00:06","other","Bump during CENIC maintenance"
"CENIC Internal","NOC-627163","284966497","2020-07-31 11:24:00","2020-08-04 20:05:00","104:41","fiber damage",""
"CENIC Internal","NOC-627369","","2020-08-03 15:00:00","2020-08-04 13:00:00","22:00","CPE reset",""
"Environmental","NOC-627473","","2020-08-04 12:32:00","2020-08-04 13:54:00","01:22","utility maintenance","Bump during CENIC maintenance"
"Vast","NOC-627447","","2020-08-04 01:43:00","2020-08-04 01:53:00","00:10","provider maintenance",""
"AT&T","NOC-627309","LE122272","2020-08-03 01:14:00","2020-08-03 18:37:00","17:23","fiber damage",""
"Environmental","NOC-627394","","2020-08-03 15:02:00","2020-08-03 15:42:00","00:40","power outage",""
"CENIC Internal","NOC-627413","","2020-08-03 17:59:00","2020-08-03 18:00:00","00:01","other","Fiber bump during scheduled maintenance"
"Environmental","NOC-627294","285338417","2020-08-02 13:23:00","2020-08-03 09:27:00","20:04","power outage",""
"Vast","NOC-627335","","2020-08-03 10:10:00","2020-08-03 10:12:00","00:02","unknown",""
"Vast","NOC-627320","","2020-08-03 07:25:00","2020-08-03 07:27:00","00:02","fiber damage",""
"Environmental","NOC-627251","285332459","2020-08-01 17:43:00","2020-08-03 08:16:00","38:33","power outage",""
"Environmental","NOC-627303","","2020-08-02 19:27:00","2020-08-02 19:30:00","00:03","power outage",""
"Vast","NOC-627263","","2020-08-02 01:36:00","2020-08-02 03:29:00","01:53","unknown",""
"Environmental","NOC-627011","150384","2020-07-29 19:16:00","2020-07-29 22:07:00","02:51","power outage",""
"AT&T","NOC-626726","","2020-07-29 06:49:00","2020-07-29 12:14:00","05:25","faulty line card",""
"AT&T","NOC-626970","","2020-07-29 12:17:00","2020-07-29 12:18:00","00:01","unknown",""
"Spectrum","NOC-626956","80240146","2020-07-29 08:49:00","2020-07-29 08:56:00","00:07","unknown",""
"AT&T","NOC-626938","LE122051 LE122052","2020-07-29 03:27:00","2020-07-29 04:24:00","00:57","unknown",""
"Spectrum","NOC-627062","ECT-80241168","2020-07-30 05:06:00","2020-07-30 05:10:00","00:04","faulty line card",""
"Comcast","NOC-627138","","2020-07-31 02:24:00","2020-07-31 02:26:00","00:02","unknown",""
"AT&T","NOC-627128","284888927","2020-07-31 01:42:00","2020-07-31 01:46:00","00:04","higher level carrier",""
"Juniper ;; AT&T","NOC-626793"," 284337891","2020-07-27 15:31:00","2020-07-30 07:54:00","64:23","other","Junos bug"
