"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-626894","Multiple AT&T circuits bounced.","2020-07-28 11:14:00","2020-07-28 11:15:00","00:01","Glendale CC Professional Development Center ;; Glendale CCD","Santa Clarita Public Library","AT&T","unknown",""
"Multi-site","NOC-626856","Multiple CVIN circuits down.","2020-07-28 00:05:00","2020-07-28 04:10:00","04:05","Chowchilla USD ;; College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; CSU Bakersfield ;; CSU Fresno ;; Earlimart School District ;; Fresno City College ;; Fresno COE ;; Fresno County Library ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Kings COE ;; Kings County Library ;; Madera COE ;; Madera County Library ;; Mariposa COE ;; Merced CC ;; Merced COE ;; Merced County Library ;; Porterville College ;; San Joaquin COE ;; San Joaquin Delta College ;; San Luis Obispo COE ;; Stanislaus COE ;; State Center CCD (Fresno) ;; Taft College ;; Tulare COE ;; Tulare County Library ;; Tulare Public Library ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","Ceres Unified School District","Vast","provider maintenance",""
"K12/COE","NOC-626809","Butte COE 10G circuit to Sacramento hubsite packet loss.","2020-07-27 20:05:00","2020-07-27 20:40:00","00:35","Butte COE ;; Glenn COE - Orland ;; Shasta COE ;; Tehama COE ;; Trinity COE","","Comcast","unknown",""
"K12/COE","NOC-626803","Multiple circuits outage","2020-07-27 16:21:00","2020-07-27 16:23:00","00:02","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier ;; Cal-Ore","unknown",""
"Multi-site","NOC-626794","Multiple sites power outage","2020-07-27 15:31:00","2020-07-27 15:36:00","00:05","Del Norte COE ;; Lassen COE ;; Modoc COE ;; Plumas COE ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra Joint CCD ;; Siskiyou COE ;; Tulelake Basin Joint USD","Loyalton HS - Sierra COE ;; Sierra CCD - Tahoe-Truckee Center","Environmental","power outage",""
"CC","NOC-626750","College of the Siskiyous 1G circuit to Corning was down.","2020-07-26 23:14:00","2020-07-27 12:11:00","12:57","College of the Siskiyous","","AT&T","faulty line card",""
"UC","NOC-626766","City of SF fiber disruption","2020-07-27 09:37:00","2020-07-27 09:38:00","00:01","University of California, San Francisco","","Environmental","unknown",""
"K12/COE","NOC-626554","Los Angeles COE circuit to Tustin is unstable.","2020-07-23 00:06:00","2020-07-23 20:48:00","20:42","Los Angeles COE","","AT&T","faulty line card",""
"Multi-site","NOC-626738","Multiple AT&T circuits bounced","2020-07-26 12:55:00","2020-07-26 12:56:00","00:01","Mendocino College ;; Napa Valley CCD","Solano County Library","AT&T","unknown",""
"CC","NOC-626727","West Hills North District Center CC is unavailable.","2020-07-25 23:05:00","2020-07-25 23:42:00","00:37","West Hills CCD ;; West Hills Lemoore CC","West Hills North District Center CC","Environmental","power outage",""
"K12/COE","NOC-626687","Madera COE 10G circuit to Fergus hubsite is down.","2020-07-24 16:18:00","2020-07-25 15:45:00","23:27","Chowchilla USD ;; Madera COE","","Vast","fiber damage",""
"CC","NOC-626711","The 10GE circuit to the Oakland hub was briefly unavailable.","2020-07-24 22:44:00","2020-07-24 22:53:00","00:09","Foothill College","","AT&T","higher level carrier",""
"Multi-site","NOC-626690","Brief multi-circuit bounce","2020-07-24 13:42:00","2020-07-24 13:43:00","00:01","Compton College ;; El Camino College ;; LA Harbor College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD","","AT&T","unknown",""
"CC","NOC-626638","Lassen CC is up.","2020-07-23 18:30:00","2020-07-24 10:02:00","15:32","","Lassen CC","Environmental","power outage",""
"Multi-site","NOC-626650","Circuit between Humboldt COE and Northern Humboldt UHSDO is down.","2020-07-24 00:21:00","2020-07-24 05:54:00","05:33","Humboldt COE ;; Northern Humboldt USD","","SuddenLink","fiber damage",""
"CC","NOC-626666","Circuits to Copper Mountain CCD went down.","2020-07-24 05:16:00","2020-07-24 05:21:00","00:05","College of the Desert","Copper Mountain CCD","Spectrum","provider maintenance",""
"CSU","NOC-626647","The 10 GE link between CSU Fullerton and CENIC's Los Angeles site is currently down.","2020-07-23 23:21:00","2020-07-24 00:49:00","01:28","CSU Fullerton ;; CSU Chancellor's Office via CSU Fullerton ;; SFSU Disaster Recovery Site","","AT&T","unknown",""
"Multi-site","NOC-626656","Multiple AT&T circuits went down.","2020-07-24 00:43:00","2020-07-24 00:49:00","00:06","LA Pierce College ;; Pasadena CCD ;; Pasadena City College - Community Learning Center","","AT&T","higher level carrier",""
"CC","NOC-626593","South Orange County CCD ATEP Center circuit to Los Angeles is unstable.","2020-07-23 11:44:00","2020-07-23 20:50:00","09:06","South Orange County CCD ATEP Center","","AT&T","higher level carrier",""
"K12/COE","NOC-626651","10G circuit to Palm Desert went down.","2020-07-24 00:21:00","2020-07-24 00:49:00","00:28","Riverside - Indio COE ;; Riverside COE","","Spectrum","fiber damage",""
"CC","NOC-626458","The 10Gig circuit from Sierra College to Sacramento hub site is down.","2020-07-21 16:17:00","2020-07-23 18:11:00","49:54","Sierra CC ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center","","AT&T","faulty line card",""
"CC","NOC-626417","The 10Gig circuit from Sierra College to Sacramento hub site is down.","2020-07-21 16:17:00","2020-07-23 18:11:00","49:54","Sierra CC ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center","","AT&T","faulty line card",""
"CSU","NOC-626479","Network connectivity to CSU East Bay Concord is down.","2020-07-22 06:40:00","2020-07-23 11:40:00","29:00","","CSU East Bay Concord","Environmental","power outage",""
"Multi-site","NOC-626553","Multiple CVIN circuits are unstable.","2020-07-23 00:01:00","2020-07-23 01:29:00","01:28","CSU Stanislaus - Stockton Center","Amador County Library ;; Calaveras County Library","Vast","provider maintenance",""
"Multi-site","NOC-626549","Multiple AT&T circuits went down.","2020-07-22 22:41:00","2020-07-22 22:52:00","00:11","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; Saddleback CC ;; San Bernardino Valley","","AT&T","higher level carrier",""
"CC","NOC-625801","Fresno City College Down Following Multi-Site Outage","2020-07-11 11:11:00","2020-07-22 17:55:00","270:44","Fresno City College ;; State Center CCD (Fresno)","","Vast","unknown","RFO pending"
"CC","NOC-626478","10G circuit between West Hills Lemoore CC and Bakersfield hubsite is down.","2020-07-22 00:11:00","2020-07-22 17:57:00","17:46","West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","faulty line card",""
"Multi-site","NOC-626511","Multiple CVIN circuits are unstable","2020-07-22 13:58:00","2020-07-22 16:41:00","02:43","CSU Bakersfield ;; Earlimart School District ;; Kern CCD","Bakersfield College","Vast","faulty line card",""
"CC","NOC-626532","Shasta CC Trinity Center experienced a power outage.","2020-07-22 16:20:00","2020-07-22 16:48:00","00:28","Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences","Shasta CCD Trinity Center","Environmental","power outage",""
"K12/COE","NOC-626387","Santa Cruz COE 10G circuit to San Mateo COE is down.","2020-07-21 12:38:00","2020-07-22 14:24:00","25:46","San Mateo COE ;; Santa Cruz COE","","Comcast","fiber damage",""
"Multi-site","NOC-626504","Multiple CVIN circuits are down in the Central Valley","2020-07-22 11:42:00","2020-07-22 15:07:00","03:25","Amador COE ;; Calaveras COE ;; Columbia CC ;; Colusa COE ;; CSU Stanislaus ;; CSU Stanislaus - Stockton Center ;; El Dorado COE ;; Nevada Joint Union HSD ;; Placer COE ;; Sierra COE - WEST ;; Stanislaus County Library ;; Sutter COE ;; Tuolumne COE ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE","Stanislaus County Library","Vast","fiber cut",""
"Multi-site","NOC-626464","Multiple AT&T circuits are down.","2020-07-22 02:44:00","2020-07-22 04:59:00","02:15","Cerritos CCD ;; LA City College ;; Rancho Santiago CCD ;; Ventura College","","AT&T","higher level carrier",""
"Multi-site","NOC-626511","Multiple CVIN circuits bounced.","2020-07-22 13:58:00","2020-07-22 14:12:00","00:14","CSU Bakersfield ;; Earlimart School District ;; Kern CCD","Bakersfield College","Vast","faulty line card",""
"UC","NOC-625926","UCSF Health System Secondary 10G circuit to Quincy is down.","2020-07-21 23:35:00","2020-07-22 10:08:00","10:33","","","Zayo","other","Zayo generator repair"
"CC","NOC-626486","Foothill CCD Circuit to Oakland is down.","2020-07-22 07:19:00","2020-07-22 08:44:00","01:25","Foothill College","","AT&T","unknown",""
"Multi-site","NOC-626362","Multiple AT&T circuits bounced.","2020-07-22 07:26:00","2020-07-22 07:33:00","00:07","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Crafton Hills College ;; Irvine Valley College ;; Saddleback CC ;; San Bernardino Valley","Moreno Valley College ;; Norco CC ;; Riverside CCD","AT&T","faulty line card",""
"CC","NOC-626440","Sierra College is unavailable.","2020-07-21 21:02:00","2020-07-21 22:54:00","01:52","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center","Sierra Joint CCD","Environmental","power outage",""
