"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Vast","NOC-625702","","2020-07-13 11:06:00","2020-07-13 11:11:00","00:05","unknown",""
"Crown Castle","NOC-625762","CCF20311485","2020-07-13 22:08:00","2020-07-13 22:10:00","00:02","unknown",""
"Juniper","NOC-625738","","2020-07-13 18:49:00","2020-07-13 21:31:00","02:42","other","High temps"
"Sunesys","NOC-625728","","2020-07-13 13:59:00","2020-07-13 23:55:00","09:56","unknown","Generic DF RFO"
"AT&T","NOC-625807","","2020-07-14 07:41:00","2020-07-14 07:42:00","00:01","unknown",""
"Spectrum","NOC-625727","ETC-80219577 / ETC-80219650 / ETC-80219669 / ECT-80219721 / ETC-80219730","2020-07-13 13:55:00","2020-07-14 00:00:00","10:05","higher level carrier",""
"Spectrum","NOC-625740","ECT-80219805","2020-07-13 20:19:00","2020-07-13 20:42:00","00:23","faulty optic",""
"CENIC Internal","NOC-625813","","2020-07-14 01:46:00","2020-07-14 11:08:00","09:22","other","Remained down post CENIC maintenance"
"Vast","NOC-625803","","2020-07-14 07:03:00","2020-07-14 07:05:00","00:02","unknown","RFO pending"
"Spectrum","NOC-625727","ETC-80219577 / ETC-80219650 / ETC-80219669 / ECT-80219721 / ETC-80219730","2020-07-13 13:55:00","2020-07-13 14:15:00","00:20","higher level carrier",""
"Sunesys","NOC-625728","","2020-07-13 13:59:00","2020-07-13 14:22:00","00:23","unknown","Generic DF RFO"
"AT&T","NOC-625724","","2020-07-13 13:28:00","2020-07-13 13:29:00","00:01","unknown","ATT unable to identify RFO"
"AT&T","NOC-625693","","2020-07-13 10:01:00","2020-07-13 10:02:00","00:01","faulty line card",""
"Crown Castle","NOC-625674","","2020-07-13 02:24:00","2020-07-13 06:25:00","04:01","provider maintenance","Techs bumped fibers during unrelated maintenance"
"Environmental","NOC-625666","","2020-07-12 22:38:00","2020-07-13 02:25:00","03:47","power outage",""
"Sunesys","NOC-625653","","2020-07-12 15:43:00","2020-07-12 15:46:00","00:03","other","Spectrum MTU reset after power loss"
"Environmental","NOC-625646","","2020-07-12 10:11:00","2020-07-12 11:11:00","01:00","power outage",""
"Environmental","NOC-625637","","2020-07-12 00:43:00","2020-07-12 10:16:00","09:33","unknown","No carrier, handoffs down at colo"
"Environmental","NOC-625623","","2020-07-11 08:17:00","2020-07-11 14:54:00","06:37","power outage",""
"Environmental","NOC-625608","","2020-07-10 18:51:00","2020-07-10 18:52:00","00:01","unknown",""
"Environmental","NOC-625517","Frontier 2814932 / AT&T 070903548","2020-07-09 17:20:00","2020-07-10 15:01:00","21:41","power outage",""
"Environmental","NOC-625592","","2020-07-10 12:58:00","2020-07-10 13:07:00","00:09","power outage",""
"Environmental","NOC-625531","","2020-07-09 21:07:00","2020-07-10 04:26:00","07:19","power outage",""
"Environmental","NOC-625416","","2020-07-08 19:35:00","2020-07-08 23:08:00","03:33","power outage",""
"Crown Castle","NOC-625533","CCF20310444","2020-07-09 21:57:00","2020-07-09 22:01:00","00:04","unknown","Generic DF RFO"
"Environmental","NOC-625417","","2020-07-08 17:48:00","2020-07-08 17:49:00","00:01","power outage",""
"Frontier","NOC-625441","2814425","2020-07-09 00:31:00","2020-07-09 01:33:00","01:02","unknown",""
"Crown Castle","NOC-625327","CCF203309785","2020-07-07 21:17:00","2020-07-07 22:55:00","01:38","unknown",""
"Crown Castle","NOC-625555","CCF20310491","2020-07-10 02:47:00","2020-07-10 03:49:00","01:02","provider maintenance","CCF working another outage and bumping CENIC fibers"
"Crown Castle","NOC-625462","","2020-07-09 06:19:00","2020-07-09 06:24:00","00:05","unknown","Pending"
"Environmental","NOC-625463","","2020-07-09 06:45:00","2020-07-09 11:02:00","04:17","power outage",""
"Environmental","NOC-625417","","2020-07-08 19:47:00","2020-07-08 21:01:00","01:14","power outage",""
"Equinix","NOC-623435","","2020-07-08 06:00:00","2020-07-08 10:08:00","04:08","other","CENIC's configs post-maintenance"
"Vast","NOC-625293","","2020-07-07 10:08:00","2020-07-07 21:37:00","11:29","fiber cut",""
