"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Backbone","NOC-627503","Trunk fiber disturbance in Riverside hub.","2020-08-04 21:33:00","2020-08-04 21:39:00","00:06","Central Valley Independent Network ;; University of California, Irvine Health System ;; University of California, Los Angeles Health System ;; University of California, Riverside","","CENIC Internal","other","Bump during CENIC maintenance"
"CC","NOC-627163","Norco CC to Riverside down","2020-07-31 11:24:00","2020-08-04 20:05:00","104:41","Moreno Valley College ;; Norco CC ;; Riverside CCD","","CENIC Internal","fiber damage",""
"Library","NOC-627369","Santa Fe Springs City Library William C Gordon Learning Center is down.","2020-08-03 15:00:00","2020-08-04 13:00:00","22:00","","Santa Fe Springs City Library William C Gordon Learning Center","CENIC Internal","CPE reset",""
"CC","NOC-627473","Bakersfield College was unreachable.","2020-08-04 12:32:00","2020-08-04 13:54:00","01:22","","Bakersfield College","Environmental","utility maintenance","Bump during CENIC maintenance"
"Multi-site","NOC-627447","Multiple CVIN circuit down.","2020-08-04 01:43:00","2020-08-04 01:53:00","00:10","Amador COE ;; Calaveras COE ;; Columbia CC ;; Colusa COE ;; El Dorado COE ;; Nevada Joint Union HSD ;; Placer COE ;; Sutter COE ;; Tuolumne COE ;; Yosemite CCD Office ;; Yuba COE ;; Yuba City USD","","Vast","provider maintenance",""
"UC","NOC-627309","UCANR Desert REC is unavailable.","2020-08-03 01:14:00","2020-08-03 18:37:00","17:23","","UC Agricultural and Natural Resources - Desert","AT&T","fiber damage",""
"Library","NOC-627394","Tulare Public Library is down.","2020-08-03 15:02:00","2020-08-03 15:42:00","00:40","Tulare County Library","Tulare Public Library","Environmental","power outage",""
"Multi-site","NOC-627413","Optical route 51 fiber disturbance.","2020-08-03 17:59:00","2020-08-03 18:00:00","00:01","UCANR Davis HQ ;; UCSC Extension ;; University of California, Davis ;; University of California, Santa Cruz ;; University of California, Santa Cruz - Enterprise Technology Center ;; University of California, Santa Cruz - Lick Observatory","","CENIC Internal","other","Fiber bump during scheduled maintenance"
"UC","NOC-627294","UCANR Elkus Ranch REC restored","2020-08-02 13:23:00","2020-08-03 09:27:00","20:04","","UCANR Elkus Ranch REC","Environmental","power outage",""
"Multi-site","NOC-627335","Multiple CVIN circuits bounced.","2020-08-03 10:10:00","2020-08-03 10:12:00","00:02","Chowchilla USD ;; College of the Sequoias CCD ;; CSU Bakersfield ;; CSU Fresno ;; Kern CCD ;; Kern COE ;; Kings COE ;; Madera COE ;; Merced CC ;; Merced COE ;; San Joaquin COE ;; San Joaquin Delta College ;; Stanislaus COE ;; Tulare COE ;; West Hills Lemoore CC","Kings County Library","Vast","unknown",""
"Multi-site","NOC-627320","Multiple CVIN circuits bounced.","2020-08-03 07:25:00","2020-08-03 07:27:00","00:02","Amador COE ;; Calaveras COE ;; Columbia CC ;; CSU Stanislaus ;; El Dorado COE ;; Nevada Joint Union HSD ;; Yosemite CCD Office","","Vast","fiber damage",""
"UC","NOC-627251","UCANR Westside REC restored","2020-08-01 17:43:00","2020-08-03 08:16:00","38:33","","UCANR Westside REC","Environmental","power outage",""
"Library","NOC-627303","Covina Public Library / City Hall lost connectivity.","2020-08-02 19:27:00","2020-08-02 19:30:00","00:03","","Covina Public Library / City Hall","Environmental","power outage",""
"Multi-site","NOC-627263","Multiple circuits in the Central Valley Region are down.","2020-08-02 01:36:00","2020-08-02 03:29:00","01:53","Ceres Unified School District ;; Chowchilla USD ;; Coalinga District Library ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD ;; CSU Bakersfield ;; Earlimart School District ;; Fresno County Library ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Kings COE ;; Kings County Library ;; Madera COE ;; Madera County Library ;; Mariposa COE ;; Mariposa County Library ;; Merced CC ;; Merced COE ;; Merced County Library ;; San Joaquin COE ;; San Joaquin Delta College ;; San Luis Obispo COE ;; Stanislaus COE ;; Taft College ;; Tulare COE ;; Tulare County Library ;; Tulare Public Library ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","Porterville College","Vast","unknown",""
"UC","NOC-627011","UCANR Sierra Foothill REC loss of connectivity.","2020-07-29 19:16:00","2020-07-29 22:07:00","02:51","","UCANR Sierra Foothill REC","Environmental","power outage",""
"CC","NOC-626726","Palo Verde College is unavailable.","2020-07-29 06:49:00","2020-07-29 12:14:00","05:25","","Palo Verde College","AT&T","faulty line card",""
"Multi-site","NOC-626970","Multiple circuits bounced in the Sacramento hub site.","2020-07-29 12:17:00","2020-07-29 12:18:00","00:01","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center ;; Siskiyou COE ;; Tulelake Basin Joint USD","Yuba CCD Colusa County Campus","AT&T","unknown",""
"K12/COE","NOC-626956","Riverside COE - Indio 10G Circuit Outage","2020-07-29 08:49:00","2020-07-29 08:56:00","00:07","","Riverside - Indio COE","Spectrum","unknown",""
"CC","NOC-626938","Irvine Valley CC 10G circuits are down.","2020-07-29 03:27:00","2020-07-29 04:24:00","00:57","Irvine Valley College ;; Saddleback CC","","AT&T","unknown",""
"Multi-site","NOC-627062","Several Spectrum Circuits bounced in the SoCal region.","2020-07-30 05:06:00","2020-07-30 05:10:00","00:04","College of the Desert ;; Copper Mountain CCD ;; Riverside - Indio COE ;; Riverside COE","","Spectrum","faulty line card",""
"Multi-site","NOC-627138","Multiple Comcast circuits bounced.","2020-07-31 02:24:00","2020-07-31 02:26:00","00:02","Butte COE ;; Shasta COE ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch","Comcast","unknown",""
"CC","NOC-627128","The 10GE circuit for LA Mission CC to Tustin was down briefly.","2020-07-31 01:42:00","2020-07-31 01:46:00","00:04","LA Mission College","","AT&T","higher level carrier",""
"CC","NOC-626793","GE link to Sierra CCD - Western Nevada County Center is Down","2020-07-27 15:31:00","2020-07-30 07:54:00","64:23","Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","","Juniper ;; AT&T","other","Junos bug"
