"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"SCE (So Cal Edison)","NOC-627856","2943039","2020-08-11 00:53:00","2020-08-11 15:09:00","14:16","fiber cut",""
"Crown Castle","NOC-627851","CCF20320676","2020-08-10 22:34:00","2020-08-10 22:37:00","00:03","unknown","Generic DF RFO"
"Crown Castle","NOC-627820","","2020-08-10 12:00:00","2020-08-10 12:05:00","00:05","unknown","Generic DF RFO"
"Crown Castle","NOC-627782","CCF20320323 / CCF2032299 - RFO","2020-08-09 23:27:00","2020-08-10 00:14:00","00:47","unknown",""
"Environmental","NOC-627768","","2020-08-09 08:53:00","2020-08-09 09:13:00","00:20","power outage",""
"AT&T","NOC-627743","LE122625","2020-08-09 00:33:00","2020-08-09 01:09:00","00:36","unknown",""
"Environmental","NOC-627752","285869631 (LE122646)","2020-08-08 10:57:00","2020-08-08 10:59:00","00:02","power outage",""
"Environmental","NOC-627751","285868507","2020-08-08 09:00:00","2020-08-08 09:02:00","00:02","power outage",""
"AT&T","NOC-627749","","2020-08-08 07:35:00","2020-08-08 07:43:00","00:08","unknown",""
"AT&T","NOC-627743","LE122625","2020-08-07 23:30:00","2020-08-08 01:58:00","02:28","unknown",""
"Spectrum","NOC-627740","ECT-80255063","2020-08-07 21:48:00","2020-08-07 21:52:00","00:04","higher level carrier",""
"Environmental","NOC-627707","","2020-08-07 11:05:00","2020-08-07 11:51:00","00:46","power outage",""
"Spectrum","NOC-627671","ECT-80253738","2020-08-06 22:23:00","2020-08-07 04:34:00","06:11","other","Fiber cut followed by Spectrum routing issue"
"Spectrum","NOC-627688","ECT-80253908","2020-08-07 03:05:00","2020-08-07 03:50:00","00:45","provider maintenance",""
"Comcast","NOC-627679","SI-044740107","2020-08-07 01:18:00","2020-08-07 04:00:00","02:42","provider maintenance",""
"Spectrum","NOC-627689","","2020-08-07 03:05:00","2020-08-07 03:15:00","00:10","provider maintenance",""
"CenturyLink (Level3)","NOC-627594","19364778","2020-08-05 22:17:00","2020-08-06 23:07:00","24:50","fiber damage",""
"Vast","NOC-627604","","2020-08-06 00:09:00","2020-08-06 00:15:00","00:06","provider maintenance",""
"AT&T","NOC-627607","285776448","2020-08-06 01:15:00","2020-08-06 01:20:00","00:05","unknown",""
"Vast","NOC-627574","","2020-08-05 14:43:00","2020-08-05 14:44:00","00:01","unknown",""
"Zayo","NOC-622218"," TTN-0004109357 TTN-0004123276 TTN-0004130722 TTN-0004309228","2020-08-05 06:59:00","2020-08-05 11:51:00","04:52","unknown",""
"Environmental","NOC-627508","","2020-08-04 22:40:00","2020-08-05 04:28:00","05:48","power outage",""
