"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CC","NOC-625204","Butte Glenn College is unreachable.","2020-07-07 10:57:00","2020-07-07 14:26:00","03:29","","Butte Glenn CCD","Environmental","wildfire",""
"Other","NOC-625275","CENIC NOC VoIP Service down.","2020-07-07 04:10:00","2020-07-07 04:48:00","00:38","","","Environmental","unknown","Mitel issue affecting CENIC voip"
"Other","NOC-625275","CENIC NOC VoIP Services down.","2020-07-07 04:10:00","2020-07-07 04:48:00","00:38","","","Environmental","unknown","Duplicate"
"Library","NOC-625207","Redondo Beach Public Library is down.","2020-07-06 10:42:00","2020-07-06 16:11:00","05:29","","Redondo Beach Public Library","Spectrum","unknown","RFO never provided by spectrum"
"Multi-site","NOC-625208","Multiple CVIN circuits down in the Central Valley.","2020-07-06 10:46:00","2020-07-06 14:10:00","03:24","Coalinga District Library ;; CSU Bakersfield ;; Earlimart School District ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; Porterville Public Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","faulty line card",""
"K12/COE","NOC-625248","Los Angeles USD- Van Nuys 100GE circuit to Tustin bounced.","2020-07-06 19:19:00","2020-07-06 19:21:00","00:02","Los Angeles USD","","Crown Castle","unknown","Generic DF RFO"
"Multi-site","NOC-625184","Multiple Circuits Down in the Central Valley","2020-07-05 20:47:00","2020-07-05 23:47:00","03:00","Amador COE ;; Calaveras COE ;; Central Valley Independent Network ;; Ceres Unified School District ;; Chowchilla USD ;; Colusa COE ;; CSU Fresno ;; CSU Stanislaus ;; El Dorado COE ;; Fresno COE ;; Kern COE ;; Madera COE ;; Nevada Joint Union HSD ;; Placer COE ;; San Joaquin COE ;; San Joaquin Delta College ;; San Luis Obispo COE ;; Sierra COE - WEST ;; Stanislaus COE ;; Sutter COE ;; Tuolumne COE ;; Woodland CC ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE ;; Yuba City USD","Amador County Library ;; Calaveras County Library ;; Tuolumne County Library","Vast","unknown","RFO not provided"
"Multi-site","NOC-625153","Multiple circuits are down in Central Valley.","2020-07-05 15:17:00","2020-07-06 01:32:00","10:15","CSU Stanislaus - Stockton Center ;; Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Madera COE ;; Madera County Library ;; Mariposa COE ;; Mariposa County Library ;; Merced County Library ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Vast","unknown","RFO not provided"
"UC","NOC-625191","UCSF 10G XD circuit to Los Angeles went down.","2020-07-06 00:21:00","2020-07-06 00:51:00","00:30","","","CENIC Internal","other","Tech pulled wrong fiber during CENIC maintenance"
"Multi-site","NOC-625151","Multiple circuits brief bounce in Bay area.","2020-07-05 11:53:00","2020-07-05 11:54:00","00:01","San Jose Public Library","City of Alameda ;; UC Berkeley International House","Comcast","fiber cut",""
"Multi-site","NOC-625089","Central Valley Outage","2020-07-03 14:33:00","2020-07-03 14:40:00","00:07","Calaveras COE ;; Columbia CC ;; Colusa COE ;; CSU Stanislaus - Stockton Center ;; El Dorado COE ;; Placer COE ;; Sutter COE ;; Tuolumne COE ;; Woodland CC ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE","Stanislaus County Library","Vast","unknown","RFO not provided"
"Multi-site","NOC-625063","Multiple circuits in the NorCal region are down.","2020-07-02 19:20:00","2020-07-03 00:10:00","04:50","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","faulty line card","Not 100% sure on RFO, equipment issues"
"UC","NOC-624997","UC Irvine's Optical Route 95 to Los Angeles outage.","2020-07-01 21:09:00","2020-07-01 23:00:00","01:51","","","Crown Castle","unknown","Generic DF RFO"
"K12/COE","NOC-624996","The dark fiber connection from LAUSD to Los Angeles Hub is unstable.","2020-07-01 21:44:00","2020-07-01 23:00:00","01:16","Los Angeles USD","","Crown Castle","unknown","No RFO provided"
"UC","NOC-624997","Optical Route 95 outage.","2020-07-01 21:09:00","2020-07-01 21:10:00","00:01","","","Crown Castle","unknown",""
"K12/COE","NOC-624992","OCDE's 100G circuit to Los Angeles bounced briefly.","2020-07-01 20:24:00","2020-07-01 20:25:00","00:01","Orange County Department of Education","","Crown Castle","unknown",""
"K12/COE","NOC-624317","Dark fiber unstable.","2020-06-29 02:46:00","2020-06-29 05:02:00","02:16","Los Angeles USD","","Cisco ;; SCE (So Cal Edison)","unknown","No RFO from CCF"
"Multi-site","NOC-624973","Both circuits to Loyalton HS - Sierra COE East are currently up.","2020-07-01 14:21:00","2020-07-01 14:53:00","00:32","Lassen COE ;; Modoc COE ;; Plumas COE","Loyalton HS - Sierra COE","Environmental","power outage",""
"CSU","NOC-624803","CSU Northridge 100G circuit to Los Angeles was unstable.","2020-06-29 19:49:00","2020-07-01 05:46:00","33:57","CSU Northridge","","Crown Castle","unknown","Circuit restored after OTDR testing, exact RFO unknown"
"UC","NOC-624924","UCB 10G circuit to San Diego is down.","2020-07-01 06:00:00","2020-07-01 13:00:00","07:00","University of California, Berkeley","","CENIC Internal","fiber damage",""
"Library","NOC-624894","Loss of connectivity to Santa Clarita Public Library.","2020-06-30 16:36:00","2020-06-30 18:07:00","01:31","","Santa Clarita Public Library","Environmental","power outage",""
"K12/COE","NOC-624936","Router reboot.","2020-07-01 05:24:00","2020-07-01 05:39:00","00:15","Sutter COE","","Environmental","power outage",""
"K12/COE","NOC-624912","Sierra COE loss of connectivity.","2020-06-30 21:05:00","2020-06-30 21:08:00","00:03","","Sierra COE - WEST","Environmental","power outage",""
