"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Vast","NOC-630198","","2020-09-08 12:39:00","2020-09-08 12:56:00","00:17","unknown",""
"Level3 ;; Vast","NOC-630108","2103","2020-09-06 14:43:00","2020-09-07 18:24:00","27:41","other","High temps causing CVIN eq issues"
"Environmental","NOC-630112","LE124259","2020-09-06 15:27:00","2020-09-08 09:00:00","41:33","power outage",""
"AT&T","NOC-630152","286975249","2020-09-07 19:21:00","2020-09-08 02:06:00","06:45","higher level carrier",""
"Vast","NOC-630086","","2020-09-05 21:37:00","2020-09-07 09:55:00","36:18","other","High temps"
"Vast","NOC-630142","","2020-09-07 10:00:00","2020-09-07 12:00:00","02:00","unknown",""
"Level3 ;; Vast","NOC-630108","2103","2020-09-06 14:43:00","2020-09-07 10:04:00","19:21","other","High temps"
"Environmental","NOC-630084","","2020-09-05 19:51:00","2020-09-05 19:54:00","00:03","power outage",""
"CenturyLink (Level3)","NOC-630113","19614107","2020-09-06 15:36:00","2020-09-06 18:18:00","02:42","other","CLink AC failure"
"Crown Castle","NOC-629781","CCF20328407  /  1-200468217127 (Equinix) / New CCF ticket 20329106","2020-09-03 00:57:00","2020-09-05 14:08:00","61:11","fiber cut",""
"AT&T","NOC-630063","","2020-09-05 10:45:00","2020-09-05 10:47:00","00:02","unknown",""
"Vast","NOC-630040","CVIN Ticket 2099","2020-09-04 20:47:00","2020-09-04 20:48:00","00:01","unknown",""
"Vast","NOC-630051","","2020-09-04 21:13:00","2020-09-04 21:16:00","00:03","unknown",""
"Frontier","NOC-629916","","2020-09-03 14:40:00","2020-09-03 14:42:00","00:02","other","Frontier duplexing issue"
"Spectrum","NOC-630023","","2020-09-04 13:32:00","2020-09-04 16:06:00","02:34","fiber cut",""
"AT&T","NOC-629902","286824454 / 286824316 / 286824435 / 286823896","2020-09-03 13:42:00","2020-09-03 23:44:00","10:02","fiber cut",""
"AT&T","NOC-629954","GCSC 286846538","2020-09-03 15:16:00","2020-09-04 00:14:00","08:58","fiber cut",""
"Comcast","NOC-629901","Comcast SI045312085   /  Centurylink 19598693","2020-09-03 13:32:00","2020-09-04 00:37:00","11:05","faulty line card",""
"Environmental","NOC-629926","","2020-09-03 15:03:00","2020-09-03 21:41:00","06:38","power outage",""
"Crown Castle","NOC-629946","","2020-09-03 17:20:00","2020-09-03 17:25:00","00:05","unknown",""
"Spectrum","NOC-629829","ECT-80287057","2020-09-03 04:10:00","2020-09-03 12:38:00","08:28","faulty line card",""
"GeoLinks","NOC-629769","JG-0903-0830","2020-09-02 20:18:00","2020-09-02 23:30:00","03:12","higher level carrier",""
"Comcast","NOC-629790","SI045292147","2020-09-03 01:40:00","2020-09-03 02:34:00","00:54","other","Reverting traffic onto repaired fiber"
"AT&T","NOC-629868","286815740 / 286815506 / 286815612 / 286815493 / 286815302","2020-09-03 09:36:00","2020-09-03 09:38:00","00:02","unknown","No RFO found"
"Spectrum","NOC-629536","ECT-80284789 / ECT-80284784 / ECT-80284771 / ECT-80284765 / ECT-80284760","2020-09-01 10:42:00","2020-09-02 10:52:00","24:10","fiber cut",""
"AT&T","NOC-629676","286784413","2020-09-02 09:22:00","2020-09-02 13:35:00","04:13","higher level carrier",""
"AT&T","NOC-629676","286784413","2020-09-02 09:22:00","2020-09-02 18:57:00","09:35","higher level carrier",""
"AT&T","NOC-629819","YJ006446","2020-09-03 02:15:00","2020-09-03 02:21:00","00:06","unknown",""
"Spectrum","NOC-629787","80287024","2020-09-03 01:36:00","2020-09-03 01:38:00","00:02","higher level carrier",""
"Cisco","NOC-629504","","2020-09-02 03:12:00","2020-09-02 23:30:00","20:18","faulty line card","Faulty CENIC LC"
"AT&T","NOC-629677","286778661 (GCSC)","2020-09-02 09:22:00","2020-09-02 18:57:00","09:35","higher level carrier",""
"Environmental","NOC-629655","","2020-09-02 04:04:00","2020-09-02 07:08:00","03:04","power outage",""
"Cisco","NOC-629248","","2020-08-27 18:34:00","2020-08-30 09:53:00","63:19","other","tri-agg2 IGMP memory issue"
