"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-629622","","2020-09-01 22:12:00","2020-09-01 22:17:00","00:05","unknown","RFO pending"
"Environmental","NOC-629594","","2020-09-01 16:35:00","2020-09-01 18:00:00","01:25","power outage",""
"Spectrum","NOC-629463","","2020-08-31 10:33:00","2020-09-01 11:28:00","24:55","fiber cut","Customer managed fiber"
"Crown Castle","NOC-629518","CCF200327768","2020-09-01 06:35:00","2020-09-01 06:36:00","00:01","unknown",""
"Environmental","NOC-629487","","2020-08-31 20:40:00","2020-09-01 04:11:00","07:31","power outage","LaM Outage"
"Spectrum","NOC-629480","ECT-80283899","2020-08-31 15:35:00","2020-08-31 17:11:00","01:36","unknown",""
"Cisco","NOC-629504","","2020-09-01 00:09:00","2020-09-01 02:28:00","02:19","faulty line card","Faulty CENIC equipment"
"AT&T","NOC-629489","","2020-08-31 17:47:00","2020-08-31 18:07:00","00:20","unknown",""
"Environmental","NOC-629447","","2020-08-31 08:05:00","2020-08-31 10:05:00","02:00","power outage",""
"Environmental","NOC-629388","LE123790","2020-08-30 00:26:00","2020-08-31 09:09:00","32:43","power outage",""
"Spectrum","NOC-629407","ECT-80282161","2020-08-30 21:50:00","2020-08-31 07:03:00","09:13","fiber cut",""
"Spectrum","NOC-629445","80282482","2020-08-31 07:27:00","2020-08-31 07:35:00","00:08","unknown",""
"Environmental","NOC-629377","","2020-08-29 09:32:00","2020-08-29 10:22:00","00:50","power outage",""
"CENIC Internal","NOC-629358","","2020-08-28 19:25:00","2020-08-28 21:39:00","02:14","other","CENIC switch reload"
"AT&T","NOC-629309","286618612","2020-08-28 11:11:00","2020-08-28 15:18:00","04:07","unknown",""
"Environmental","NOC-629320","","2020-08-28 13:48:00","2020-08-28 14:48:00","01:00","power outage",""
"Crown Castle","NOC-629141","CCF20325487","2020-08-26 18:00:00","2020-08-27 18:31:00","24:31","fiber cut",""
"AT&T","NOC-629289","","2020-08-28 07:49:00","2020-08-28 07:51:00","00:02","unknown",""
"Equinix","NOC-629212","07929118 and 5-200331141326","2020-08-27 12:37:00","2020-08-28 06:30:00","17:53","faulty line card","Faulty Equinix equipment"
"Cisco ;; Equinix","NOC-629007","","2020-08-25 14:19:00","2020-08-26 06:00:00","15:41","other","Optic reseating"
"Comcast","NOC-628979","SI045116984","2020-08-25 07:17:00","2020-08-25 15:11:00","07:54","unknown",""
"GeoLinks","NOC-629273","OG08280219","2020-08-28 01:58:00","2020-08-28 02:23:00","00:25","unknown",""
"Vast","NOC-629163","","2020-08-27 04:34:00","2020-08-27 17:18:00","12:44","faulty line card",""
"Vast","NOC-629159","","2020-08-26 22:30:00","2020-08-27 14:33:00","16:03","fiber damage",""
"Spectrum","NOC-629151","80278168","2020-08-27 01:13:00","2020-08-27 09:00:00","07:47","unknown",""
"Environmental","NOC-629195","","2020-08-27 08:56:00","2020-08-27 10:14:00","01:18","power outage",""
"AT&T","NOC-629215","","2020-08-27 13:09:00","2020-08-27 13:10:00","00:01","unknown",""
"Vast","NOC-629086","","2020-08-26 08:07:00","2020-08-26 22:30:00","14:23","fiber cut",""
"GeoLinks","NOC-629132","151663","2020-08-26 16:12:00","2020-08-26 17:12:00","01:00","unknown",""
"Environmental","NOC-629131","","2020-08-26 16:02:00","2020-08-26 18:04:00","02:02","power outage",""
