"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-625204","YJ006375 YJ006376","2020-07-07 10:57:00","2020-07-07 14:26:00","03:29","wildfire",""
"Environmental","NOC-625275","","2020-07-07 04:10:00","2020-07-07 04:48:00","00:38","unknown","Mitel issue affecting CENIC voip"
"Environmental","NOC-625275","","2020-07-07 04:10:00","2020-07-07 04:48:00","00:38","unknown","Duplicate"
"Spectrum","NOC-625207","ECT80210904","2020-07-06 10:42:00","2020-07-06 16:11:00","05:29","unknown","RFO never provided by spectrum"
"Vast","NOC-625208","","2020-07-06 10:46:00","2020-07-06 14:10:00","03:24","faulty line card",""
"Crown Castle","NOC-625248","CCF-20309398","2020-07-06 19:19:00","2020-07-06 19:21:00","00:02","unknown","Generic DF RFO"
"Vast","NOC-625184","","2020-07-05 20:47:00","2020-07-05 23:47:00","03:00","unknown","RFO not provided"
"Vast","NOC-625153","","2020-07-05 15:17:00","2020-07-06 01:32:00","10:15","unknown","RFO not provided"
"CENIC Internal","NOC-625191","","2020-07-06 00:21:00","2020-07-06 00:51:00","00:30","other","Tech pulled wrong fiber during CENIC maintenance"
"Comcast","NOC-625151","","2020-07-05 11:53:00","2020-07-05 11:54:00","00:01","fiber cut",""
"Vast","NOC-625089","","2020-07-03 14:33:00","2020-07-03 14:40:00","00:07","unknown","RFO not provided"
"Frontier","NOC-625063","","2020-07-02 19:20:00","2020-07-03 00:10:00","04:50","faulty line card","Not 100% sure on RFO, equipment issues"
"Crown Castle","NOC-624997","CCF20308606","2020-07-01 21:09:00","2020-07-01 23:00:00","01:51","unknown","Generic DF RFO"
"Crown Castle","NOC-624996","","2020-07-01 21:44:00","2020-07-01 23:00:00","01:16","unknown","No RFO provided"
"Crown Castle","NOC-624997","CCF20308606","2020-07-01 21:09:00","2020-07-01 21:10:00","00:01","unknown",""
"Crown Castle","NOC-624992","CCF-20308584","2020-07-01 20:24:00","2020-07-01 20:25:00","00:01","unknown",""
"Cisco ;; SCE (So Cal Edison)","NOC-624317","2869830, CCF20307858","2020-06-29 02:46:00","2020-06-29 05:02:00","02:16","unknown","No RFO from CCF"
"Environmental","NOC-624973","","2020-07-01 14:21:00","2020-07-01 14:53:00","00:32","power outage",""
"Crown Castle","NOC-624803","CCF20308082","2020-06-29 19:49:00","2020-07-01 05:46:00","33:57","unknown","Circuit restored after OTDR testing, exact RFO unknown"
"CENIC Internal","NOC-624924","","2020-07-01 06:00:00","2020-07-01 13:00:00","07:00","fiber damage",""
"Environmental","NOC-624894","","2020-06-30 16:36:00","2020-06-30 18:07:00","01:31","power outage",""
"Environmental","NOC-624936","","2020-07-01 05:24:00","2020-07-01 05:39:00","00:15","power outage",""
"Environmental","NOC-624912","","2020-06-30 21:05:00","2020-06-30 21:08:00","00:03","power outage",""
