"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-636961","","2020-12-07 06:37:00","2020-12-07 08:12:00","01:35","power outage",""
"Vast","NOC-636990","","2020-12-07 12:24:00","2020-12-07 12:45:00","00:21","unknown",""
"Zayo","NOC-636992","TTN-0004637073","2020-12-07 12:32:00","2020-12-07 12:35:00","00:03","unknown",""
"Environmental","NOC-636948","","2020-12-07 00:36:00","2020-12-07 00:49:00","00:13","power outage",""
"Vast","NOC-636939","","2020-12-06 23:32:00","2020-12-07 04:37:00","05:05","provider maintenance",""
"AT&T","NOC-636888","295230049","2020-12-05 23:00:00","2020-12-06 10:30:00","11:30","fiber damage",""
"AT&T","NOC-636889","295222493","2020-12-05 17:15:00","2020-12-06 10:30:00","17:15","fiber damage",""
"CBC","NOC-636839","","2020-12-05 10:00:00","2020-12-06 21:48:00","35:48","fiber damage",""
"Environmental","NOC-636877","295219289","2020-12-05 13:43:00","2020-12-05 15:51:00","02:08","power outage",""
"Environmental","NOC-636868","","2020-12-05 05:35:00","2020-12-05 05:40:00","00:05","power outage",""
"Zayo","NOC-636612","TTN-0004626377 ","2020-12-02 11:20:00","2020-12-04 00:39:00","37:19","fiber cut",""
"Environmental","NOC-636810","295183733","2020-12-04 06:09:00","2020-12-04 06:15:00","00:06","power outage",""
"Crown Castle","NOC-636769","CCF20353738","2020-12-03 22:36:00","2020-12-03 23:20:00","00:44","provider maintenance","Impact during unrelated maintenance"
"Zayo","NOC-636612","TTN-0004626377 ","2020-12-02 11:20:00","2020-12-04 04:00:00","40:40","fiber cut",""
"Cisco","NOC-636555","","2020-12-01 19:11:00","2020-12-03 01:00:00","29:49","faulty line card","CENIC issue"
"Zayo","NOC-636645","0004627470","2020-12-02 20:34:00","2020-12-03 00:15:00","03:41","fiber cut",""
"Environmental","NOC-636751","","2020-12-03 15:26:00","2020-12-03 16:06:00","00:40","power outage",""
"Comcast","NOC-636739","SI046869935","2020-12-03 12:56:00","2020-12-03 12:57:00","00:01","unknown",""
"Vast","NOC-636716","","2020-12-03 10:09:00","2020-12-03 12:50:00","02:41","faulty line card",""
"Environmental","NOC-636714","","2020-12-03 10:04:00","2020-12-03 10:36:00","00:32","power outage",""
"Frontier","NOC-636721","2883528, 2883423","2020-12-03 10:37:00","2020-12-03 10:45:00","00:08","faulty line card",""
