"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-642177","","2021-02-15 02:27:00","2021-02-15 10:27:00","08:00","faulty line card",""
"Zayo","NOC-642075","TTN-0004791398","2021-02-13 12:13:00","2021-02-15 13:07:00","48:54","fiber cut",""
"Spectrum","NOC-642125","ECT-80501913","2021-02-14 08:19:00","2021-02-14 13:22:00","05:03","faulty line card",""
"Frontier","NOC-642077","OP-000002912546","2021-02-13 02:44:00","2021-02-13 12:40:00","09:56","fiber cut",""
"Environmental","NOC-642048","","2021-02-12 19:57:00","2021-02-12 21:09:00","01:12","unknown",""
"Environmental","NOC-642093","","2021-02-13 10:15:00","2021-02-13 10:54:00","00:39","power outage",""
"AT&T","NOC-642088","297148124, 297148475, 297148407","2021-02-13 08:37:00","2021-02-13 08:40:00","00:03","faulty line card",""
"Environmental","NOC-642083","","2021-02-13 06:30:00","2021-02-13 06:33:00","00:03","power outage",""
"Environmental","NOC-642057","","2021-02-12 14:45:00","2021-02-12 16:00:00","01:15","power outage",""
"Comcast","NOC-642012","SI047817331","2021-02-12 05:15:00","2021-02-12 07:06:00","01:51","provider maintenance",""
"AT&T","NOC-641943","","2021-02-11 09:36:00","2021-02-11 09:37:00","00:01","unknown",""
"Crown Castle","NOC-641815","CCF21371507","2021-02-09 13:26:00","2021-02-10 17:44:00","28:18","fiber cut",""
"Environmental","NOC-641757","","2021-02-10 06:46:00","2021-02-10 07:50:00","01:04","power outage",""
"AT&T","NOC-641845","297041185","2021-02-10 02:44:00","2021-02-10 03:05:00","00:21","unknown",""
"AT&T","NOC-641838","","2021-02-10 01:15:00","2021-02-10 01:28:00","00:13","faulty line card",""
"Spectrum","NOC-641841","80495870","2021-02-10 01:21:00","2021-02-10 01:36:00","00:15","fiber damage",""
