"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Vast","NOC-640568","","2021-01-25 16:24:00","2021-01-25 19:35:00","03:11","other","CVIN wiring issue"
"Environmental","NOC-640494","296568915","2021-01-25 06:18:00","2021-01-25 14:43:00","08:25","power outage",""
"AT&T","NOC-640481","296561293","2021-01-25 00:49:00","2021-01-25 05:45:00","04:56","unknown","Probably AT&T maintenance since it looks like a maintenance window, unconfirmed"
"Environmental","NOC-640485","","2021-01-25 03:49:00","2021-01-25 10:55:00","07:06","power outage",""
"Environmental","NOC-640467","296554786","2021-01-24 17:29:00","2021-01-24 20:34:00","03:05","power outage",""
"CenturyLink (Level3)","NOC-640466","20512329","2021-01-24 16:25:00","2021-01-24 16:55:00","00:30","unknown",""
"Environmental","NOC-640462","","2021-01-24 15:49:00","2021-01-24 15:54:00","00:05","power outage",""
"Environmental","NOC-640441","","2021-01-23 17:28:00","2021-01-23 21:38:00","04:10","power outage",""
"AT&T","NOC-640437","GCSC - 296538082/ 296538083","2021-01-23 17:09:00","2021-01-23 17:11:00","00:02","unknown",""
"Environmental","NOC-640433","","2021-01-23 11:48:00","2021-01-23 13:29:00","01:41","power outage",""
"AT&T","NOC-640408","296516209, 296515908, 296516213, 296516215","2021-01-22 15:03:00","2021-01-22 15:10:00","00:07","other","fiber bump"
"AT&T","NOC-640389","296507546","2021-01-22 10:22:00","2021-01-22 10:24:00","00:02","unknown",""
"Crown Castle","NOC-640277","CCF21366132","2021-01-20 18:36:00","2021-01-21 07:14:00","12:38","fiber cut",""
"AT&T","NOC-640161","296440764 296440861","2021-01-19 12:13:00","2021-01-21 16:13:00","52:00","other","ATT CPE didn't restore post power outage"
"Environmental","NOC-640140","","2021-01-19 08:23:00","2021-01-20 14:09:00","29:46","power outage",""
"Environmental","NOC-640066","","2021-01-19 00:19:00","2021-01-19 15:33:00","15:14","power outage",""
"Environmental","NOC-640244","","2021-01-20 12:41:00","2021-01-20 19:31:00","06:50","power outage",""
"Environmental","NOC-640169","","2021-01-19 12:39:00","2021-01-20 06:27:00","17:48","power outage",""
"Environmental","NOC-640124","","2021-01-19 05:27:00","2021-01-20 07:32:00","26:05","power outage",""
"Environmental","NOC-640131","","2021-01-19 07:22:00","2021-01-19 12:08:00","04:46","power outage",""
"Environmental","NOC-640134","296396611","2021-01-19 13:01:00","2021-01-19 22:46:00","09:45","power outage",""
"Environmental","NOC-640157","","2021-01-19 11:19:00","2021-01-19 23:10:00","11:51","power outage",""
"Environmental","NOC-640110","","2021-01-19 02:50:00","2021-01-19 06:24:00","03:34","power outage",""
