"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-642177","Multiple AT&T Circuits restored","2021-02-15 02:27:00","2021-02-15 10:27:00","08:00","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; Saddleback CC ;; San Bernardino Valley CC","","AT&T","faulty line card",""
"UC","NOC-642075","UCHS Quincy - Zayo outage","2021-02-13 12:13:00","2021-02-15 13:07:00","48:54","","","Zayo","fiber cut",""
"CC","NOC-642125","San Diego CCD 10G to Riverside was down","2021-02-14 08:19:00","2021-02-14 13:22:00","05:03","San Diego CCD","","Spectrum","faulty line card",""
"Multi-site","NOC-642077","Frontier circuits are up.","2021-02-13 02:44:00","2021-02-13 12:40:00","09:56","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","fiber cut",""
"K12/COE","NOC-642048","Dark Fiber instability","2021-02-12 19:57:00","2021-02-12 21:09:00","01:12","Riverside - Indio COE ;; Riverside COE","","Environmental","unknown",""
"K12/COE","NOC-642093","The CPEs at El Dorado COE are now reachable.","2021-02-13 10:15:00","2021-02-13 10:54:00","00:39","","El Dorado COE","Environmental","power outage",""
"Multi-site","NOC-642088","Multiple Circuits in the Bay Area were unstable.","2021-02-13 08:37:00","2021-02-13 08:40:00","00:03","City College of San Francisco CCD ;; Marin COE ;; San Francisco COE","","AT&T","faulty line card",""
"Multi-site","NOC-642083","Router reloaded.","2021-02-13 06:30:00","2021-02-13 06:33:00","00:03","Madera County Library ;; Merced County Library","Mariposa County Library","Environmental","power outage",""
"CC","NOC-642057","Compton CC Outage","2021-02-12 14:45:00","2021-02-12 16:00:00","01:15","El Camino College","Compton College","Environmental","power outage",""
"Multi-site","NOC-642012","Multiple down circuits in the Sunnyvale region","2021-02-12 05:15:00","2021-02-12 07:06:00","01:51","Allan Hancock CCD ;; Monterey Peninsula CCD - Marina Ed Center ;; Monterey Peninsula College","MARINet ;; Pacific Grove Public Library ;; Pleasanton Public Library ;; San Jose Public Library ;; Santa Cruz Public Library","Comcast","provider maintenance",""
"Multi-site","NOC-641943","Multiple AT&T circuits bounced.","2021-02-11 09:36:00","2021-02-11 09:37:00","00:01","Chaffey CC CITC ;; Chaffey Joint UHSD ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; San Bernardino CSS","Corona Public Library","AT&T","unknown",""
"CC","NOC-641815","The circuit between the El Monte and Santa Fe Springs locations is not passing traffic.","2021-02-09 13:26:00","2021-02-10 17:44:00","28:18","Rio Hondo CC ;; Rio Hondo CC - Fire Academy ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CC - South Whittier Education Center ;; Rio Hondo CCD El Monte Education Center","","Crown Castle","fiber cut",""
"CC","NOC-641757","Santa Rosa JC - Shone Agricultural Center is Down","2021-02-10 06:46:00","2021-02-10 07:50:00","01:04","","Santa Rosa JC Shone Agriculture Center","Environmental","power outage",""
"CC","NOC-641845","Canyon Country Education Center circuit to Los Angeles is down.","2021-02-10 02:44:00","2021-02-10 03:05:00","00:21","Canyon Country Education Center ;; College of the Canyons","","AT&T","unknown",""
"Multi-site","NOC-641838","Multiple AT&T circuits went down in the SoCal region","2021-02-10 01:15:00","2021-02-10 01:28:00","00:13","Garfield Center ;; Glendale CC Professional Development Center ;; Glendale CCD","Altadena Public Library ;; Sierra Madre Public Library","AT&T","faulty line card",""
"CC","NOC-641841","Rio Hondo College Fire Academy circuit to Tustin is unstable.","2021-02-10 01:21:00","2021-02-10 01:36:00","00:15","Rio Hondo CC ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CCD El Monte Education Center","Rio Hondo CC - Fire Academy ;; Rio Hondo CC - South Whittier Education Center","Spectrum","fiber damage",""
