"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-638894","295973125","2021-01-04 05:35:00","2021-01-04 16:35:00","11:00","power outage",""
"Environmental","NOC-638907","","2021-01-04 08:48:00","2021-01-04 15:27:00","06:39","power outage",""
"Environmental","NOC-638558","","2020-12-28 17:31:00","2021-01-04 12:37:00","163:06","power outage",""
"GeoLinks","NOC-638810","163568","2021-01-01 20:32:00","2021-01-04 14:21:00","65:49","faulty line card",""
"AT&T","NOC-638942","","2021-01-04 13:59:00","2021-01-04 14:05:00","00:06","unknown",""
"Environmental","NOC-638754","295906815 295907028","2020-12-31 04:45:00","2021-01-04 09:38:00","100:53","power outage",""
"Environmental","NOC-638834","","2021-01-02 06:06:00","2021-01-04 08:26:00","50:20","power outage",""
"Environmental","NOC-638919","","2021-01-04 10:25:00","2021-01-04 10:52:00","00:27","power outage",""
"Environmental","NOC-638866","","2021-01-03 00:58:00","2021-01-03 06:16:00","05:18","power outage",""
"Crown Castle","NOC-638825","CCF21361054","2021-01-02 00:21:00","2021-01-02 00:24:00","00:03","unknown",""
"AT&T","NOC-638822","295938360 295938573 295939660 295939945 295939663 295937192","2021-01-01 22:38:00","2021-01-01 22:43:00","00:05","unknown",""
"SCE","NOC-638783","3161048","2021-01-01 00:08:00","2021-01-01 19:35:00","19:27","fiber damage",""
"Environmental","NOC-638684","","2020-12-29 23:46:00","2020-12-30 08:21:00","08:35","other","Customer owned fiber"
"Environmental","NOC-638794","","2021-01-01 06:58:00","2021-01-01 14:57:00","07:59","other","Customer owned fiber"
"Vast","NOC-638773","","2020-12-31 18:49:00","2020-12-31 22:03:00","03:14","fiber cut",""
"Environmental","NOC-638785","","2021-01-01 00:41:00","2021-01-01 01:06:00","00:25","power outage",""
"AT&T","NOC-638768","86/KRFN/578109/PT (Local UNI), 295919069 86/VLXP/135437//PT (EVC), 295918747 86/KRFN/578100/PT (Remote UNI) 295919430","2020-12-31 15:47:00","2020-12-31 15:49:00","00:02","unknown",""
"Environmental","NOC-638605","","2020-12-30 07:36:00","2020-12-30 14:55:00","07:19","power outage",""
"AT&T","NOC-638731","","2020-12-30 14:28:00","2020-12-30 14:29:00","00:01","faulty line card",""
"AT&T","NOC-638696","","2020-12-30 03:42:00","2020-12-30 03:44:00","00:02","unknown",""
