"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-642567","Multiple AT&T circuits restored","2021-02-19 06:45:00","2021-02-19 11:46:00","05:01","CSU Chancellor's Office ;; CSU Dominguez Hills ;; El Camino College ;; Long Beach PCC","Compton College","AT&T","faulty line card",""
"CC","NOC-642585","The circuit between LA City College and CENIC's Los Angeles hub site is up.","2021-02-19 09:41:00","2021-02-19 10:19:00","00:38","LA City College","","AT&T","faulty optic",""
"UC","NOC-642586","UCANR Lindcove REC Outage","2021-02-19 09:42:00","2021-02-19 10:10:00","00:28","","UCANR Lindcove REC","GeoLinks","other","Radio reboot"
"Multi-site","NOC-642559","Multiple PST circuits went down.","2021-02-19 02:16:00","2021-02-19 02:30:00","00:14","Del Norte COE ;; Feather River College ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Madera COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Lassen CC","Plumas-Sierra Telecom","provider maintenance",""
"Library","NOC-642500","Walteria Branch Library down","2021-02-18 11:39:00","2021-02-18 13:12:00","01:33","","Walteria Branch Library","Environmental","power outage",""
"Multi-site","NOC-642223","Multiple circuits in the Central Valley region are down","2021-02-15 23:04:00","2021-02-18 15:26:00","64:22","Stanislaus COE","San Joaquin Delta College","AT&T","fiber damage",""
"UC","NOC-642514","UCSF Health System Tertiary 10G circuit to Quincy is up.","2021-02-18 14:12:00","2021-02-18 14:14:00","00:02","University of California, San Francisco","","Zayo","unknown",""
"UC","NOC-642493","UCANR Riverside Moreno Valley is unavailable.","2021-02-18 10:13:00","2021-02-18 11:11:00","00:58","","UCANR Riverside Moreno Valley","Environmental","power outage",""
"CC","NOC-642454","The 1GE Circuit to Sacramento Hub is down for Yuba CCDO.","2021-02-18 01:48:00","2021-02-18 04:14:00","02:26","","Yuba Community College District","AT&T","faulty line card",""
"Library","NOC-642438","Oxnard Public Library Loss of Connectivity","2021-02-17 20:30:00","2021-02-18 03:30:00","07:00","","Oxnard Public Library","Environmental","power outage",""
"UC","NOC-642449","Optical circuit between LA and UCI Health System were briefly down","2021-02-18 01:16:00","2021-02-18 01:18:00","00:02","","","Crown Castle","provider maintenance",""
"Multi-site","NOC-642370","Multiple circuits down in Triangle Court","2021-02-17 11:42:00","2021-02-17 16:06:00","04:24","Butte Glenn CCD ;; CA Department of Education ;; Del Norte COE ;; Lake Tahoe CC ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Sierra CC - Western Nevada County Center ;; Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD ;; Siskiyou COE ;; Tulelake Basin Joint USD ;; Woodland CC ;; Yuba CC ;; Yuba Community College District","Lake County Public Library ;; Lincoln Public Library ;; Los Rios CCD Rancho Cordova Ed_Center ;; Siskiyou County Free Library ;; Yolo COE ;; Yolo County Library","Frontier ;; AT&T","faulty line card",""
"Multi-site","NOC-642229","Backbone circuit between Sunnyvale and Oakland outage.","2021-02-16 05:42:00","2021-02-16 23:16:00","17:34","Cal Poly Pomona AWS ;; Jackson Labs ;; Los Nettos ;; UC Davis ;; UC Davis HPR ;; UC Davis to Amazon ;; UC San Diego to NOAA ;; UC Santa Cruz - Enterprise Technology Center ;; UCANR Davis Headquarters","","Cisco ;; CenturyLink (Level3)","fiber cut",""
