"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-637512","295504065","2020-12-14 16:10:00","2020-12-14 16:22:00","00:12","unknown",""
"AT&T","NOC-637449","295477711","2020-12-13 23:48:00","2020-12-14 01:15:00","01:27","unknown",""
"AT&T","NOC-637419","","2020-12-13 06:47:00","2020-12-13 06:53:00","00:06","unknown",""
"Vast","NOC-637397","5410","2020-12-12 17:15:00","2020-12-12 20:08:00","02:53","faulty line card",""
"Vast","NOC-637399","","2020-12-12 17:15:00","2020-12-13 20:08:00","26:53","faulty line card",""
"Frontier","NOC-637193","2886319, 2886251","2020-12-09 17:36:00","2020-12-11 14:53:00","45:17","fiber cut",""
"Spectrum","NOC-637340","ECT-80432778","2020-12-11 06:35:00","2020-12-11 07:06:00","00:31","unknown",""
"Plumas-Sierra Telecom","NOC-636965","","2020-12-07 08:01:00","2020-12-09 05:52:00","45:51","faulty line card",""
"Zayo","NOC-637143","","2020-12-08 22:26:00","2020-12-09 00:03:00","01:37","provider maintenance",""
"CenturyLink (Level3)","NOC-637204","","2020-12-09 20:03:00","2020-12-09 20:55:00","00:52","other","Generator failure"
"Environmental","NOC-637187","","2020-12-09 16:12:00","2020-12-09 16:28:00","00:16","power outage",""
"Comcast","NOC-637328","SI046972135","2020-12-11 02:35:00","2020-12-11 02:59:00","00:24","unknown",""
"AT&T","NOC-637252","YK003984 for thousand oaks","2020-12-10 04:12:00","2020-12-10 18:21:00","14:09","faulty line card",""
"AT&T","NOC-637309","295400222","2020-12-10 17:52:00","2020-12-10 17:57:00","00:05","unknown",""
"Environmental","NOC-637208","","2020-12-09 20:03:00","2020-12-10 10:16:00","14:13","power outage",""
"AT&T","NOC-636967","295257011, 295257017","2020-12-09 04:01:00","2020-12-09 04:07:00","00:06","unknown",""
"AT&T","NOC-636967","295257011, 295257017","2020-12-07 08:05:00","2020-12-08 16:27:00","32:22","faulty line card",""
