"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-639579","","2021-01-11 13:20:00","2021-01-11 13:47:00","00:27","unknown",""
"AT&T","NOC-639426","296131914-GCSC, FE150329-ENOC","2021-01-09 11:45:00","2021-01-11 11:34:00","47:49","faulty line card",""
"Crown Castle","NOC-639524","CCF21362711","2021-01-11 01:48:00","2021-01-11 01:54:00","00:06","provider maintenance","Due to unrelated maintenance"
"CENIC Internal","NOC-639520","","2021-01-11 00:35:00","2021-01-11 00:49:00","00:14","other","CENIC maintenance"
"AT&T","NOC-639495","296149291","2021-01-10 13:08:00","2021-01-10 13:12:00","00:04","unknown",""
"CenturyLink (Level3)","NOC-639374","","2021-01-08 13:35:00","2021-01-08 13:40:00","00:05","unknown",""
"AT&T","NOC-639369","","2021-01-08 10:52:00","2021-01-08 10:54:00","00:02","unknown",""
"Cal-Ore","NOC-639338","26158296","2021-01-08 01:46:00","2021-01-08 03:03:00","01:17","faulty line card",""
"Crown Castle","NOC-639329","","2021-01-07 23:49:00","2021-01-08 00:02:00","00:13","provider maintenance","Unrelated provider maintenance"
"Crown Castle","NOC-639323","","2021-01-07 22:39:00","2021-01-07 23:51:00","01:12","other","Unrelated provider maintenance"
"Environmental","NOC-639188","","2021-01-06 18:49:00","2021-01-07 08:50:00","14:01","power outage",""
"AT&T","NOC-639286","","2021-01-07 13:14:00","2021-01-07 13:17:00","00:03","unknown",""
"Comcast","NOC-639264","","2021-01-07 10:08:00","2021-01-07 10:09:00","00:01","unknown",""
"AT&T","NOC-639226","","2021-01-07 02:54:00","2021-01-07 03:36:00","00:42","other","Unannounced maintenance"
"AT&T","NOC-639238","","2021-01-07 05:14:00","2021-01-07 05:16:00","00:02","other","Power failure at CO"
"GeoLinks","NOC-638965","163680","2021-01-04 17:22:00","2021-01-06 16:42:00","47:20","faulty line card",""
"CENIC Internal","NOC-638739","","2020-12-30 17:31:00","2021-01-06 15:24:00","165:53","other","DS3 cut during CENIC maintenance"
"Environmental","NOC-639166","ECT-80457275","2021-01-06 13:39:00","2021-01-06 14:47:00","01:08","power outage",""
"Crown Castle","NOC-639164","CCF21361851","2021-01-06 13:21:00","2021-01-06 13:36:00","00:15","other","Due to unrelated maintenance"
"Environmental","NOC-639127","","2021-01-06 09:34:00","2021-01-06 13:10:00","03:36","power outage",""
"Environmental","NOC-639146","","2021-01-06 11:19:00","2021-01-06 11:37:00","00:18","power outage",""
"Spectrum","NOC-639091","","2021-01-06 00:05:00","2021-01-06 00:34:00","00:29","other","Unannounced maintenance"
"Environmental","NOC-639084","","2021-01-05 22:34:00","2021-01-05 23:28:00","00:54","power outage",""
