"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-635043","Multiple circuits in the Central Valley region is down.","2020-11-10 09:24:00","2020-11-10 14:51:00","05:27","College of the Sequoias - Hanford Campus ;; Earlimart School District","College of the Sequoias - Tulare Campus ;; Porterville College","Vast","fiber cut",""
"Library","NOC-633060","GE circuit to Tustin was unstable.","2020-11-03 21:39:00","2020-11-10 03:58:00","150:19","","Santa Clarita Public Library","AT&T","higher level carrier",""
"Multi-site","NOC-634951","Multiple circuits are down in the Bay area","2020-11-09 10:18:00","2020-11-10 09:09:00","22:51","College of the Redwoods CCD ;; Marin COE ;; San Francisco COE ;; Solano County CCD ;; Sonoma State University","Clear Lake Campus - Yuba CCD ;; Santa Rosa JC Shone Agriculture Center","AT&T","fiber damage",""
"CC","NOC-635020","Long Beach PCC 10G circuit to Los Angeles hubsite is unstable.","2020-11-10 01:44:00","2020-11-10 03:56:00","02:12","Long Beach City College ;; Long Beach PCC","","AT&T","fiber damage",""
"CC","NOC-634959","San Bernardino Valley CC's 10G circuit to Riverside is down.","2020-11-09 12:19:00","2020-11-09 16:13:00","03:54","San Bernardino Valley","","CenturyLink (Level3)","fiber damage",""
"CC","NOC-634968","Canyon Country Education Center circuit to Los Angeles is down.","2020-11-09 13:43:00","2020-11-09 22:28:00","08:45","Canyon Country Education Center ;; College of the Canyons","","AT&T","fiber damage",""
"K12/COE","NOC-635004","LAUSD - Van Nuys 100G circuit down.","2020-11-09 22:14:00","2020-11-09 22:19:00","00:05","Los Angeles USD - Van Nuys","","Crown Castle","unknown",""
"K12/COE","NOC-634991","Instability on the 100GE Link to Los Angeles","2020-11-09 16:13:00","2020-11-09 16:50:00","00:37","","Los Angeles USD","Crown Castle","provider maintenance","Bumps during unrelated maintenance"
"Multi-site","NOC-634940","Multiple AT&T circuits were unstable.","2020-11-09 09:15:00","2020-11-09 09:16:00","00:01","Chaffey CCD Fontana Learning Center ;; Crafton Hills College ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; San Bernardino Valley","","AT&T","higher level carrier",""
"UC","NOC-634926","The AT&T circuit to UCANR Hopland REC is up.","2020-11-09 08:06:00","2020-11-09 11:53:00","03:47","","UCANR Hopland REC","Environmental","power outage",""
"CSU","NOC-634879","100GE link to Tustin is down","2020-11-07 20:35:00","2020-11-08 17:32:00","20:57","CSU Fullerton","","Juniper ;; Sunesys ;; Crown Castle","other","Dirty CENIC fibers"
"UC","NOC-634885","UCANR Hansen REC was unavailable.","2020-11-08 02:44:00","2020-11-08 08:22:00","05:38","","UCANR Hansen REC","Environmental","power outage",""
"Multi-site","NOC-634895","Multiple circuits bounced in SoCal","2020-11-08 11:10:00","2020-11-08 11:13:00","00:03","Chaffey Joint UHSD ;; Mt. San Antonio CCD ;; San Bernardino CSS ;; Victor Valley CCD ;; Victor Valley CCD - SCLA School of Aviation Technology","Corona Public Library ;; UC Agricultural and Natural Resources - Desert ;; UCANR Rubidoux REC ;; Victorville City Library","Environmental","power outage",""
"Library","NOC-634874","Torrance Public Library - South East Branch Library restored","2020-11-07 21:02:00","2020-11-08 07:55:00","10:53","","Torrance Public Library - South East Branch Library","Environmental","power outage",""
"K12/COE","NOC-634866","Fresno COE outage","2020-11-07 11:02:00","2020-11-07 12:55:00","01:53","Fresno COE","","Environmental","power outage",""
