"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-635645","","2020-11-17 13:14:00","2020-11-17 16:40:00","03:26","power outage",""
"Vast","NOC-635620","","2020-11-17 09:27:00","2020-11-17 09:30:00","00:03","unknown",""
"Environmental","NOC-635571","294412594","2020-11-16 21:37:00","2020-11-16 08:31:00","-14:54","power outage",""
"Environmental","NOC-633036","","2020-10-26 09:09:00","2020-11-16 13:46:00","508:37","power outage",""
"CENIC Internal","NOC-635480","","2020-11-17 00:30:00","2020-11-17 08:15:00","07:45","other","CENIC maintenance"
"Environmental","NOC-635591","","2020-11-17 03:38:00","2020-11-17 03:44:00","00:06","power outage",""
"AT&T","NOC-635524","LE128021,  LE128023","2020-11-16 12:02:00","2020-11-16 12:05:00","00:03","unknown",""
"Environmental","NOC-635481","","2020-11-16 01:13:00","2020-11-16 01:16:00","00:03","power outage",""
"Zayo","NOC-635460","Case # TTN-0004589455","2020-11-15 15:58:00","2020-11-15 15:59:00","00:01","unknown",""
"Environmental","NOC-635298","294023444","2020-11-14 03:16:00","2020-11-14 10:18:00","07:02","power outage",""
"AT&T","NOC-635409","294117041","2020-11-13 21:04:00","2020-11-13 22:55:00","01:51","faulty line card",""
"AT&T","NOC-635413","294119799","2020-11-13 21:00:00","2020-11-13 22:55:00","01:55","faulty line card",""
"AT&T","NOC-635308","294040107","2020-11-13 01:04:00","2020-11-13 23:15:00","22:11","faulty line card",""
"Comcast","NOC-635392","Si046586459","2020-11-13 16:44:00","2020-11-13 23:45:00","07:01","fiber damage",""
"Environmental","NOC-635357","294069410","2020-11-13 07:23:00","2020-11-13 08:46:00","01:23","power outage",""
"Environmental","NOC-635298","294023444","2020-11-12 20:10:00","2020-11-13 08:49:00","12:39","power outage",""
"Hunter Communications","NOC-635254","133790787","2020-11-12 12:07:00","2020-11-12 19:19:00","07:12","fiber damage",""
"AT&T","NOC-635331","","2020-11-13 03:26:00","2020-11-13 03:44:00","00:18","higher level carrier",""
"Crown Castle","NOC-635316","CCF20348370 CCF20348371 CCF20348372 CCF20347713 CCF20348373","2020-11-13 02:45:00","2020-11-13 02:50:00","00:05","unknown",""
"Frontier","NOC-635310","2874437 /  2874440","2020-11-13 01:32:00","2020-11-13 03:29:00","01:57","higher level carrier",""
"Frontier","NOC-635337","","2020-11-13 03:39:00","2020-11-13 03:43:00","00:04","provider maintenance",""
"Zayo","NOC-635250","TTN-0004584425","2020-11-12 12:00:00","2020-11-12 17:23:00","05:23","fiber cut",""
"Vast","NOC-635221","","2020-11-12 06:59:00","2020-11-12 07:32:00","00:33","faulty line card",""
"AT&T","NOC-635178","293910501","2020-11-11 15:57:00","2020-11-12 12:24:00","20:27","faulty line card",""
"AT&T","NOC-635209","YK003958","2020-11-12 02:23:00","2020-11-12 06:24:00","04:01","faulty line card",""
"Crown Castle","NOC-635113","","2020-11-11 21:54:00","2020-11-11 21:56:00","00:02","unknown",""
"GeoLinks","NOC-635182","SS-11111002","2020-11-11 17:29:00","2020-11-11 19:04:00","01:35","higher level carrier",""
"AT&T","NOC-635166","LE127827","2020-11-11 13:24:00","2020-11-11 13:45:00","00:21","unknown",""
"CENIC Internal","NOC-635128","","2020-11-11 03:00:00","2020-11-11 11:51:00","08:51","other","CENIC maintenance"
"AT&T","NOC-635148","YK003954 - YK003956","2020-11-11 08:57:00","2020-11-11 09:05:00","00:08","faulty line card",""
"Crown Castle","NOC-635113","","2020-11-11 00:46:00","2020-11-11 01:06:00","00:20","unknown",""
"AT&T","NOC-635121","","2020-11-11 01:30:00","2020-11-11 01:42:00","00:12","faulty line card",""
