"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Library","NOC-636961","El Dorado County Library - Pollock Pines Library Branch restored","2020-12-07 06:37:00","2020-12-07 08:12:00","01:35","","El Dorado County Library - Pollock Pines Branch","Environmental","power outage",""
"Library","NOC-636990","Stanislaus County Library connectivity was down.","2020-12-07 12:24:00","2020-12-07 12:45:00","00:21","","Stanislaus County Library","Vast","unknown",""
"Multi-site","NOC-636992","Multiple connections in Northern California bounced.","2020-12-07 12:32:00","2020-12-07 12:35:00","00:03","","","Zayo","unknown",""
"Library","NOC-636948","San Benito County Free Library down.","2020-12-07 00:36:00","2020-12-07 00:49:00","00:13","","San Benito County Free Library","Environmental","power outage",""
"Multi-site","NOC-636939","Multiple circuits in the Central Valley region are down.","2020-12-06 23:32:00","2020-12-07 04:37:00","05:05","Amador COE ;; Calaveras COE ;; Columbia CC ;; Colusa COE ;; CSU Stanislaus ;; CSU Stanislaus - Stockton Center ;; El Dorado COE ;; Nevada Joint Union HSD ;; Placer COE ;; Sierra COE - WEST ;; Sutter COE ;; Tuolumne COE ;; Woodland CC ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE","El Dorado County Library ;; Stanislaus County Library","Vast","provider maintenance",""
"CC","NOC-636888","College of the Alameda Science Annex Center stable","2020-12-05 23:00:00","2020-12-06 10:30:00","11:30","College of the Alameda Aviation Center","","AT&T","fiber damage",""
"CC","NOC-636889","College of the Alameda Science Annex Center stable","2020-12-05 17:15:00","2020-12-06 10:30:00","17:15","College of the Alameda Science Annex Center","","AT&T","fiber damage",""
"K12/COE","NOC-636839","Bishop USD's circuit to Los Angeles restored","2020-12-05 10:00:00","2020-12-06 21:48:00","35:48","Bishop Union Elementary - Inyo County ;; Mono COE","","CBC","fiber damage",""
"UC","NOC-636877","UCANR Desert REC is unavailable","2020-12-05 13:43:00","2020-12-05 15:51:00","02:08","","UC Agricultural and Natural Resources - Desert","Environmental","power outage",""
"K12/COE","NOC-636868","Sierra COE West is unreachable.","2020-12-05 05:35:00","2020-12-05 05:40:00","00:05","","Sierra COE - WEST","Environmental","power outage",""
"CSU","NOC-636612","CMS Santa Clara circuit to Los Angeles is down.","2020-12-02 11:20:00","2020-12-04 00:39:00","37:19","CMS - Santa Clara","","Zayo","fiber cut",""
"K12/COE","NOC-636810","Sierra COE West is unreachable.","2020-12-04 06:09:00","2020-12-04 06:15:00","00:06","","Sierra COE - WEST","Environmental","power outage",""
"K12/COE","NOC-636769","LA USD - Van Nuys Circuit to Tustin hub is unstable.","2020-12-03 22:36:00","2020-12-03 23:20:00","00:44","","Los Angeles USD - Van Nuys","Crown Castle","provider maintenance","Impact during unrelated maintenance"
"CSU","NOC-636612","CMS Santa Clara circuit to Los Angeles is down.","2020-12-02 11:20:00","2020-12-04 04:00:00","40:40","CMS - Santa Clara","","Zayo","fiber cut",""
"UC","NOC-636555","Route 87 between UC Irvine and Los Angeles is unstable.","2020-12-01 19:11:00","2020-12-03 01:00:00","29:49","University of California, Irvine - DC/HPR","","Cisco","faulty line card","CENIC issue"
"UC","NOC-636645","The UCSF Health System Tertiary 10G to Quincy is Down","2020-12-02 20:34:00","2020-12-03 00:15:00","03:41","","","Zayo","fiber cut",""
"CC","NOC-636751","Canyon Country Education Center is down.","2020-12-03 15:26:00","2020-12-03 16:06:00","00:40","College of the Canyons","Canyon Country Education Center","Environmental","power outage",""
"K12/COE","NOC-636739","The 100G between Contra Costa COE and Alameda COE experienced brief instability.","2020-12-03 12:56:00","2020-12-03 12:57:00","00:01","Alameda COE ;; Contra Costa COE","","Comcast","unknown",""
"K12/COE","NOC-636716","Stanislaus COE 10G to Fergus is down","2020-12-03 10:09:00","2020-12-03 12:50:00","02:41","Stanislaus COE","","Vast","faulty line card",""
"UC","NOC-636714","UCANR Hopland REC is unavailable","2020-12-03 10:04:00","2020-12-03 10:36:00","00:32","","UCANR Hopland REC","Environmental","power outage",""
"CC","NOC-636721","Shasta Trinity CC is unavailable","2020-12-03 10:37:00","2020-12-03 10:45:00","00:08","Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences","Shasta CCD Trinity Center","Frontier","faulty line card",""
