"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-637967","Multiple circuits in the Bay Area briefly bounced.","2020-12-19 07:01:00","2020-12-19 07:02:00","00:01","Canada College ;; San Mateo CCD ;; San Mateo COE ;; Santa Cruz COE","Peninsula Library System","AT&T","unknown",""
"Multi-site","NOC-637967","Multiple circuits in the Bay Area briefly bounced.","2020-12-19 07:01:00","2020-12-19 07:02:00","00:01","San Mateo CCD ;; San Mateo COE ;; Santa Cruz COE","Peninsula Library System","AT&T","unknown",""
"Library","NOC-637966","Humboldt County Library lost network connectivity.","2020-12-19 07:12:00","2020-12-19 07:15:00","00:03","","Humboldt County Library","Environmental","power outage",""
"CC","NOC-637897","Shasta Trinity CC is unavailable","2020-12-18 10:00:00","2020-12-19 03:00:00","17:00","Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences","Shasta CCD Trinity Center","Frontier","fiber cut",""
"CC","NOC-637685","Multiple circuits to Chaffey CC are down.","2020-12-17 10:46:00","2020-12-18 12:22:00","25:36","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center","","AT&T","fiber damage",""
"CC","NOC-637705","Victor Valley CC's circuit to Los Angeles is down.","2020-12-16 15:40:00","2020-12-17 17:33:00","25:53","Victor Valley CCD ;; Victor Valley CCD - SCLA School of Aviation Technology","","SCE (So Cal Edison)","fiber cut",""
"Multi-site","NOC-637832","Multiple Crown Castle fibers bounced","2020-12-17 16:44:00","2020-12-17 16:47:00","00:03","Orange County Department of Education","","Crown Castle","provider maintenance",""
"UC","NOC-637320","UCANR Riverside - Moreno Valley CPE is unreachable.","2020-12-10 23:21:00","2020-12-17 10:46:00","155:25","","UCANR Riverside Moreno Valley","Environmental","power outage",""
"Multi-site","NOC-637782","Multiple circuits in the West Sacramento region were down.","2020-12-17 08:32:00","2020-12-17 08:59:00","00:27","Yuba COE","Yuba County Library","Environmental","power outage",""
"Multi-site","NOC-637776","Cenic Unannounced Maintenance affecting NorCal sites.","2020-12-17 00:00:00","2020-12-17 06:30:00","06:30","CSU Chico ;; Feather River College","","CENIC Internal","other","Unannounced CENIC maintenance"
"K12/COE","NOC-636965","Loyalton HS GE to Triangle Court was down.","2020-12-10 16:16:00","2020-12-16 11:38:00","139:22","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Environmental","power outage",""
"K12/COE","NOC-637657","Riverside COE-Indio's 100G circuit is down.","2020-12-16 05:00:00","2020-12-16 10:17:00","05:17","Riverside - Indio COE ;; Riverside COE","","Spectrum","faulty line card",""
"CC","NOC-637547","Woodland Hills CC circuit to Yuba CC down.","2020-12-14 23:43:00","2020-12-16 01:28:00","25:45","Woodland CC ;; Yuba CC","","Comcast","fiber damage",""
"Library","NOC-637846","Stanislaus County Library is down.","2020-12-17 18:37:00","2020-12-17 19:37:00","01:00","","Stanislaus County Library","Vast","unknown",""
