"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-634554","YJ006507 293010433","2020-11-03 09:45:00","2020-11-03 09:50:00","00:05","unknown",""
"AT&T","NOC-634526","292949569 , 292949574","2020-11-03 00:28:00","2020-11-03 04:17:00","03:49","other","Config changes on ATT network"
"Environmental","NOC-634532","","2020-11-03 03:39:00","2020-11-03 03:45:00","00:06","power outage",""
"AT&T","NOC-634469","","2020-11-02 04:39:00","2020-11-02 15:00:00","10:21","faulty line card",""
"AT&T","NOC-634466","292820357 and FE146798","2020-11-02 04:04:00","2020-11-02 15:00:00","10:56","faulty line card",""
"Vast","NOC-634482","","2020-11-02 10:02:00","2020-11-02 10:59:00","00:57","unknown",""
"Vast","NOC-634461","","2020-11-02 00:09:00","2020-11-02 04:14:00","04:05","provider maintenance",""
"Crown Castle","NOC-634464","","2020-11-02 02:20:00","2020-11-02 02:22:00","00:02","provider maintenance",""
"CenturyLink (Level3) ;; Vast","NOC-634404","3372","2020-10-31 18:02:00","2020-11-01 16:33:00","22:31","faulty line card",""
"Spectrum","NOC-634392","ECT-80362591","2020-10-31 02:31:00","2020-11-01 00:50:00","22:19","fiber cut",""
"Time Warner Cable","NOC-634399","ECT-80363271","2020-10-31 13:34:00","2020-10-31 13:48:00","00:14","higher level carrier",""
"AT&T","NOC-634381","","2020-10-30 16:14:00","2020-10-30 21:55:00","05:41","unknown",""
"AT&T","NOC-634259","292474551","2020-10-29 15:36:00","2020-10-30 04:39:00","13:03","fiber cut",""
"SCE (So Cal Edison)","NOC-634282","CRQ198389-A","2020-10-30 00:33:00","2020-10-30 07:11:00","06:38","provider maintenance",""
"Environmental","NOC-634313","","2020-10-30 09:59:00","2020-10-30 10:01:00","00:02","power outage",""
"Comcast","NOC-634331","","2020-10-30 11:28:00","2020-10-30 11:37:00","00:09","unknown",""
"CenturyLink (Level3)","NOC-634302","20008599","2020-10-30 08:21:00","2020-10-30 08:23:00","00:02","fiber damage",""
"Environmental","NOC-634296","292509609/ 292509608/ 292509138/  292509136/  292509135 / 292509134/ ","2020-10-30 02:47:00","2020-10-30 04:30:00","01:43","power outage",""
"AT&T","NOC-633060","292109615 ( old ) 292855683 (New)","2020-10-25 20:11:00","2020-10-29 05:34:00","81:23","unknown","Investigation is ongoing"
"AT&T","NOC-634280","292497565","2020-10-29 23:52:00","2020-10-30 00:37:00","00:45","unknown",""
"Frontier","NOC-634279","2868649 ","2020-10-29 23:52:00","2020-10-30 00:37:00","00:45","unknown",""
"Spectrum","NOC-634283","ECT-80361098","2020-10-30 01:13:00","2020-10-30 02:03:00","00:50","provider maintenance",""
"CENIC Internal","NOC-634284","","2020-10-30 00:35:00","2020-10-30 00:44:00","00:09","CPE reset",""
"AT&T ;; CenturyLink (Level3)","NOC-634018","292275442, 292276275","2020-10-27 08:20:00","2020-10-29 15:46:00","55:26","other","Misconfiguration during CENIC maintenance"
"AT&T","NOC-634270","292487205 292486505","2020-10-29 18:41:00","2020-10-29 18:42:00","00:01","unknown",""
"Spectrum","NOC-634145","ECT-80355756","2020-10-28 12:47:00","2020-10-28 23:34:00","10:47","fiber cut",""
"Spectrum","NOC-634192","ECT-80356185","2020-10-28 21:50:00","2020-10-28 21:51:00","00:01","fiber cut",""
"Comcast","NOC-634215","SI046334830","2020-10-29 04:33:00","2020-10-29 07:13:00","02:40","fiber cut",""
"WaveBroadband","NOC-634222","CS6884","2020-10-29 04:33:00","2020-10-29 07:13:00","02:40","fiber cut",""
"Frontier","NOC-634205","2868649","2020-10-28 21:50:00","2020-10-29 02:53:00","05:03","higher level carrier",""
"CENIC Internal","NOC-634182","","2020-10-28 20:29:00","2020-10-28 20:30:00","00:01","other","UC decommissioning the services"
"Environmental","NOC-633907","292174919","2020-10-26 10:12:00","2020-10-28 11:32:00","49:20","power outage",""
"Spectrum","NOC-634175","EIT80356033","2020-10-28 17:39:00","2020-10-28 17:42:00","00:03","fiber cut",""
"Environmental","NOC-634157","292391334","2020-10-28 14:42:00","2020-10-28 14:55:00","00:13","power outage",""
"AT&T","NOC-634049","","2020-10-27 14:15:00","2020-10-27 08:15:00","-6:00","faulty line card",""
"AT&T","NOC-634053","","2020-10-27 14:15:00","2020-10-28 08:15:00","18:00","faulty line card",""
"AT&T","NOC-633861","","2020-10-28 04:06:00","2020-10-28 04:56:00","00:50","faulty line card",""
"AT&T","NOC-634062","","2020-10-27 16:33:00","2020-10-27 17:53:00","01:20","higher level carrier",""
"CENIC Internal","NOC-634088","","2020-10-28 00:15:00","2020-10-28 00:30:00","00:15","other","Unexpected impact from CENIC maintenance"
"CENIC Internal","NOC-634084","","2020-10-28 00:48:00","2020-10-28 00:51:00","00:03","CPE reset",""
"Frontier","NOC-634055","2867946","2020-10-28 00:42:00","2020-10-28 00:49:00","00:07","unknown",""
