"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"K12/COE","NOC-632743","Riverside COE - Indio Connections instability","2020-10-13 13:38:00","2020-10-13 14:06:00","00:28","","Riverside - Indio COE","Charter","unknown","Outage re-opened and ongoing"
"Multi-site","NOC-632699","Both circuits between Del Norte COE and Siskiyou COE are currently up.","2020-10-13 07:37:00","2020-10-13 09:02:00","01:25","Del Norte COE ;; Siskiyou COE","","Frontier","faulty line card",""
"CC","NOC-632707","Shasta CC Trinity Center Connections outage.","2020-10-13 08:58:00","2020-10-13 09:02:00","00:04","Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences","Shasta CCD Trinity Center","Frontier","faulty line card",""
"Other","NOC-632674","CENIC Email system outage","2020-10-13 00:00:00","2020-10-13 05:30:00","05:30","","","CENIC Internal","other","CENIC email issue"
"CC","NOC-632630","The Spectrum circuit to Mt. San Antonio CC is down.","2020-10-12 08:48:00","2020-10-12 21:22:00","12:34","Mt. San Antonio CCD","","Spectrum","fiber cut",""
"UC","NOC-632587","UCANR Elkus Ranch REC is up.","2020-10-11 14:21:00","2020-10-12 11:26:00","21:05","","UCANR Elkus Ranch REC","Environmental","power outage",""
"UC","NOC-632587","UCANR Elkus Ranch REC is up.","2020-10-11 14:21:00","2020-10-12 08:16:00","17:55","","UCANR Elkus Ranch REC","Environmental","power outage",""
"Library","NOC-632589","Router is back up.","2020-10-11 14:51:00","2020-10-12 07:21:00","16:30","","Humboldt County Library","Environmental","power outage",""
"K12/COE","NOC-632602","LAUSD's 100G circuit to Tustin bounced.","2020-10-12 00:20:00","2020-10-12 00:25:00","00:05","Los Angeles USD - Van Nuys","","Crown Castle","unknown",""
"CC","NOC-632574","College of the Alameda Science Annex Center's circuit to Sunnyvale is unstable","2020-10-11 03:34:00","2020-10-11 17:18:00","13:44","College of the Alameda Science Annex Center","","AT&T","faulty line card",""
"CC","NOC-632578","College of the Alameda Aviation Center's circuit to Sunnyvale is unstable.","2020-10-11 02:15:00","2020-10-11 17:18:00","15:03","College of the Alameda Aviation Center","","AT&T","faulty line card",""
"Multi-site","NOC-632592","Multiple 10GE circuits down","2020-10-11 16:14:00","2020-10-11 18:50:00","02:36","Humboldt COE ;; Humboldt State University ;; Northern Humboldt USD","","AT&T","unknown","RFO still pending"
"Multi-site","NOC-632530","Multiple Spectrum circuits around Camarillo down","2020-10-10 08:57:00","2020-10-10 15:22:00","06:25","Ventura COE ;; Ventura County CCD Office","","Spectrum","fiber cut",""
"Library","NOC-632522","Humboldt County Library restored","2020-10-10 03:54:00","2020-10-10 08:26:00","04:32","","Humboldt County Library","AT&T","unknown",""
"K12/COE","NOC-632541","10GE circuit between Sunnyvale and Monterey COE was down.","2020-10-10 11:27:00","2020-10-10 11:32:00","00:05","Monterey COE ;; San Benito COE","","AT&T","unknown",""
"K12/COE","NOC-632533","The 100GE circuit between Chaffey Joint UHSD and San Bernardino CSS was down.","2020-10-10 09:15:00","2020-10-10 09:46:00","00:31","San Bernardino CSS","Chaffey Joint UHSD","Environmental","utility maintenance",""
"CC","NOC-632524","Victor Valley CCD School of Aviation is unreachable.","2020-10-10 05:38:00","2020-10-10 05:46:00","00:08","","Victor Valley CCD - SCLA School of Aviation Technology","Environmental","power outage",""
"Library","NOC-632438","Hemet Public Library is unreachable.","2020-10-08 22:16:00","2020-10-08 23:42:00","01:26","","Hemet Public Library","AT&T","higher level carrier",""
"Library","NOC-632379","Beaumont Library District 1G circuit to Los Angeles is Down","2020-10-08 03:17:00","2020-10-08 06:15:00","02:58","","Beaumont Library District","Environmental","power outage",""
"Multi-site","NOC-632408","Multiple circuits in the SoCal Region briefly bounced.","2020-10-08 11:59:00","2020-10-08 12:00:00","00:01","City Of Hope","Irwindale Public Library","AT&T","faulty line card",""
"K12/COE","NOC-632316","Orange County Department of Education's 100GE circuit to Los Angeles is down.","2020-10-07 14:29:00","2020-10-08 05:53:00","15:24","Orange County Department of Education","","Crown Castle","fiber cut",""
"CSU","NOC-632380","CSU Chancellors Office Circuit to Tustin down.","2020-10-08 03:32:00","2020-10-08 03:42:00","00:10","CSU Chancellor's Office","","Spectrum","unknown",""
"Multi-site","NOC-632324","Siskiyou outages","2020-10-07 14:39:00","2020-10-07 16:54:00","02:15","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Siskiyou County Free Library","Frontier","unknown",""
"CC","NOC-632301","2 x 1GE circuits for Ohlone College Newark Center briefly bounced.","2020-10-07 11:00:00","2020-10-07 11:01:00","00:01","Ohlone College","Ohlone College Newark Center","AT&T","unknown",""
