"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"K12/COE","NOC-641701","Contra Costa COE is unavailable.","2021-02-08 12:30:00","2021-02-08 14:06:00","01:36","Alameda COE","Contra Costa COE","Environmental","power outage",""
"Multi-site","NOC-641312","Optical line card failed in the Fergus hub site.","2021-02-08 07:23:00","2021-02-08 17:02:00","09:39","Central Valley Independent Network ;; University of California, Merced HPR","","CENIC Internal","faulty line card","CENIC LC"
"K12/COE","NOC-641681","Fresno COE's 100G circuit to the Fresno hub site is unstable.","2021-02-08 07:23:00","2021-02-08 08:24:00","01:01","Fresno COE","","AT&T","faulty line card","CENIC LC"
"CC","NOC-641669","Victor Valley CC - School of Aviation Technology down","2021-02-07 04:14:00","2021-02-07 04:19:00","00:05","Victor Valley CCD","Victor Valley CCD - SCLA School of Aviation Technology","Environmental","power outage",""
"CC","NOC-641669","Victor Valley CC - School of Aviation Technology down","2021-02-07 22:25:00","2021-02-07 22:30:00","00:05","Victor Valley CCD","Victor Valley CCD - SCLA School of Aviation Technology","Environmental","power outage",""
"K12/COE","NOC-641667","Los Angeles USD - Van Nuys 100G to Tustin Briefly Down","2021-02-07 21:45:00","2021-02-07 21:50:00","00:05","","Los Angeles USD - Van Nuys","Sunesys ;; Crown Castle ;; Wilcon","unknown",""
"Multi-site","NOC-641312","Optical line card reload in the Fergus hub site.","2021-02-07 00:31:00","2021-02-07 00:33:00","00:02","University of California, Merced","","CENIC Internal","faulty line card","CENIC LC"
"K12/COE","NOC-641619","10GE to Fergus Down","2021-02-05 15:02:00","2021-02-05 15:40:00","00:38","Sutter COE","","Environmental","power outage",""
"Multi-site","NOC-641593","AT&T outage","2021-02-05 11:17:00","2021-02-05 11:18:00","00:01","Humboldt COE ;; Northern Humboldt USD ;; SF Jazz Center","Santa Rosa Junior College","AT&T","unknown",""
"CC","NOC-641557","Santa Rosa JC Public Safety Training Center CPE was unreachable.","2021-02-05 07:28:00","2021-02-05 07:40:00","00:12","","Santa Rosa JC Public Safety Training Center","Environmental","power outage",""
"Multi-site","NOC-641534","Multiple AT&T circuits down in the Central Valley Region","2021-02-04 22:26:00","2021-02-05 04:45:00","06:19","West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","Coalinga District Library ;; UCANR Westside REC","AT&T","faulty line card",""
"CC","NOC-641533","Santa Barbara CC circuit to Tustin is down.","2021-02-05 00:00:00","2021-02-05 04:00:00","04:00","Santa Barbara CC ;; Santa Barbara City College - Schott Center ;; Santa Barbara City College Cosmetology Center","","SCE","provider maintenance",""
"Multi-site","NOC-641521","Multisite outage","2021-02-04 18:29:00","2021-02-04 18:51:00","00:22","","Harrison Memorial Library ;; Livermore Public Library ;; Salinas Public Library ;; UCANR Elkus Ranch REC ;; UCANR Hopland REC","CENIC Internal","other","Fiber bump during CENIC maintenance"
"CC","NOC-641483","Yuba CCD Colusa County Campus Circuit to Sacramento is Down.","2021-02-04 06:54:00","2021-02-04 16:03:00","09:09","Yuba CCD Colusa County Campus","","Frontier","unknown",""
"CSU","NOC-641505","The GigE circuit from CSU Stanislaus to Sacramento is down.","2021-02-04 12:32:00","2021-02-04 13:05:00","00:33","CSU Stanislaus - Stockton Center","","Vast","faulty line card",""
"K12/COE","NOC-641454","Los Angeles USD - Van Nuys 100G to Tustin Briefly Down","2021-02-03 23:46:00","2021-02-03 23:51:00","00:05","","Los Angeles USD - Van Nuys","Crown Castle","other","Fiber bump during unrelated maintenance"
"CC","NOC-641358","Santa Barbara CCD circuit to Tustin was down.","2021-02-03 01:50:00","2021-02-03 07:15:00","05:25","Santa Barbara CC ;; Santa Barbara City College - Schott Center ;; Santa Barbara City College - Wake Center ;; Santa Barbara City College Cosmetology Center","","SCE","provider maintenance",""
"Library","NOC-641369","Escondido Public Library 1G to San Diego is Down","2021-02-03 04:42:00","2021-02-03 09:11:00","04:29","","Escondido Public Library","Environmental","power outage",""
"Library","NOC-641394","Corona Public Library was briefly unavailable.","2021-02-03 13:42:00","2021-02-03 13:48:00","00:06","","Corona Public Library","AT&T","unknown",""
"Multi-site","NOC-641294","Multiple Spectrum circuits are down in the SoCal region.","2021-02-02 15:22:00","2021-02-02 21:16:00","05:54","Citrus CCD ;; College of the Desert ;; Copper Mountain CCD ;; CSU Chancellor's Office ;; Mt. San Antonio CCD ;; Riverside - Indio COE ;; Riverside COE","","Spectrum","fiber damage",""
