"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Cisco","NOC-632165","","2020-10-05 18:34:00","2020-10-05 18:39:00","00:05","CPE reset","CENIC agg switch reload"
"AT&T","NOC-632170","289772744","2020-10-05 21:20:00","2020-10-05 21:32:00","00:12","unknown",""
"Environmental","NOC-632083","FE144813","2020-10-05 01:47:00","2020-10-05 09:11:00","07:24","power outage",""
"Environmental","NOC-632062","","2020-10-04 19:14:00","2020-10-05 10:53:00","15:39","power outage",""
"Spectrum","NOC-632129","ECT-80327132","2020-10-05 10:53:00","2020-10-05 13:21:00","02:28","unknown",""
"Comcast","NOC-632078","","2020-10-05 00:45:00","2020-10-05 08:56:00","08:11","fiber cut",""
"AT&T","NOC-632155","","2020-10-05 14:13:00","2020-10-05 14:14:00","00:01","unknown",""
"Spectrum","NOC-632041","ECT-80325849","2020-10-04 10:15:00","2020-10-05 07:49:00","21:34","faulty line card",""
"Spectrum","NOC-632046","ECT-80325872","2020-10-04 12:31:00","2020-10-05 07:49:00","19:18","faulty line card",""
"AT&T","NOC-631947","289398812, 289399007, 289399012 - part of 20NERS528819, 20NERS528372","2020-10-02 15:00:00","2020-10-05 02:12:00","59:12","fiber damage",""
"Environmental","NOC-632057","","2020-10-04 17:55:00","2020-10-04 18:00:00","00:05","power outage",""
"Environmental","NOC-632032","","2020-10-04 06:12:00","2020-10-04 07:07:00","00:55","power outage",""
"Environmental","NOC-632030","","2020-10-04 04:24:00","2020-10-04 13:24:00","09:00","power outage",""
"CenturyLink (Level3)","NOC-631996","19811445","2020-10-03 17:44:00","2020-10-04 00:14:00","06:30","faulty line card",""
"Spectrum","NOC-631989","Spectrum ECT-80325612, ECT-80325618","2020-10-03 15:41:00","2020-10-03 23:04:00","07:23","fiber damage",""
"Environmental","NOC-631977","","2020-10-03 12:35:00","2020-10-03 17:04:00","04:29","other","Customer CPE outage"
"Environmental","NOC-631990","289517661","2020-10-03 15:42:00","2020-10-03 15:44:00","00:02","power outage",""
"Environmental","NOC-631975","YJ006483","2020-10-03 10:01:00","2020-10-03 13:07:00","03:06","power outage",""
"AT&T","NOC-631964","289437581","2020-10-02 23:55:00","2020-10-03 00:14:00","00:19","unknown",""
"Hunter Communications","NOC-631966","133790209","2020-10-03 00:17:00","2020-10-03 00:29:00","00:12","unknown",""
"Zayo","NOC-631965","TTN-0004467897","2020-10-03 00:08:00","2020-10-03 00:25:00","00:17","unknown","RFO pending"
"Vast","NOC-631962","CVIN 2738","2020-10-02 19:02:00","2020-10-02 19:50:00","00:48","unknown","Resolved before CVIN could troubleshoot"
"Crown Castle","NOC-631960","CCF20336455","2020-10-02 18:56:00","2020-10-02 19:00:00","00:04","unknown","RFO pending"
"AT&T","NOC-631935","","2020-10-02 12:02:00","2020-10-02 12:05:00","00:03","provider maintenance","AT&T loop testing"
"Crown Castle","NOC-631905","CCF20336238","2020-10-02 00:58:00","2020-10-02 03:00:00","02:02","unknown",""
"Frontier","NOC-631884","2858105","2020-10-01 22:14:00","2020-10-01 22:16:00","00:02","higher level carrier",""
"Spectrum","NOC-631844","","2020-10-01 12:24:00","2020-10-01 12:26:00","00:02","unknown","""L1 transport event"""
"Zayo","NOC-631831","","2020-10-01 09:53:00","2020-10-01 09:59:00","00:06","unknown",""
"AT&T","NOC-631758","","2020-09-30 11:05:00","2020-09-30 16:05:00","05:00","fiber damage",""
"AT&T","NOC-631650","289037144","2020-09-29 09:32:00","2020-09-30 09:35:00","24:03","fiber cut",""
"AT&T","NOC-631747","YJ006477, YJ006478","2020-09-30 10:38:00","2020-09-30 11:56:00","01:18","unknown",""
"Comcast","NOC-631500","Si045745860","2020-09-27 16:49:00","2020-09-30 08:50:00","64:01","other","Fiber cleaning"
"Environmental","NOC-631732","","2020-09-30 09:15:00","2020-09-30 09:31:00","00:16","power outage",""
"Environmental","NOC-631701","","2020-09-29 22:27:00","2020-09-29 23:47:00","01:20","power outage",""
"AT&T","NOC-631662","FE144518","2020-09-29 12:21:00","2020-09-29 19:09:00","06:48","fiber cut",""
"Comcast","NOC-631803","","2020-10-01 01:26:00","2020-10-01 03:00:00","01:34","unknown","Trouble cleared before COmcast could isolate"
