"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-634554","Multiple circuit instability.","2020-11-03 09:45:00","2020-11-03 09:50:00","00:05","Allan Hancock CCD ;; Santa Barbara COE ;; Santa Maria JUHSD","","AT&T","unknown",""
"Multi-site","NOC-634526","Multiple circuits are unstable in the Bay Area","2020-11-03 00:28:00","2020-11-03 04:17:00","03:49","Marin COE ;; San Francisco COE ;; Sonoma State University","","AT&T","other","Config changes on ATT network"
"CC","NOC-634532","Shasta CC - Tehama CPE Reload","2020-11-03 03:39:00","2020-11-03 03:45:00","00:06","Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center","Shasta CC - Tehama","Environmental","power outage",""
"CC","NOC-634469","College of the Alameda Aviation Center's circuit to Sunnyvale restored","2020-11-02 04:39:00","2020-11-02 15:00:00","10:21","College of the Alameda Science Annex Center","","AT&T","faulty line card",""
"CC","NOC-634466","College of the Alameda Aviation Center's circuit to Sunnyvale restored","2020-11-02 04:04:00","2020-11-02 15:00:00","10:56","College of the Alameda Aviation Center","","AT&T","faulty line card",""
"K12/COE","NOC-634482","Madera COE restored","2020-11-02 10:02:00","2020-11-02 10:59:00","00:57","Madera COE","","Vast","unknown",""
"K12/COE","NOC-634461","Kings COE's circuit to Fresno is unstable.","2020-11-02 00:09:00","2020-11-02 04:14:00","04:05","Kings COE","","Vast","provider maintenance",""
"Multi-site","NOC-634464","Multiple dark fiber circuit in the SoCal region bounced.","2020-11-02 02:20:00","2020-11-02 02:22:00","00:02","Orange County Department of Education","","Crown Castle","provider maintenance",""
"Multi-site","NOC-634404","Multiple Circuits Down in the Central Valley","2020-10-31 18:02:00","2020-11-01 16:33:00","22:31","Amador COE ;; Calaveras COE ;; Columbia CC ;; Colusa COE ;; CSU Stanislaus ;; CSU Stanislaus - Stockton Center ;; El Dorado COE ;; Nevada Joint Union HSD ;; Placer COE ;; Sierra COE - WEST ;; Stanislaus County Library ;; Sutter COE ;; Tuolumne COE ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE","Stanislaus County Library","CenturyLink (Level3) ;; Vast","faulty line card",""
"CC","NOC-634392","10G circuit to Tustin is down.","2020-10-31 02:31:00","2020-11-01 00:50:00","22:19","Rio Hondo CC ;; Rio Hondo CC - Fire Academy ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CC - South Whittier Education Center ;; Rio Hondo CCD El Monte Education Center","","Spectrum","fiber cut",""
