"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-631555","","2020-09-27 22:50:00","2020-09-29 15:50:00","41:00","power outage",""
"Spectrum","NOC-631647","EIT80319712","2020-09-29 08:00:00","2020-09-29 08:02:00","00:02","faulty line card",""
"AT&T","NOC-631641","","2020-09-29 01:56:00","2020-09-29 02:51:00","00:55","unknown",""
"AT&T","NOC-631598","FE144414","2020-09-28 11:56:00","2020-09-28 16:52:00","04:56","fiber damage",""
"Environmental","NOC-631547","","2020-09-27 18:51:00","2020-09-28 15:25:00","20:34","power outage",""
"Environmental","NOC-631543","","2020-09-27 18:18:00","2020-09-28 16:25:00","22:07","power outage",""
"Environmental","NOC-631541","","2020-09-27 18:36:00","2020-09-28 16:00:00","21:24","power outage",""
"Spectrum","NOC-631608","ECT-80318856","2020-09-28 14:49:00","2020-09-28 15:02:00","00:13","unknown",""
"Environmental","NOC-631528","","2020-09-27 15:45:00","2020-09-27 21:53:00","06:08","power outage",""
"AT&T","NOC-631584","AT&T: 288917434 288917199, Frontier: 2856266","2020-09-28 10:19:00","2020-09-28 10:20:00","00:01","unknown",""
"AT&T","NOC-631566","288892876","2020-09-28 04:10:00","2020-09-28 06:02:00","01:52","higher level carrier",""
"Environmental","NOC-631549","FE144353","2020-09-27 21:19:00","2020-09-28 06:02:00","08:43","power outage",""
"Environmental","NOC-631540","","2020-09-27 15:45:00","2020-09-27 20:51:00","05:06","power outage",""
"Cisco","NOC-631552","","2020-09-27 21:38:00","2020-09-27 21:44:00","00:06","CPE reset",""
"AT&T","NOC-631544","288869328","2020-09-27 19:02:00","2020-09-27 19:05:00","00:03","unknown",""
"Environmental","NOC-631528","","2020-09-27 07:57:00","2020-09-27 09:35:00","01:38","power outage",""
"AT&T","NOC-631527","288857015 -288857522 ","2020-09-27 07:53:00","2020-09-27 08:28:00","00:35","unknown",""
"AT&T","NOC-631495","","2020-09-26 12:22:00","2020-09-26 12:24:00","00:02","other","LoS from customer side"
"Spectrum","NOC-631430","ECT-80316460","2020-09-25 14:07:00","2020-09-25 19:53:00","05:46","fiber cut",""
"Spectrum","NOC-631373","ECT- 80315055","2020-09-25 01:17:00","2020-09-25 09:04:00","07:47","unknown","Bounces happened for 40min, outage was dispatched and instusive tested unnecessarily. Original RFO unknown"
"Frontier","NOC-631393","2855315 2855317 2855386 2855390 2855392","2020-09-25 08:51:00","2020-09-25 08:52:00","00:01","unknown",""
"WaveBroadband","NOC-631344","CS0006044","2020-09-24 09:09:00","2020-09-24 15:47:00","06:38","fiber cut",""
"Environmental","NOC-631272","","2020-09-23 21:20:00","2020-09-24 10:47:00","13:27","power outage",""
"CENIC Internal","NOC-631301","","2020-09-23 17:57:00","2020-09-23 18:11:00","00:14","CPE reset",""
"Comcast","NOC-631231","SI045664062 SI045664143","2020-09-23 00:56:00","2020-09-23 05:14:00","04:18","provider maintenance",""
