"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CC","NOC-639579","Brief instability on Riverside CC connections.","2021-01-11 13:20:00","2021-01-11 13:47:00","00:27","Moreno Valley College ;; Norco CC ;; Riverside CCD","","AT&T","unknown",""
"Library","NOC-639426","Los Gatos Public Library restored","2021-01-09 11:45:00","2021-01-11 11:34:00","47:49","","Los Gatos Public Library","AT&T","faulty line card",""
"K12/COE","NOC-639524","Los Angeles USD - Van Nuys 100G to Tustin Briefly Down","2021-01-11 01:48:00","2021-01-11 01:54:00","00:06","","Los Angeles USD - Van Nuys","Crown Castle","provider maintenance","Due to unrelated maintenance"
"CSU","NOC-639520","Circuit bounced due to maintenance activity.","2021-01-11 00:35:00","2021-01-11 00:49:00","00:14","Cal Poly San Luis Obispo ;; Carnegie Mellon University West","","CENIC Internal","other","CENIC maintenance"
"Library","NOC-639495","10GE circuit to Oakland Outage","2021-01-10 13:08:00","2021-01-10 13:12:00","00:04","Santa Clara County Library District","","AT&T","unknown",""
"Multi-site","NOC-639374","100GE circuit between CSU Sacramento and Sacramento hubsite has restored.","2021-01-08 13:35:00","2021-01-08 13:40:00","00:05","CSU Sacramento","","CenturyLink (Level3)","unknown",""
"CC","NOC-639369","The 1GE and 10GE circuits to Oakland and Sunnyvale are stable.","2021-01-08 10:52:00","2021-01-08 10:54:00","00:02","","College of the Alameda Science Annex Center","AT&T","unknown",""
"Multi-site","NOC-639338","Circuit between Modoc COE and Tulelake Basin Joint USD is down.","2021-01-08 01:46:00","2021-01-08 03:03:00","01:17","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Cal-Ore","faulty line card",""
"Library","NOC-639329","100G circuit is down.","2021-01-07 23:49:00","2021-01-08 00:02:00","00:13","","Los Angeles Public Library","Crown Castle","provider maintenance","Unrelated provider maintenance"
"Multi-site","NOC-639323","Chaffey Joint UHSD dark fiber to Los Angeles hubsite unstable.","2021-01-07 22:39:00","2021-01-07 23:51:00","01:12","Chaffey Joint UHSD ;; San Bernardino CSS","","Crown Castle","other","Unrelated provider maintenance"
"CC","NOC-639188","West Hills North District Center router down","2021-01-06 18:49:00","2021-01-07 08:50:00","14:01","West Hills North District Center CC","","Environmental","power outage",""
"CC","NOC-639286","Cuesta CC 10GE circuit to Cuesta CC North Campus is up.","2021-01-07 13:14:00","2021-01-07 13:17:00","00:03","Cuesta College ;; Cuesta College North County Campus","","AT&T","unknown",""
"Multi-site","NOC-639264","Multiple Comcast circuits are up.","2021-01-07 10:08:00","2021-01-07 10:09:00","00:01","Contra Costa CCDO ;; Shasta CCD","City of Alameda ;; Contra Costa CCDO ;; El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch ;; Orland Free Library","Comcast","unknown",""
"Multi-site","NOC-639226","Multiple AT&T Circuits down.","2021-01-07 02:54:00","2021-01-07 03:36:00","00:42","Lake Tahoe CC ;; Yuba CC ;; Yuba CCD - Sutter County Center","","AT&T","other","Unannounced maintenance"
"Multi-site","NOC-639238","Multiple AT&T circuits bounced.","2021-01-07 05:14:00","2021-01-07 05:16:00","00:02","Garfield Center ;; Glendale CC Professional Development Center ;; Glendale CCD","Altadena Public Library ;; Sierra Madre Public Library","AT&T","other","Power failure at CO"
"UC","NOC-638965","Loss of connectivity to UCANR Hansen REC site.","2021-01-04 17:22:00","2021-01-06 16:42:00","47:20","","UCANR Hansen REC","GeoLinks","faulty line card",""
"CC","NOC-638739","Feather River CC backup DS3 down.","2020-12-30 17:31:00","2021-01-06 15:24:00","165:53","Feather River College","","CENIC Internal","other","DS3 cut during CENIC maintenance"
"CC","NOC-639166","Loss connectivity to Copper Mountain CCD.","2021-01-06 13:39:00","2021-01-06 14:47:00","01:08","College of the Desert","Copper Mountain CCD","Environmental","power outage",""
"K12/COE","NOC-639164","San Diego COE 100GE to San Diego (SAND1) hubsite is stable.","2021-01-06 13:21:00","2021-01-06 13:36:00","00:15","San Diego COE","","Crown Castle","other","Due to unrelated maintenance"
"CC","NOC-639127","Mira Costa CC - Learning Center is down.","2021-01-06 09:34:00","2021-01-06 13:10:00","03:36","MiraCosta College ;; MiraCosta College San Elijo Campus","Mira Costa College Community Learning Center","Environmental","power outage",""
"CC","NOC-639146","LA Pierce College was briefly unavailable.","2021-01-06 11:19:00","2021-01-06 11:37:00","00:18","","LA Pierce College","Environmental","power outage",""
"Library","NOC-639091","Camarillo Public Library down","2021-01-06 00:05:00","2021-01-06 00:34:00","00:29","","Camarillo Public Library","Spectrum","other","Unannounced maintenance"
"CC","NOC-639084","Southwestern CCD HEC - Otay Mesa Currently Down Due Unplanned to Power Loss","2021-01-05 22:34:00","2021-01-05 23:28:00","00:54","","Southwestern CCD HEC - Otay Mesa","Environmental","power outage",""
