"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"CENIC Internal","NOC-636138","","2020-11-23 21:36:00","2020-11-23 21:38:00","00:02","other","Bad CENIC config"
"CenturyLink (Level3)","NOC-636051","","2020-11-23 08:22:00","2020-11-23 14:26:00","06:04","fiber damage",""
"AT&T","NOC-636085","","2020-11-23 10:45:00","2020-11-23 10:46:00","00:01","unknown",""
"AT&T","NOC-636070","","2020-11-23 09:50:00","2020-11-23 09:51:00","00:01","unknown",""
"CenturyLink (Level3)","NOC-636043","","2020-11-23 07:57:00","2020-11-23 07:58:00","00:01","unknown","RFO pending"
"AT&T","NOC-635972","294647026","2020-11-22 00:12:00","2020-11-23 04:55:00","28:43","faulty line card",""
"AT&T","NOC-636031","","2020-11-23 04:37:00","2020-11-23 04:56:00","00:19","faulty line card",""
"Zayo","NOC-636005","TTN-0004608082 ","2020-11-22 14:55:00","2020-11-22 15:02:00","00:07","unknown",""
"Environmental","NOC-635973","","2020-11-22 00:05:00","2020-11-22 03:43:00","03:38","power outage",""
"AT&T","NOC-635952","294638928","2020-11-21 09:14:00","2020-11-21 09:37:00","00:23","unknown",""
"CenturyLink (Level3)","NOC-635950","","2020-11-21 09:12:00","2020-11-21 09:13:00","00:01","unknown",""
"AT&T","NOC-635948","294637381 and 294635942 (new)","2020-11-21 07:25:00","2020-11-21 07:32:00","00:07","faulty line card",""
"Environmental","NOC-635898","","2020-11-20 09:03:00","2020-11-20 11:23:00","02:20","power outage",""
"Environmental","NOC-635866","","2020-11-20 00:41:00","2020-11-20 08:01:00","07:20","power outage",""
"Cox","NOC-635864","25593786","2020-11-20 00:24:00","2020-11-20 05:53:00","05:29","unknown",""
"Crown Castle","NOC-635763","CCF20350176","2020-11-19 11:51:00","2020-11-19 13:41:00","01:50","unknown",""
"Spectrum","NOC-635820","ECT-80388457","2020-11-19 10:08:00","2020-11-19 10:33:00","00:25","unknown",""
"Crown Castle","NOC-635763","CCF20350176","2020-11-18 20:44:00","2020-11-19 08:38:00","11:54","unknown",""
"Crown Castle","NOC-635793","CCF20350253","2020-11-19 07:35:00","2020-11-19 08:40:00","01:05","provider maintenance","Fiber bump during unrelated maintenance"
"Environmental","NOC-635780","","2020-11-19 01:17:00","2020-11-19 04:16:00","02:59","power outage",""
"Crown Castle","NOC-635793","CCF20350253","2020-11-19 04:18:00","2020-11-19 04:23:00","00:05","provider maintenance","Fiber bump during unrelated maintenance"
"Environmental","NOC-635736","ECT-80386938","2020-11-18 12:11:00","2020-11-18 12:35:00","00:24","power outage",""
"Environmental","NOC-635728","","2020-11-18 09:33:00","2020-11-18 10:11:00","00:38","power outage",""
"AT&T","NOC-635707","","2020-11-18 05:08:00","2020-11-18 07:28:00","02:20","higher level carrier",""
"AT&T","NOC-635714","294495913 294495634","2020-11-18 07:24:00","2020-11-18 07:31:00","00:07","higher level carrier",""
"AT&T","NOC-635707","","2020-11-18 05:08:00","2020-11-18 05:14:00","00:06","higher level carrier",""
"Frontier","NOC-635610","","2020-11-17 07:54:00","2020-11-18 00:57:00","17:03","unknown",""
"AT&T","NOC-635636","CM428195","2020-11-18 02:05:00","2020-11-18 04:01:00","01:56","higher level carrier",""
"Environmental","NOC-635629","","2020-11-17 10:37:00","2020-11-18 00:59:00","14:22","power outage",""
