"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-642567","","2021-02-19 06:45:00","2021-02-19 11:46:00","05:01","faulty line card",""
"AT&T","NOC-642585","297410646","2021-02-19 09:41:00","2021-02-19 10:19:00","00:38","faulty optic",""
"GeoLinks","NOC-642586","","2021-02-19 09:42:00","2021-02-19 10:10:00","00:28","other","Radio reboot"
"Plumas-Sierra Telecom","NOC-642559","","2021-02-19 02:16:00","2021-02-19 02:30:00","00:14","provider maintenance",""
"Environmental","NOC-642500","ECT-80527872","2021-02-18 11:39:00","2021-02-18 13:12:00","01:33","power outage",""
"AT&T","NOC-642223","297245314, 297245955","2021-02-15 23:04:00","2021-02-18 15:26:00","64:22","fiber damage",""
"Zayo","NOC-642514","TTN0004804508","2021-02-18 14:12:00","2021-02-18 14:14:00","00:02","unknown",""
"Environmental","NOC-642493","297380935","2021-02-18 10:13:00","2021-02-18 11:11:00","00:58","power outage",""
"AT&T","NOC-642454","297348374","2021-02-18 01:48:00","2021-02-18 04:14:00","02:26","faulty line card",""
"Environmental","NOC-642438","297362113","2021-02-17 20:30:00","2021-02-18 03:30:00","07:00","power outage",""
"Crown Castle","NOC-642449","","2021-02-18 01:16:00","2021-02-18 01:18:00","00:02","provider maintenance",""
"Frontier ;; AT&T","NOC-642370","2914832 (Frontier)","2021-02-17 11:42:00","2021-02-17 16:06:00","04:24","faulty line card",""
"Cisco ;; CenturyLink (Level3)","NOC-642229","20669406","2021-02-16 05:42:00","2021-02-16 23:16:00","17:34","fiber cut",""
