"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Library","NOC-631555","St. Helena Public Library down.","2020-09-27 22:50:00","2020-09-29 15:50:00","41:00","","St. Helena Public Library","Environmental","power outage",""
"Multi-site","NOC-631647","Multiple Spectrum circuits bounced in Southern California.","2020-09-29 08:00:00","2020-09-29 08:02:00","00:02","Citrus CCD ;; Copper Mountain CCD ;; Del Norte COE ;; Mt. San Antonio CCD ;; Pepperdine University","","Spectrum","faulty line card",""
"UC","NOC-631641","UCANR Desert REC is unavailable","2020-09-29 01:56:00","2020-09-29 02:51:00","00:55","","UC Agricultural and Natural Resources - Desert","AT&T","unknown",""
"Multi-site","NOC-631598","Multiple circuits are down in the Bay Area","2020-09-28 11:56:00","2020-09-28 16:52:00","04:56","Humboldt COE ;; Humboldt State University ;; Northern Humboldt USD","","AT&T","fiber damage",""
"Library","NOC-631547","Router Down","2020-09-27 18:51:00","2020-09-28 15:25:00","20:34","","El Dorado County Library - Georgetown Branch","Environmental","power outage",""
"K12/COE","NOC-631543","Router is down","2020-09-27 18:18:00","2020-09-28 16:25:00","22:07","Nevada Joint Union HSD ;; Nevada Joint Union HSD at Bear River HS","Sierra COE - WEST","Environmental","power outage",""
"Library","NOC-631541","Router is down","2020-09-27 18:36:00","2020-09-28 16:00:00","21:24","","El Dorado County Library - Pollock Pines Branch","Environmental","power outage",""
"Other","NOC-631608","Pepperdine's 10G circuit to LAX was unstable.","2020-09-28 14:49:00","2020-09-28 15:02:00","00:13","","Pepperdine University","Spectrum","unknown",""
"K12/COE","NOC-631528","Plumas COE down","2020-09-27 15:45:00","2020-09-27 21:53:00","06:08","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Plumas COE","Environmental","power outage",""
"Multi-site","NOC-631584","Multiple circuits bounced in the NorCal region.","2020-09-28 10:19:00","2020-09-28 10:20:00","00:01","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center ;; Siskiyou COE ;; Tulelake Basin Joint USD","","AT&T","unknown",""
"CC","NOC-631566","College of the Alameda Aviation Center circuit to Sunnyvale was down.","2020-09-28 04:10:00","2020-09-28 06:02:00","01:52","College of the Alameda Aviation Center","","AT&T","higher level carrier",""
"CC","NOC-631549","10GE Connections are down","2020-09-27 21:19:00","2020-09-28 06:02:00","08:43","","Merritt College","Environmental","power outage",""
"CC","NOC-631540","Feather River College is down","2020-09-27 15:45:00","2020-09-27 20:51:00","05:06","","Feather River College","Environmental","power outage",""
"Library","NOC-631552","Arcadia Public Library down.","2020-09-27 21:38:00","2020-09-27 21:44:00","00:06","","Arcadia Public Library","Cisco","CPE reset",""
"Library","NOC-631544","Brief Circuit Outage","2020-09-27 19:02:00","2020-09-27 19:05:00","00:03","","Humboldt County Library","AT&T","unknown",""
"K12/COE","NOC-631528","Plumas COE down","2020-09-27 07:57:00","2020-09-27 09:35:00","01:38","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Plumas COE","Environmental","power outage",""
"Library","NOC-631527","Alhambra Public Library Outage","2020-09-27 07:53:00","2020-09-27 08:28:00","00:35","","Alhambra Public Library","AT&T","unknown",""
"Multi-site","NOC-631495","Multiple circuits in the SoCal Region experienced a moment of instability.","2020-09-26 12:22:00","2020-09-26 12:24:00","00:02","LA Southwest College","Los Angeles County Library","AT&T","other","LoS from customer side"
"CSU","NOC-631430","CSU Chancellor's Office circuit to Tustin is down.","2020-09-25 14:07:00","2020-09-25 19:53:00","05:46","CSU Chancellor's Office","","Spectrum","fiber cut",""
"CC","NOC-631373","Victor Valley CCD - School of Aviation Technology stable","2020-09-25 01:17:00","2020-09-25 09:04:00","07:47","Victor Valley CCD","Victor Valley CCD - SCLA School of Aviation Technology","Spectrum","unknown","Bounces happened for 40min, outage was dispatched and instusive tested unnecessarily. Original RFO unknown"
"Multi-site","NOC-631393","Multiple Frontier circuits bounced.","2020-09-25 08:51:00","2020-09-25 08:52:00","00:01","Alpine COE ;; Del Norte COE ;; Shasta CCD Trinity Center ;; Siskiyou COE ;; Yuba CCD Colusa County Campus","","Frontier","unknown",""
"Multi-site","NOC-631344","Multiple circuits down in the Sacramento region.","2020-09-24 09:09:00","2020-09-24 15:47:00","06:38","Alameda COE ;; Contra Costa COE ;; Woodland CC ;; Yuba CC","","WaveBroadband","fiber cut",""
"Library","NOC-631272","Santa Fe Springs City Library William C Gordon Learning Center is Up.","2020-09-23 21:20:00","2020-09-24 10:47:00","13:27","","Santa Fe Springs City Library William C Gordon Learning Center","Environmental","power outage",""
"CC","NOC-631301","Santa Barbara City College CPE reload.","2020-09-23 17:57:00","2020-09-23 18:11:00","00:14","Santa Barbara CC ;; Santa Barbara City College - Schott Center ;; Santa Barbara City College - Wake Center ;; Santa Barbara City College Cosmetology Center","","CENIC Internal","CPE reset",""
"Multi-site","NOC-631231","Multiple Comcast circuits down.","2020-09-23 00:56:00","2020-09-23 05:14:00","04:18","Mendocino College","Pleasanton Public Library","Comcast","provider maintenance",""
