"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Charter","NOC-632743","ECT-80339900 ","2020-10-13 13:38:00","2020-10-13 14:06:00","00:28","unknown","Outage re-opened and ongoing"
"Frontier","NOC-632699","","2020-10-13 07:37:00","2020-10-13 09:02:00","01:25","faulty line card",""
"Frontier","NOC-632707","","2020-10-13 08:58:00","2020-10-13 09:02:00","00:04","faulty line card",""
"CENIC Internal","NOC-632674","","2020-10-13 00:00:00","2020-10-13 05:30:00","05:30","other","CENIC email issue"
"Spectrum","NOC-632630","ECT80336390","2020-10-12 08:48:00","2020-10-12 21:22:00","12:34","fiber cut",""
"Environmental","NOC-632587","290608809","2020-10-11 14:21:00","2020-10-12 11:26:00","21:05","power outage",""
"Environmental","NOC-632587","290608809","2020-10-11 14:21:00","2020-10-12 08:16:00","17:55","power outage",""
"Environmental","NOC-632589","","2020-10-11 14:51:00","2020-10-12 07:21:00","16:30","power outage",""
"Crown Castle","NOC-632602","CCF20337257","2020-10-12 00:20:00","2020-10-12 00:25:00","00:05","unknown",""
"AT&T","NOC-632574","290542827","2020-10-11 03:34:00","2020-10-11 17:18:00","13:44","faulty line card",""
"AT&T","NOC-632578","290566222","2020-10-11 02:15:00","2020-10-11 17:18:00","15:03","faulty line card",""
"AT&T","NOC-632592","","2020-10-11 16:14:00","2020-10-11 18:50:00","02:36","unknown","RFO still pending"
"Spectrum","NOC-632530","ECT-80334992","2020-10-10 08:57:00","2020-10-10 15:22:00","06:25","fiber cut",""
"AT&T","NOC-632522","","2020-10-10 03:54:00","2020-10-10 08:26:00","04:32","unknown",""
"AT&T","NOC-632541","290444756","2020-10-10 11:27:00","2020-10-10 11:32:00","00:05","unknown",""
"Environmental","NOC-632533","","2020-10-10 09:15:00","2020-10-10 09:46:00","00:31","utility maintenance",""
"Environmental","NOC-632524","","2020-10-10 05:38:00","2020-10-10 05:46:00","00:08","power outage",""
"AT&T","NOC-632438","","2020-10-08 22:16:00","2020-10-08 23:42:00","01:26","higher level carrier",""
"Environmental","NOC-632379","LE125953","2020-10-08 03:17:00","2020-10-08 06:15:00","02:58","power outage",""
"AT&T","NOC-632408","290116222 290115605","2020-10-08 11:59:00","2020-10-08 12:00:00","00:01","faulty line card",""
"Crown Castle","NOC-632316","CCF 20337703","2020-10-07 14:29:00","2020-10-08 05:53:00","15:24","fiber cut",""
"Spectrum","NOC-632380","ECT-803331950","2020-10-08 03:32:00","2020-10-08 03:42:00","00:10","unknown",""
"Frontier","NOC-632324","2860204","2020-10-07 14:39:00","2020-10-07 16:54:00","02:15","unknown",""
"AT&T","NOC-632301","","2020-10-07 11:00:00","2020-10-07 11:01:00","00:01","unknown",""
