"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-635645","Multiple circuits are down in Northern California","2020-11-17 13:14:00","2020-11-17 16:40:00","03:26","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Feather River College","Environmental","power outage",""
"Multi-site","NOC-635620","Multiple CVIN circuits bounced.","2020-11-17 09:27:00","2020-11-17 09:30:00","00:03","Colusa COE ;; Sutter COE","","Vast","unknown",""
"Library","NOC-635571","Solano County Library is back up.","2020-11-16 21:37:00","2020-11-16 08:31:00","-14:54","","Solano County Library","Environmental","power outage",""
"CC","NOC-633036","Victor Valley CC - School of Aviation Technology down","2020-10-26 09:09:00","2020-11-16 13:46:00","508:37","Victor Valley CCD","Victor Valley CCD - SCLA School of Aviation Technology","Environmental","power outage",""
"Multi-site","NOC-635480","Corning Circuits Currently Down","2020-11-17 00:30:00","2020-11-17 08:15:00","07:45","Butte Glenn CCD ;; Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","College of the Siskiyous ;; Shasta Public Library - Redding ;; Willows Public Library","CENIC Internal","other","CENIC maintenance"
"CC","NOC-635591","Shasta CC Tehama CPE rebooted.","2020-11-17 03:38:00","2020-11-17 03:44:00","00:06","Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center","Shasta CC - Tehama","Environmental","power outage",""
"Multi-site","NOC-635524","Multiple circuits bounced in the San Diego area.","2020-11-16 12:02:00","2020-11-16 12:05:00","00:03","CSU San Marcos","San Diego County Library - El Cajon","AT&T","unknown",""
"Library","NOC-635481","Corona Public Library Down","2020-11-16 01:13:00","2020-11-16 01:16:00","00:03","","Corona Public Library","Environmental","power outage",""
"UC","NOC-635460","UCSF Health System circuit bounce","2020-11-15 15:58:00","2020-11-15 15:59:00","00:01","","","Zayo","unknown",""
"UC","NOC-635298","UCANR Elkus Ranch REC is unreachable.","2020-11-14 03:16:00","2020-11-14 10:18:00","07:02","","UCANR Elkus Ranch REC","Environmental","power outage",""
"Library","NOC-635409","San Francisco Public Library (Leland) is unreachable.","2020-11-13 21:04:00","2020-11-13 22:55:00","01:51","","San Francisco Public Library","AT&T","faulty line card",""
"CC","NOC-635413","Skyline CCD 10GE Circuit to Oakland Hub is down.","2020-11-13 21:00:00","2020-11-13 22:55:00","01:55","Skyline College","","AT&T","faulty line card",""
"Library","NOC-635308","Sutro Library is unreachable.","2020-11-13 01:04:00","2020-11-13 23:15:00","22:11","","Sutro Library","AT&T","faulty line card",""
"Multi-site","NOC-635392","Multiple circuits are down in Bay Area.","2020-11-13 16:44:00","2020-11-13 23:45:00","07:01","Contra Costa COE","Alameda COE ;; Oakland USD","Comcast","fiber damage",""
"Library","NOC-635357","Humboldt County Library is unreachable","2020-11-13 07:23:00","2020-11-13 08:46:00","01:23","","Humboldt County Library","Environmental","power outage",""
"UC","NOC-635298","UCANR Elkus Ranch REC unreachable.","2020-11-12 20:10:00","2020-11-13 08:49:00","12:39","","UCANR Elkus Ranch REC","Environmental","power outage",""
"UC","NOC-635254","UCANR Inter-Mountain REC is currently unavailable.","2020-11-12 12:07:00","2020-11-12 19:19:00","07:12","","UCANR Inter-Mountain REC","Hunter Communications","fiber damage",""
