"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Library","NOC-636138","Humboldt County Library","2020-11-23 21:36:00","2020-11-23 21:38:00","00:02","","Humboldt County Library","CENIC Internal","other","Bad CENIC config"
"Backbone","NOC-636051","Bay Area backbone outage.","2020-11-23 08:22:00","2020-11-23 14:26:00","06:04","Jackson Labs ;; Los Nettos ;; UC Davis ;; UC Davis HPR ;; UC Davis to Amazon ;; UC San Diego to NOAA ;; UC Santa Cruz ;; UC Santa Cruz - Enterprise Technology Center ;; UCANR Davis Headquarters","XD Circuits: ;; CENIC-L2-SNVL-UCR-DDOS-8059 ;; CENIC-XD-LAX-SVL-10GE-4040-R51","CenturyLink (Level3)","fiber damage",""
"Multi-site","NOC-636085","Multiple AT&T circuits bounced","2020-11-23 10:45:00","2020-11-23 10:46:00","00:01","Crafton Hills College ;; Moreno Valley College ;; Riverside CCD","Norco CC","AT&T","unknown",""
"Multi-site","NOC-636070","Multiple AT&T circuits bounced in the Southern California area.","2020-11-23 09:50:00","2020-11-23 09:51:00","00:01","Chaffey CCD ;; Chaffey CCD Fontana Learning Center ;; Chaffey College, Chino Center ;; Irvine Valley College ;; Moreno Valley College ;; Norco CC ;; Riverside CCD ;; Saddleback CC","","AT&T","unknown",""
"UC","NOC-636043","UC Health Systems Outage","2020-11-23 07:57:00","2020-11-23 07:58:00","00:01","","","CenturyLink (Level3)","unknown","RFO pending"
"CC","NOC-635972","Mira Costa - San Elijo 10GE circuit to Riverside is unavailable","2020-11-22 00:12:00","2020-11-23 04:55:00","28:43","Mira Costa College Community Learning Center ;; MiraCosta College ;; MiraCosta College San Elijo Campus","","AT&T","faulty line card",""
"Multi-site","NOC-636031","San Diego Circuits Briefly Down","2020-11-23 04:37:00","2020-11-23 04:56:00","00:19","Cuyamaca CC ;; Grossmont CCDO ;; Southwestern CCD HEC - San Ysidro ;; University of San Diego","Southwestern CCD HEC - National City","AT&T","faulty line card",""
"UC","NOC-636005","UCSF Health System bounce","2020-11-22 14:55:00","2020-11-22 15:02:00","00:07","","","Zayo","unknown",""
"CC","NOC-635973","Shasta CC Trinity Center is unavailable.","2020-11-22 00:05:00","2020-11-22 03:43:00","03:38","Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences","Shasta CCD Trinity Center","Environmental","power outage",""
"Library","NOC-635952","Moorpark City Library is down","2020-11-21 09:14:00","2020-11-21 09:37:00","00:23","","Moorpark City Library","AT&T","unknown",""
"Multi-site","NOC-635950","CENIC backbone outage - Central Valley","2020-11-21 09:12:00","2020-11-21 09:13:00","00:01","Los Nettos ;; National Oceanic and Atmospheric Administration ;; University of California, Merced ;; University of California, San Diego","","CenturyLink (Level3)","unknown",""
"CSU","NOC-635948","The 10GE circuit to Soledad has restored.","2020-11-21 07:25:00","2020-11-21 07:32:00","00:07","CSU Monterey Bay","","AT&T","faulty line card",""
"Library","NOC-635898","Humboldt County Library Outage","2020-11-20 09:03:00","2020-11-20 11:23:00","02:20","","Humboldt County Library","Environmental","power outage",""
"UC","NOC-635866","UCANR Hansen REC restored","2020-11-20 00:41:00","2020-11-20 08:01:00","07:20","","UCANR Hansen REC","Environmental","power outage",""
"CC","NOC-635864","Santa Barbara CC 10GE circuit to Los Angeles Hub is down.","2020-11-20 00:24:00","2020-11-20 05:53:00","05:29","Santa Barbara CC ;; Santa Barbara City College - Schott Center ;; Santa Barbara City College - Wake Center ;; Santa Barbara City College Cosmetology Center","","Cox","unknown",""
"CSU","NOC-635763","CSU Northridge 100G circuit to Los Angeles is unstable.","2020-11-19 11:51:00","2020-11-19 13:41:00","01:50","CSU Northridge","","Crown Castle","unknown",""
"CSU","NOC-635820","CSU Chancellor's Office circuit 10G circuit to the Tustin hub site is down.","2020-11-19 10:08:00","2020-11-19 10:33:00","00:25","CSU Chancellor's Office","","Spectrum","unknown",""
"CSU","NOC-635763","CSU Northridge 100G circuit to Los Angeles is unstable.","2020-11-18 20:44:00","2020-11-19 08:38:00","11:54","CSU Northridge","","Crown Castle","unknown",""
"K12/COE","NOC-635793","LAUSD - Van Nuys 100G circuit down.","2020-11-19 07:35:00","2020-11-19 08:40:00","01:05","Los Angeles USD - Van Nuys","","Crown Castle","provider maintenance","Fiber bump during unrelated maintenance"
"K12/COE","NOC-635780","Yolo COE is Down Due to Scheduled Power Maintenance","2020-11-19 01:17:00","2020-11-19 04:16:00","02:59","California Department of Education","Yuba COE","Environmental","power outage",""
"K12/COE","NOC-635793","LAUSD - Van Nuys 100G circuit down.","2020-11-19 04:18:00","2020-11-19 04:23:00","00:05","Los Angeles USD - Van Nuys","","Crown Castle","provider maintenance","Fiber bump during unrelated maintenance"
"Library","NOC-635736","Rancho Mirage Public Library is unavailable.","2020-11-18 12:11:00","2020-11-18 12:35:00","00:24","","Rancho Mirage Public Library","Environmental","power outage",""
"K12/COE","NOC-635728","The circuit to Ceres USD is up.","2020-11-18 09:33:00","2020-11-18 10:11:00","00:38","","Ceres Unified School District","Environmental","power outage",""
"CC","NOC-635707","Ohlone CC's 10G circuit to Oakland outage.","2020-11-18 05:08:00","2020-11-18 07:28:00","02:20","Ohlone College ;; Ohlone College Newark Center","","AT&T","higher level carrier",""
"Multi-site","NOC-635714","Multiple circuits down briefly in SoCal region.","2020-11-18 07:24:00","2020-11-18 07:31:00","00:07","Long Beach City College ;; Long Beach PCC","Santa Clarita Public Library","AT&T","higher level carrier",""
"CC","NOC-635707","Ohlone CC's 10G circuit to Oakland outage.","2020-11-18 05:08:00","2020-11-18 05:14:00","00:06","Ohlone College ;; Ohlone College Newark Center","","AT&T","higher level carrier",""
"K12/COE","NOC-635610","1G Circuits between Del Norte and Siskiyou COE are down.","2020-11-17 07:54:00","2020-11-18 00:57:00","17:03","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","unknown",""
"CC","NOC-635636","Circuit between Las Positas CC and Sunnyvale was down.","2020-11-18 02:05:00","2020-11-18 04:01:00","01:56","Las Positas CC","","AT&T","higher level carrier",""
"K12/COE","NOC-635629","Loyalton HS is unreachable.","2020-11-17 10:37:00","2020-11-18 00:59:00","14:22","Del Norte COE ;; Lassen COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","Loyalton HS - Sierra COE","Environmental","power outage",""
