"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-631145","LE125050","2020-09-22 21:48:00","2020-09-22 22:03:00","00:15","unknown",""
"Environmental","NOC-631210","","2020-09-22 17:37:00","2020-09-22 17:42:00","00:05","power outage",""
"CenturyLink (Level3)","NOC-631177","19724795","2020-09-22 08:58:00","2020-09-22 08:59:00","00:01","other","Loss of signal at telco demarc, fault unknown"
"Frontier","NOC-631156","2852893 / 2853088 / 2852892 / 2852890 / 2852889 / 2853087","2020-09-22 00:01:00","2020-09-22 00:18:00","00:17","provider maintenance",""
"AT&T","NOC-631145","LE125050","2020-09-21 21:50:00","2020-09-21 22:05:00","00:15","unknown",""
"Spectrum","NOC-631022","EIT-80307818 (old) EIT-80305288 (recent)","2020-09-20 00:02:00","2020-09-20 09:37:00","09:35","fiber cut",""
"Spectrum","NOC-630904","ECT-80306637","2020-09-18 10:27:00","2020-09-18 21:19:00","10:52","fiber damage",""
"Spectrum","NOC-630958","ECT-80307037","2020-09-18 18:28:00","2020-09-18 20:20:00","01:52","fiber damage",""
"Spectrum","NOC-630873","EIT-80305288","2020-09-18 03:04:00","2020-09-19 02:15:00","23:11","fiber cut",""
"AT&T","NOC-630651","old (287380556 287380632 287380609) -  new (287393310 , 287393321 , 287393981)","2020-09-15 08:09:00","2020-09-17 14:49:00","54:40","fiber cut",""
"Crown Castle","NOC-630799","CCF20331890","2020-09-17 01:53:00","2020-09-17 02:12:00","00:19","unknown","RFO pending"
"Environmental","NOC-630689","","2020-09-16 14:18:00","2020-09-16 14:27:00","00:09","power outage",""
"CenturyLink (Level3)","NOC-630738","19683330","2020-09-16 11:49:00","2020-09-16 12:23:00","00:34","provider maintenance",""
"AT&T","NOC-630389","287191102 - FE143364","2020-09-16 13:12:00","2020-09-16 14:04:00","00:52","unknown",""
"AT&T","NOC-630644","LE124749","2020-09-15 06:21:00","2020-09-16 08:49:00","26:28","other","config issue"
"Environmental","NOC-630732","","2020-09-16 09:19:00","2020-09-16 10:23:00","01:04","power outage",""
"AT&T","NOC-630712","","2020-09-16 01:34:00","2020-09-16 02:04:00","00:30","higher level carrier",""
"Spectrum","NOC-630705"," ECT-80301473","2020-09-16 00:33:00","2020-09-16 02:00:00","01:27","provider maintenance",""
