"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Crown Castle","NOC-638825","CCF21361054","2021-01-02 00:21:00","2021-01-02 00:24:00","00:03","unknown","pending"
"AT&T","NOC-638822","295938360 295938573 295939660 295939945 295939663 295937192","2021-01-01 22:38:00","2021-01-01 22:43:00","00:05","unknown",""
"SCE","NOC-638783","3161048","2021-01-01 00:08:00","2021-01-01 19:35:00","19:27","fiber damage",""
"Environmental","NOC-638684","","2020-12-29 23:46:00","2020-12-30 08:21:00","08:35","other","Customer owned fiber"
"Environmental","NOC-638794","","2021-01-01 06:58:00","2021-01-01 14:57:00","07:59","unknown","Customer owned fiber"
"Vast","NOC-638773","","2020-12-31 18:49:00","2020-12-31 22:03:00","03:14","fiber cut",""
"Environmental","NOC-638785","","2021-01-01 00:41:00","2021-01-01 01:06:00","00:25","power outage",""
"AT&T","NOC-638768","86/KRFN/578109/PT (Local UNI), 295919069 86/VLXP/135437//PT (EVC), 295918747 86/KRFN/578100/PT (Remote UNI) 295919430","2020-12-31 15:47:00","2020-12-31 15:49:00","00:02","unknown",""
"Environmental","NOC-638605","","2020-12-30 07:36:00","2020-12-30 14:55:00","07:19","power outage",""
"AT&T","NOC-638731","","2020-12-30 14:28:00","2020-12-30 14:29:00","00:01","unknown","Pending"
"AT&T","NOC-638696","","2020-12-30 03:42:00","2020-12-30 03:44:00","00:02","unknown",""
"Environmental","NOC-638590","","2020-12-28 23:02:00","2020-12-29 10:50:00","11:48","power outage",""
"Environmental","NOC-638605","","2020-12-29 07:04:00","2020-12-29 07:05:00","00:01","power outage",""
"Environmental","NOC-638599","","2020-12-29 03:38:00","2020-12-29 03:45:00","00:07","power outage",""
"Spectrum","NOC-638577","","2020-12-28 17:56:00","2020-12-28 17:58:00","00:02","unknown","Investigation pending"
"Vast","NOC-638507","","2020-12-28 08:42:00","2020-12-28 13:54:00","05:12","faulty line card",""
"Environmental","NOC-638485","20350683","2020-12-28 06:10:00","2020-12-28 09:40:00","03:30","power outage",""
"Environmental","NOC-638481","","2020-12-27 21:46:00","2020-12-27 23:30:00","01:44","power outage",""
"Crown Castle","NOC-638418","Crown Castle CCF20360033","2020-12-26 09:52:00","2020-12-27 21:51:00","35:59","fiber damage",""
"CENIC Internal","NOC-637844","","2020-12-27 19:15:00","2020-12-27 21:08:00","01:53","faulty line card","Failing CENIC LC"
"AT&T","NOC-638373","295792583","2020-12-25 14:57:00","2020-12-26 12:54:00","21:57","faulty line card",""
"AT&T","NOC-638383","295793942","2020-12-25 14:59:00","2020-12-26 12:56:00","21:57","faulty line card",""
"Vast","NOC-638420","5870","2020-12-26 10:25:00","2020-12-26 12:31:00","02:06","faulty line card",""
"Environmental","NOC-638414","","2020-12-26 05:46:00","2020-12-26 10:22:00","04:36","power outage",""
"Spectrum","NOC-638322","80446228 80446234 80446284","2020-12-24 21:22:00","2020-12-25 19:20:00","21:58","fiber cut",""
"SCE","NOC-638255","","2020-12-23 12:54:00","2020-12-24 00:38:00","11:44","fiber cut",""
