"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"WaveBroadband","NOC-641122","CS0009669","2021-01-31 21:08:00","2021-02-01 01:59:00","04:51","unknown",""
"AT&T","NOC-641142","","2021-02-01 04:06:00","2021-02-01 04:33:00","00:27","faulty line card",""
"Environmental","NOC-641082","","2021-01-30 16:01:00","2021-01-31 17:37:00","25:36","power outage",""
"Crown Castle","NOC-641103","CCF21368715","2021-01-31 11:15:00","2021-01-31 23:40:00","12:25","fiber cut",""
"Environmental","NOC-641127","","2021-01-31 00:22:00","2021-01-31 00:31:00","00:09","power outage",""
"Environmental","NOC-641115","","2021-01-31 16:52:00","2021-01-31 17:55:00","01:03","power outage",""
"Environmental","NOC-641082","","2021-01-30 16:01:00","2021-01-30 16:06:00","00:05","power outage",""
"AT&T","NOC-641057","000000296734646/ 000000296735621 /T 000000296735812 ","2021-01-30 00:45:00","2021-01-30 00:49:00","00:04","faulty line card",""
"Environmental","NOC-641001","","2021-01-29 18:26:00","2021-01-29 18:44:00","00:18","power outage",""
"AT&T","NOC-640971","","2021-01-29 00:32:00","2021-01-29 13:55:00","13:23","fiber cut",""
"Environmental","NOC-640936","OG-0128-725","2021-01-28 13:33:00","2021-01-28 21:06:00","07:33","power outage",""
"Environmental","NOC-640995","","2021-01-29 04:06:00","2021-01-29 09:09:00","05:03","power outage",""
"AT&T","NOC-641000","296715090","2021-01-29 07:24:00","2021-01-29 07:30:00","00:06","unknown",""
"Environmental","NOC-640960","","2021-01-28 17:55:00","2021-01-28 18:41:00","00:46","power outage",""
"AT&T","NOC-640910","296682834","2021-01-28 08:10:00","2021-01-28 22:23:00","14:13","fiber cut",""
"Frontier","NOC-640951","ticket 2906597 for: 45/L1XN/677876/FTNC.  ticket 2906598 for: 45/L1XN/677869/FTNC","2021-01-28 15:48:00","2021-01-28 16:01:00","00:13","unknown","RFO pending"
"Environmental","NOC-640936","OG-0128-725","2021-01-28 13:33:00","2021-01-28 14:06:00","00:33","power outage",""
"Environmental","NOC-640691","","2021-01-26 20:05:00","2021-01-27 04:22:00","08:17","power outage",""
"Environmental","NOC-640436","","2021-01-23 15:25:00","2021-01-28 10:22:00","114:57","power outage",""
"Crown Castle","NOC-640931","CCF21368149","2021-01-28 11:44:00","2021-01-28 11:56:00","00:12","unknown",""
"Environmental","NOC-640731","","2021-01-26 23:36:00","2021-01-28 08:06:00","32:30","power outage",""
"Environmental","NOC-640905","","2021-01-28 06:09:00","2021-01-28 08:53:00","02:44","power outage",""
"Environmental","NOC-640703","","2021-01-26 21:02:00","2021-01-28 01:27:00","28:25","power outage",""
"AT&T","NOC-640883","","2021-01-28 01:48:00","2021-01-28 03:20:00","01:32","faulty line card",""
"Spectrum","NOC-640895","","2021-01-28 02:54:00","2021-01-28 02:55:00","00:01","unknown",""
"Environmental","NOC-640378","","2021-01-26 23:40:00","2021-01-27 10:20:00","10:40","power outage",""
"Environmental","NOC-640781","SI-047587377","2021-01-27 04:02:00","2021-01-27 09:27:00","05:25","power outage",""
"Environmental","NOC-640732","","2021-01-26 23:49:00","2021-01-27 12:24:00","12:35","power outage",""
"Vast","NOC-640773","","2021-01-27 02:50:00","2021-01-27 10:07:00","07:17","faulty line card",""
"Environmental","NOC-640723","","2021-01-26 23:35:00","2021-01-27 01:03:00","01:28","power outage",""
"Environmental","NOC-640705","","2021-01-26 21:31:00","2021-01-27 00:03:00","02:32","power outage",""
"Environmental","NOC-640728","","2021-01-26 23:43:00","2021-01-27 00:34:00","00:51","power outage",""
"Environmental","NOC-640696","","2021-01-26 20:19:00","2021-01-27 01:05:00","04:46","power outage",""
"AT&T","NOC-640487","296564762","2021-01-25 02:44:00","2021-01-27 01:50:00","47:06","faulty line card",""
"Environmental","NOC-640747","","2021-01-27 01:58:00","2021-01-27 02:04:00","00:06","power outage",""
"Environmental","NOC-640722","","2021-01-26 23:35:00","2021-01-26 23:38:00","00:03","power outage",""
