"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-640568","Multiple circuits are down in the Central Valley region.","2021-01-25 16:24:00","2021-01-25 19:35:00","03:11","Amador COE ;; Calaveras COE","","Vast","other","CVIN wiring issue"
"Library","NOC-640494","El Dorado County Library - Georgetown Branch down","2021-01-25 06:18:00","2021-01-25 14:43:00","08:25","","El Dorado County Library - Georgetown Branch","Environmental","power outage",""
"CC","NOC-640481","College of the Alameda Science Annex Center circuit stabilized","2021-01-25 00:49:00","2021-01-25 05:45:00","04:56","College of the Alameda Science Annex Center","","AT&T","unknown","Probably AT&T maintenance since it looks like a maintenance window, unconfirmed"
"K12/COE","NOC-640485","Tuolumne COE restored","2021-01-25 03:49:00","2021-01-25 10:55:00","07:06","Tuolumne COE","","Environmental","power outage",""
"K12/COE","NOC-640467","GigE Circuit is down","2021-01-24 17:29:00","2021-01-24 20:34:00","03:05","Humboldt COE","","Environmental","power outage",""
"Multi-site","NOC-640466","Backbone Fiber between Sunnyvale and Monterey is unstable","2021-01-24 16:25:00","2021-01-24 16:55:00","00:30","CSU Monterey Bay ;; Naval Postgraduate School in Monterey","","CenturyLink (Level3)","unknown",""
"Library","NOC-640462","Router went down","2021-01-24 15:49:00","2021-01-24 15:54:00","00:05","","Shasta Public Library - Redding","Environmental","power outage",""
"CC","NOC-640441","Circuit are down","2021-01-23 17:28:00","2021-01-23 21:38:00","04:10","West Hills CCD ;; West Hills Lemoore CC","West Hills North District Center CC","Environmental","power outage",""
"CC","NOC-640437","Sunnyvale and Oakland Circuits are Down","2021-01-23 17:09:00","2021-01-23 17:11:00","00:02","","College of the Alameda Science Annex Center","AT&T","unknown",""
"K12/COE","NOC-640433","Tuolumne COE Outage","2021-01-23 11:48:00","2021-01-23 13:29:00","01:41","Tuolumne COE","","Environmental","power outage",""
"Multi-site","NOC-640408","SoCal outage","2021-01-22 15:03:00","2021-01-22 15:10:00","00:07","College of the Canyons ;; CSU Northridge ;; Oxnard - Ventura County CCD ;; Pepperdine University","","AT&T","other","fiber bump"
"CSU","NOC-640389","The 10GE circuit to Los Angeles experienced brief instability.","2021-01-22 10:22:00","2021-01-22 10:24:00","00:02","CSU Chancellor's Office","","AT&T","unknown",""
"K12/COE","NOC-640277","San Diego COE's 100GE circuit to Los Angeles is down.","2021-01-20 18:36:00","2021-01-21 07:14:00","12:38","San Diego COE","","Crown Castle","fiber cut",""
"CC","NOC-640161","Merritt CC is unavailable.","2021-01-19 12:13:00","2021-01-21 16:13:00","52:00","","Merritt College","AT&T","other","ATT CPE didn't restore post power outage"
"Library","NOC-640140","The circuit to Thousand Oaks Public Library is up.","2021-01-19 08:23:00","2021-01-20 14:09:00","29:46","","Thousand Oaks Public Library","Environmental","power outage",""
"K12/COE","NOC-640066","Sierra COE - WEST is down.","2021-01-19 00:19:00","2021-01-19 15:33:00","15:14","","Sierra COE - WEST","Environmental","power outage",""
"CC","NOC-640244","Cuyamaca CC 10GE circuits to Riverside hubsite and Grossmont CCDO are down.","2021-01-20 12:41:00","2021-01-20 19:31:00","06:50","Grossmont CCDO","Cuyamaca CC","Environmental","power outage",""
"UC","NOC-640169","UCANR Hanson REC is unavailable.","2021-01-19 12:39:00","2021-01-20 06:27:00","17:48","","UCANR Hansen REC","Environmental","power outage",""
"CC","NOC-640124","Both circuits to Canyon Country Education Center are up.","2021-01-19 05:27:00","2021-01-20 07:32:00","26:05","College of the Canyons","Canyon Country Education Center","Environmental","power outage",""
"CC","NOC-640131","Both circuits to Los Angeles Mission College are up.","2021-01-19 07:22:00","2021-01-19 12:08:00","04:46","","LA Mission College","Environmental","power outage",""
"Library","NOC-640134","Oxnard Public Library is down.","2021-01-19 13:01:00","2021-01-19 22:46:00","09:45","","Oxnard Public Library","Environmental","power outage",""
"Library","NOC-640157","Beaumont Library District is unavailable.","2021-01-19 11:19:00","2021-01-19 23:10:00","11:51","","Beaumont Library District","Environmental","power outage",""
"Library","NOC-640110","Mariposa County Library Router reload.","2021-01-19 02:50:00","2021-01-19 06:24:00","03:34","Madera County Library ;; Merced County Library","Mariposa County Library","Environmental","power outage",""
