"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Vast","NOC-635043","","2020-11-10 09:24:00","2020-11-10 14:51:00","05:27","fiber cut",""
"AT&T","NOC-633060","292109615 ( old ) 292855683 (New)","2020-11-03 21:39:00","2020-11-10 03:58:00","150:19","higher level carrier",""
"AT&T","NOC-634951","293665980, 293665981, 293666631, 293666650, 293668079, 293667940","2020-11-09 10:18:00","2020-11-10 09:09:00","22:51","fiber damage",""
"AT&T","NOC-635020","293718401","2020-11-10 01:44:00","2020-11-10 03:56:00","02:12","fiber damage",""
"CenturyLink (Level3)","NOC-634959","","2020-11-09 12:19:00","2020-11-09 16:13:00","03:54","fiber damage",""
"AT&T","NOC-634968","","2020-11-09 13:43:00","2020-11-09 22:28:00","08:45","fiber damage",""
"Crown Castle","NOC-635004"," CCF20347461,  CCF20347462,  CCF20347463","2020-11-09 22:14:00","2020-11-09 22:19:00","00:05","unknown",""
"Crown Castle","NOC-634991","CCF20347435","2020-11-09 16:13:00","2020-11-09 16:50:00","00:37","provider maintenance","Bumps during unrelated maintenance"
"AT&T","NOC-634940","","2020-11-09 09:15:00","2020-11-09 09:16:00","00:01","higher level carrier",""
"Environmental","NOC-634926","","2020-11-09 08:06:00","2020-11-09 11:53:00","03:47","power outage",""
"Juniper ;; Sunesys ;; Crown Castle","NOC-634879","CCF20346930","2020-11-07 20:35:00","2020-11-08 17:32:00","20:57","other","Dirty CENIC fibers"
"Environmental","NOC-634885","","2020-11-08 02:44:00","2020-11-08 08:22:00","05:38","power outage",""
"Environmental","NOC-634895","LE127606/LE127607/LE127608 (ATT)","2020-11-08 11:10:00","2020-11-08 11:13:00","00:03","power outage",""
"Environmental","NOC-634874","","2020-11-07 21:02:00","2020-11-08 07:55:00","10:53","power outage",""
"Environmental","NOC-634866","","2020-11-07 11:02:00","2020-11-07 12:55:00","01:53","power outage",""
"Environmental","NOC-634874","","2020-11-07 16:15:00","2020-11-07 16:23:00","00:08","power outage",""
"AT&T","NOC-634767","293394903","2020-11-06 14:19:00","2020-11-07 03:47:00","13:28","faulty line card",""
"Environmental","NOC-634858","","2020-11-07 05:32:00","2020-11-07 05:45:00","00:13","power outage",""
"AT&T","NOC-634853","293422152","2020-11-06 21:59:00","2020-11-06 22:17:00","00:18","unknown",""
"SCE (So Cal Edison)","NOC-634697","3072598","2020-11-05 06:13:00","2020-11-05 19:49:00","13:36","fiber cut",""
"AT&T","NOC-634843","293413876","2020-11-06 18:26:00","2020-11-06 18:43:00","00:17","higher level carrier",""
"AT&T","NOC-634805","","2020-11-06 13:17:00","2020-11-06 18:29:00","05:12","other","Unplugged ATT fiber at their colo"
"Vast","NOC-634769","","2020-11-06 01:48:00","2020-11-06 04:00:00","02:12","provider maintenance",""
"Environmental","NOC-634762","","2020-11-05 22:30:00","2020-11-06 03:25:00","04:55","power outage",""
"GeoLinks","NOC-634487","157846","2020-11-02 11:46:00","2020-11-05 20:00:00","80:14","faulty line card",""
"AT&T","NOC-634672","293208084  / 293208087 / 293210011","2020-11-04 23:23:00","2020-11-05 13:18:00","13:55","faulty line card",""
"AT&T","NOC-634720","293276894 and 293278847","2020-11-05 10:27:00","2020-11-05 14:17:00","03:50","unknown",""
"AT&T","NOC-634674","YJ006510 , YJ006511 , YJ006509","2020-11-05 00:29:00","2020-11-05 07:00:00","06:31","faulty line card","Issues with ATT radio towers"
"Environmental","NOC-634656","","2020-11-04 17:23:00","2020-11-04 18:32:00","01:09","power outage",""
"Crown Castle","NOC-634676","CCF20345848","2020-11-05 00:37:00","2020-11-05 05:37:00","05:00","provider maintenance","Unannounced maintenance"
"AT&T","NOC-634673","","2020-11-05 00:02:00","2020-11-05 04:00:00","03:58","higher level carrier",""
"AT&T","NOC-634526","292949569 , 292949574","2020-11-04 01:33:00","2020-11-04 04:57:00","03:24","faulty line card",""
"Environmental","NOC-633917","293034467","2020-11-03 14:41:00","2020-11-03 14:42:00","00:01","power outage",""
"CenturyLink (Level3)","NOC-634578","20033571","2020-11-03 16:44:00","2020-11-04 10:54:00","18:10","fiber cut",""
"Crown Castle","NOC-634593","","2020-11-04 01:59:00","2020-11-04 02:05:00","00:06","provider maintenance","Fibers disturbed while working on unrelated maintenance"
