"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CSU","NOC-631145","CSU Channel Islands 10G circuit to Tustin outage.","2020-09-22 21:48:00","2020-09-22 22:03:00","00:15","CSU Channel Islands","","AT&T","unknown",""
"UC","NOC-631210","UCOP's circuit to Oakland is unstable.","2020-09-22 17:37:00","2020-09-22 17:42:00","00:05","University of California, Office of the President","","Environmental","power outage",""
"UC","NOC-631177","UC Health System 100G from Triangle Court to Quincy brief bounce","2020-09-22 08:58:00","2020-09-22 08:59:00","00:01","","","CenturyLink (Level3)","other","Loss of signal at telco demarc, fault unknown"
"Multi-site","NOC-631156","Multiple circuits are down in Northern California.","2020-09-22 00:01:00","2020-09-22 00:18:00","00:17","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Shasta CC - Tehama ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center ;; Siskiyou COE ;; Tulelake Basin Joint USD","Shasta CC Burney Center ;; Shasta CCD Trinity Center ;; Yuba CCD Colusa County Campus","Frontier","provider maintenance",""
"CSU","NOC-631145","CSU Channel Islands 10G circuit to Tustin outage.","2020-09-21 21:50:00","2020-09-21 22:05:00","00:15","CSU Channel Islands","","AT&T","unknown",""
"Multi-site","NOC-631022","Multiple Spectrum circuits were down in the SoCal region.","2020-09-20 00:02:00","2020-09-20 09:37:00","09:35","Copper Mountain CCD","Rancho Mirage Public Library ;; Upland Public Library","Spectrum","fiber cut",""
"K12/COE","NOC-630904","The circuits between Riverside COE and Riverside-Indio COE are up.","2020-09-18 10:27:00","2020-09-18 21:19:00","10:52","Riverside - Indio COE ;; Riverside COE","","Spectrum","fiber damage",""
"CSU","NOC-630958","10GE to the Tustin hub is up.","2020-09-18 18:28:00","2020-09-18 20:20:00","01:52","CSU Chancellor's Office","","Spectrum","fiber damage",""
"Multi-site","NOC-630873","Services restored","2020-09-18 03:04:00","2020-09-19 02:15:00","23:11","Antelope Valley College ;; Antelope Valley College Palmdale Education Center ;; Chaffey Joint UHSD ;; CSU Long Beach ;; San Bernardino CSS","Long Beach Public Library ;; Signal Hill Public Library","Spectrum","fiber cut",""
"Multi-site","NOC-630651","Multiple AT&T circuits down in the Central Valley.","2020-09-15 08:09:00","2020-09-17 14:49:00","54:40","Coalinga District Library ;; Fresno COE ;; Kern County Library ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","AT&T","fiber cut",""
"CSU","NOC-630799","CSUN Circuit to Los Angeles Hub is unstable.","2020-09-17 01:53:00","2020-09-17 02:12:00","00:19","CSU Northridge","","Crown Castle","unknown","RFO pending"
"CSU","NOC-630689","SDSU experienced brief instability.","2020-09-16 14:18:00","2020-09-16 14:27:00","00:09","San Diego State University","","Environmental","power outage",""
"UC","NOC-630738","UC Health System 100G from Triangle Court to Quincy was down","2020-09-16 11:49:00","2020-09-16 12:23:00","00:34","","","CenturyLink (Level3)","provider maintenance",""
"Library","NOC-630389","St. Helena Public Library circuit to San Francisco was down","2020-09-16 13:12:00","2020-09-16 14:04:00","00:52","","St. Helena Public Library","AT&T","unknown",""
"CC","NOC-630644","Palomar Rancho Santa Fe Circuit to North Education Center was Down","2020-09-15 06:21:00","2020-09-16 08:49:00","26:28","Palomar College Escondido Center ;; Palomar College North Education Center ;; Palomar Rancho Santa Fe CC","","AT&T","other","config issue"
"K12/COE","NOC-630732","Several circuits to Sutter COE are up.","2020-09-16 09:19:00","2020-09-16 10:23:00","01:04","Sutter COE","","Environmental","power outage",""
"Multi-site","NOC-630712","Multiple AT&T circuits down.","2020-09-16 01:34:00","2020-09-16 02:04:00","00:30","CSU Northridge ;; Moorpark College ;; Ventura College","","AT&T","higher level carrier",""
"CC","NOC-630705","Rio Hondo CC Fire Academy 1GE circuit to Tustin hubsite is down.","2020-09-16 00:33:00","2020-09-16 02:00:00","01:27","Rio Hondo CC ;; Rio Hondo CC - Fire Academy ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CC - South Whittier Education Center ;; Rio Hondo CCD El Monte Education Center","","Spectrum","provider maintenance",""
