"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-636392","","2020-11-30 01:11:00","2020-11-30 09:33:00","08:22","power outage",""
"Environmental","NOC-636406","","2020-11-30 07:36:00","2020-11-30 08:33:00","00:57","power outage",""
"CENIC Internal","NOC-636391","","2020-11-30 00:13:00","2020-11-30 00:19:00","00:06","other","Unexpected impact from CENIC maintenance"
"AT&T","NOC-636324","29487013 294872007 294872939 YK003970","2020-11-27 19:36:00","2020-11-28 16:15:00","20:39","fiber cut",""
"Comcast","NOC-636325","","2020-11-28 04:59:00","2020-11-28 05:00:00","00:01","unknown",""
"CenturyLink (Level3)","NOC-636328","","2020-11-28 06:48:00","2020-11-28 06:49:00","00:01","unknown",""
"Environmental","NOC-636293","","2020-11-26 17:08:00","2020-11-27 13:30:00","20:22","power outage",""
"Sunesys","NOC-636314","","2020-11-27 14:50:00","2020-11-27 17:09:00","02:19","unknown",""
"Environmental","NOC-636295","000000294796878","2020-11-26 22:27:00","2020-11-27 02:00:00","03:33","power outage",""
"AT&T","NOC-636246","YK003968","2020-11-25 11:43:00","2020-11-25 11:49:00","00:06","higher level carrier",""
"Environmental","NOC-636207"," 294729672","2020-11-24 22:00:00","2020-11-25 06:22:00","08:22","power outage",""
"Environmental","NOC-636220","","2020-11-25 01:27:00","2020-11-25 01:29:00","00:02","power outage",""
"Vast","NOC-636217","4560, C251101","2020-11-25 00:05:00","2020-11-25 01:53:00","01:48","faulty line card",""
